date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
7.4.금,저녁에는 요리주점으로 운영하고 있는데 점심 메뉴도 판매해서 방문해 봤어요 점심 메뉴로 닭곰탕이랑 차돌불고기 두가지를 주문했는데요 진짜 너무 맛있어요 차돌불고기는 남자들이 좋아할 만한 메뉴!! 단짠단짠하니 밥이랑 같이 나오는 반찬이랑 먹으면 찐맛탱이고 닭곰탕도 진짜 순살로 들어갔는데 닭이 정말 부드럽고 양도 어마어마해서 너무 맛있게 먹었어요 무엇보다 사장님께서 친절하시고 음식 솜씨도 넘나 좋아서 맛있게 먹었답니다 최고!!😋✨
5.17.토,"우선 음식이 술이랑 너무 잘어울려요‼️ 안주 하나하나 다 맛있고 지인이 추천해줘서 갔는데 절대 후회없어요 매장도 아기자기 긔여운 소품들도 있고 찐 성수감성이에요💕 많이 주문해서 많이 나올 줄 알았는데 가격도 착해요 안 갈 이유 읎음,,,★ 성수 가면 꼭 데이트나 모임으로 가세요,,PLZ"
