date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""세트 구성이 알차요""",이 키워드를 선택한 인원
9.4.목,성수동 뚝도시장 떡맛집 경기미사용해서 아주 맛있네요
7.4.금,경기미로 해서인지 더 맛있는것 같습니다 친절하시고 가격도 아주 합리적입니다
3.31.월,떡이 너무맛있고 친절하십니다
24.12.31.화,걍 신정에 아침해 묵으려고..
24.9.16.월,떡이 너무 맛있어요 송편도 샀어요 맛있어요 깨송편
24.2.7.수,반응 남기기 방문일 24.2.7.수 2024년 2월 7일 수요일 1번째 방문 인증 수단 영수증
23.9.28.목,반응 남기기 방문일 23.9.28.목 2023년 9월 28일 목요일 1번째 방문 인증 수단 영수증
23.9.28.목,반응 남기기 방문일 23.9.28.목 2023년 9월 28일 목요일 1번째 방문 인증 수단 영수증
23.5.31.수,반응 남기기 방문일 23.5.31.수 2023년 5월 31일 수요일 8번째 방문 인증 수단 영수증
23.4.1.토,반응 남기기 방문일 23.4.1.토 2023년 4월 1일 토요일 1번째 방문 인증 수단 영수증
23.3.30.목,떡도 맛있고 항상 친절하심.
23.3.22.수,반응 남기기 방문일 23.3.22.수 2023년 3월 22일 수요일 1번째 방문 인증 수단 영수증
23.2.23.목,맛있는 떡이 필요할때는 십오야떡집~!
23.1.30.월,늘 믿고 구매하는 떡집! 아이들 간식으로 아주 좋아요^^
23.1.20.금,명절떡 샀는데 맛있어요~
22.12.29.목,떡은 역시 뚝도시장 십오야떡방~
22.11.30.수,언제가도 맛있고 친절한 떡집이에요.
22.9.23.금,반응 남기기 방문일 22.9.23.금 2022년 9월 23일 금요일 1번째 방문 인증 수단 영수증
22.9.22.목,반응 남기기 방문일 22.9.22.목 2022년 9월 22일 목요일 2번째 방문 인증 수단 영수증
22.9.9.금,다른곳보다 100배맛있는 송편입니다
22.9.9.금,반응 남기기 방문일 22.9.9.금 2022년 9월 9일 금요일 1번째 방문 인증 수단 영수증
22.9.1.목,반응 남기기 방문일 22.9.1.목 2022년 9월 1일 목요일 1번째 방문 인증 수단 영수증
22.4.29.금,언제나 맛있는 떡
22.2.22.화,떡 맛있어요 근데 현금 결제 요구하심..
22.1.23.일,반응 남기기 방문일 22.1.23.일 2022년 1월 23일 일요일 1번째 방문 인증 수단 영수증
22.1.19.수,반응 남기기 방문일 22.1.19.수 2022년 1월 19일 수요일 1번째 방문 인증 수단 영수증
21.12.29.수,반응 남기기 방문일 21.12.29.수 2021년 12월 29일 수요일 1번째 방문 인증 수단 영수증
21.12.8.수,반응 남기기 방문일 21.12.8.수 2021년 12월 8일 수요일 1번째 방문 인증 수단 영수증
21.11.29.월,떡은 십오야떡방! 항상 믿고 먹을 수 있어요~
