date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
4.29.화,맛있고 가성비가 진짜 좋아요👍🏻👍🏻👍🏻 직원분도 친절하시고 음식도 빨리 나옵니다 창문도 다 열려있어서 분위기도 좋고 시원해서 좋았어요~.~😚
23.2.2.목,이 가격에 이만큼 실한 안주를 주시다니🥹심지어 너무 맛있어요..💘덕분에 좋게 하루를 마무리했습니다🌈감사합니다❕❕
23.3.11.토,반응 남기기 방문일 23.3.11.토 2023년 3월 11일 토요일 1번째 방문 인증 수단 영수증
22.7.17.일,단체로 회식하기 좋아요 ㅋᩚㅋᩚㅋᩚㅋᩚㅋᩚ
22.9.24.토,반응 남기기 방문일 22.9.24.토 2022년 9월 24일 토요일 1번째 방문 인증 수단 영수증
22.9.20.화,반응 남기기 방문일 22.9.20.화 2022년 9월 20일 화요일 1번째 방문 인증 수단 영수증
22.9.20.화,반응 남기기 방문일 22.9.20.화 2022년 9월 20일 화요일 1번째 방문 인증 수단 영수증
22.5.27.금,반응 남기기 방문일 22.5.27.금 2022년 5월 27일 금요일 1번째 방문 인증 수단 영수증
22.4.29.금,반응 남기기 방문일 22.4.29.금 2022년 4월 29일 금요일 1번째 방문 인증 수단 영수증
22.3.11.금,반응 남기기 방문일 22.3.11.금 2022년 3월 11일 금요일 1번째 방문 인증 수단 영수증
22.3.7.월,반응 남기기 방문일 22.3.7.월 2022년 3월 7일 월요일 1번째 방문 인증 수단 영수증
21.12.29.수,반응 남기기 방문일 21.12.29.수 2021년 12월 29일 수요일 1번째 방문 인증 수단 영수증
21.12.29.수,반응 남기기 방문일 21.12.29.수 2021년 12월 29일 수요일 1번째 방문 인증 수단 영수증
21.6.28.월,반응 남기기 방문일 21.6.28.월 2021년 6월 28일 월요일 1번째 방문 인증 수단 영수증
21.7.3.토,반응 남기기 방문일 21.7.3.토 2021년 7월 3일 토요일 1번째 방문 인증 수단 영수증
21.3.5.금,반응 남기기 방문일 21.3.5.금 2021년 3월 5일 금요일 1번째 방문 인증 수단 영수증
