date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
1.13.월,가끔?(스무번은 넘은 듯)포장해서 먹는 곳입니다 위생 청결하구요 친절하시고 바로바로 대응해주세요 전 매번 순대랑 튀김 먹는 데 순대 내장도 매번 섞어 주문인지 물어보시고 맛도 깔끔하니 좋네요 가격도 저렴한 편이며 늦게까지 열어주셔서 회식 후 집에 가면서 약간 술 모자를 때 안주로도 그만이네요 근처에 있어 주셔서 감사합니다 번창하세요
24.6.26.수,안양6동 분식맛집❤️ 사장님 친절하시고 분식 맛있습니다~ 🍢 어묵이랑 김밥도 맛있구여 👍 야간분식집 자세한 리뷰 포스팅도 했어요❤️(내돈내산 리뷰입니당) https://m.blog.naver.com/violetcolor775/223493999607
24.11.4.월,김밥과 라면은 여기가 일등
24.9.3.화,좋아요. 손님들이 늘어가네요.
24.9.7.토,반응 남기기 방문일 24.9.7.토 2024년 9월 7일 토요일 1번째 방문 인증 수단 영수증
24.6.22.토,반응 남기기 방문일 24.6.22.토 2024년 6월 22일 토요일 1번째 방문 인증 수단 영수증
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 1번째 방문 인증 수단 영수증
24.3.30.토,김밥이 큼직하니 좋아요.
24.1.17.수,반응 남기기 방문일 24.1.17.수 2024년 1월 17일 수요일 1번째 방문 인증 수단 영수증
23.11.19.일,사진을 못 찍었네요. 일 하시는 분들 친절하고 음식 맛있습니다.
24.1.11.목,반응 남기기 방문일 24.1.11.목 2024년 1월 11일 목요일 1번째 방문 인증 수단 영수증
23.9.1.금,늦게까지 영업해서 편리함 떡볶이는 보통이에요 순대는 맛있음 담엔 오뎅먹으러 가려함
23.9.25.월,반응 남기기 방문일 23.9.25.월 2023년 9월 25일 월요일 1번째 방문 인증 수단 결제내역
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증
23.7.29.토,사장님도 친절하시고 김밥도 맛있고 음식들이 신선합니다~~~
23.6.21.수,반응 남기기 방문일 23.6.21.수 2023년 6월 21일 수요일 1번째 방문 인증 수단 영수증
23.6.1.목,사장님도 친절하시고 맛있어요
23.7.3.월,반응 남기기 방문일 23.7.3.월 2023년 7월 3일 월요일 1번째 방문 인증 수단 영수증
22.11.15.화,야밤에 이렇게나 많이 먹다니. 으아~~ 맛있게 잘 먹었네요
23.2.14.화,반응 남기기 방문일 23.2.14.화 2023년 2월 14일 화요일 1번째 방문 인증 수단 영수증
23.3.17.금,반응 남기기 방문일 23.3.17.금 2023년 3월 17일 금요일 1번째 방문 인증 수단 영수증
23.4.25.화,아자 깔끔하고 앗있어요
22.8.9.화,일단 헤센 주변에 쌀떡 파는 집이 없는데 여기 있어서 너무 좋구요! 떡볶이도 달지 않아서 맛있어요. 양도 푸짐해요. 김밥도 딱 기본이라 맛있는집 스타일이고 사장님 친절하세요. 혼자 하셔서 바쁜거같고 느린 느낌은 드는데 그래도 꼼꼼하게 하나하나 챙겨주세요. 다음에 또 방문하겠습니다
22.9.26.월,안양원탑!!! 사장님 음식솜씨가 좋으신게 확실하게 느껴짐 김밥? 김치볶음밥? 누구나 만들수있지만 아무나 잘하기 어려운 기본메뉴 같은 음식인데도 누가 만드느냐에 따라 하늘과 땅이있다는걸 다시 한번 깨닫는다
22.11.14.월,늦은밤에 어묵 먹으러 돌아다니다가 발견!
22.8.10.수,요즘 떡볶이들이 다 조미료 범벅맛에 비슷한 프렌차이즈 맛밖에 없어서 학교앞 떡볶이 같은 맛 찾아다니고 있었는데 드디어 찾았네요…대박맛집이에요~~!! 양도많고 사장님이 진짜 친절해요
22.11.2.수,진짜 그리웠던 옛날학교앞 떡볶이 맛이에요!! 적당히 매콤달콤 맛있습니다!! 항상 갈때마다 음식도 맛있고 사장님도 친절하셔서 리뷰 남겨용 ㅎㅎ
22.10.18.화,라면에 참치김밥은 신의조합
23.1.9.월,반응 남기기 방문일 23.1.9.월 2023년 1월 9일 월요일 1번째 방문 인증 수단 영수증
22.10.15.토,사장님께서본인스스로빠르게해드리지못해서 미안해하시더라구요 느림이있으시긴해도음식깔끔하고 맛있어요
22.10.27.목,반응 남기기 방문일 22.10.27.목 2022년 10월 27일 목요일 10번째 방문 인증 수단 영수증
22.9.1.목,김밥 한줄만 먹어도 든든하고 두줄먹으면 다음끼는 패스해야될 정도로 양이 많음 맛은 뭐 말할 것도 없음
22.8.15.월,사장님 넘 친절하고 양도 많이주시고 튀김 진짜 꿀맛탱인데 먹느라 사진을 못 찍엇지만 오징어랑 야채튀김 뎨뎨강추👍🏻🥹
22.7.13.수,사장님 친절하고 맛있어요.
22.7.2.토,이 동네 김밥집은 다 돌아다녀 보고 중앙시장에 그 유명한집도 가봤지만 김밥은 여기가 젤 맛있습니다 기본김밥도 맛있고 참치김밥 맛집이에요 사장님이 음식솜씨가 좋으셔서 그런지 다른 메뉴들도 강추합니다!! 인심도 좋으셔서 양도 엄청 많아요~ 정성이 느껴지는 찐맛집이고 엄마가싸준김밥보다 더 맛있음
22.8.13.토,가격은 착한데 재료도 듬뿍 들어있어서 맛있는데 양도 많아서 배가 터질꺼같아요 쵝오
22.8.27.토,회먹을때 포장해가서 기본김밥에 회얹어 먹으면 대존맛
22.6.29.수,오므라이스 소스. 가 좀 많아서 짰지만 맛있어요 콩나물 국도 시원 하구요  담엔 소스 조금 주신대요
22.8.22.월,나만알고 싶은 맛집이지만 장사 잘 돼서 번창하셨으면 좋겠음
22.9.8.목,반응 남기기 방문일 22.9.8.목 2022년 9월 8일 목요일 7번째 방문 인증 수단 영수증
22.7.27.수,요즘 거의 퇴근하고 매일가는듯요ㅋㅋㅋ 맛있어요
22.8.6.토,떡튀순이랑 참치김밥먹었는데 김밥속이 꽉차고 맛있어요 사장님도 친절하셔서 또 와야겠어요 ㅎ
22.6.30.목,반응 남기기 방문일 22.6.30.목 2022년 6월 30일 목요일 2번째 방문 인증 수단 영수증
22.8.8.월,안양 최고 김밥맛집!!
22.7.21.목,맛있게 잘 먹었습니다 사장님 항상 친절하시고 맛있어서 자주 시켜먹을 것 같습니다 ^^
22.6.27.월,반응 남기기 방문일 22.6.27.월 2022년 6월 27일 월요일 1번째 방문 인증 수단 영수증
22.7.22.금,음식이 자극적이지 않고 양이 푸짐하고 정말 맛있어요. 시간이 조금 걸리는게 아쉽네요. 전화주문 미리 하는게 좋을듯합니다
22.7.25.월,늦게까지 운영하여 감사
23.1.13.금,반응 남기기 방문일 23.1.13.금 2023년 1월 13일 금요일 1번째 방문 인증 수단 영수증
22.7.4.월,반응 남기기 방문일 22.7.4.월 2022년 7월 4일 월요일 1번째 방문 인증 수단 영수증
22.7.18.월,반응 남기기 방문일 22.7.18.월 2022년 7월 18일 월요일 2번째 방문 인증 수단 영수증
22.12.23.금,반응 남기기 방문일 22.12.23.금 2022년 12월 23일 금요일 1번째 방문 인증 수단 영수증
22.10.18.화,반응 남기기 방문일 22.10.18.화 2022년 10월 18일 화요일 1번째 방문 인증 수단 영수증
22.6.11.토,목살이 더 맛있어요~
