date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
10.2.목,써니 오빠가 누군지 보고 싶어지는 맛집!!! 소라 골뱅이는 서쪽 계단집이 서울 원탑이라 자부 했는데 미안하지만 써니오빠가 원탑 입니다 죄송하지만 써니랑 오빠가 적당히 행복하기를 바라는 원탑 맛집 인정!!!
8.25.월,"찐맛집. 밑반찬에서 이미 소주 2병씩 깜. 게 생각나면 바로 찾는 곳. 주머니가 여유로우면 킹크랩, 대게. 여유가 없으면 홍게랑 오징어순대. 뭘 먹어도 다 맛있음."
6.6.금,"귀한 통골뱅이 정말 맛있습니다^^)b 사장님이 친잘해요^^)b 시원한 국물, 고소하고 쫄깃한 통골뱅이, 밑반찬도 깜놀, 분위기도 좋습니다!"
5.10.토,짱짱짱!!! 너무 맛있어요~ 밑반찬때문에 술이 더들어갑니다
2.8.토,여러 석화찜을 먹아봤지만 이렇세 정성스레 다 까서 나온건 처음이네요 .. 게다가 씨알이 작은게 하나도 없어서 놀랐습니다🫢 몇번 방문했지만 올때마다 감동스🙆🏻 백골뱅이 탕 국물도 시원~하이 쳐즥이구요😘 직접 만드신 밑반찬은 어우👏🏻👏🏻 용답 올때마다 2-3차로 들리는듯 ㅋㅋ
2.22.토,홍게가 살이 가득하고 너무 맛있어요 오뎅탕도 깔끔한 청량고추맛이 일품이구요 ㅎㅎ 문어도 살이 야들야들 한게 정말 맛있었어요 ㅎㅎ 복분자에 국물 한입하니 정말 꿀맛이네요
6.22.일,진짜 너뮤 맛있게 먹었습니다.  생율 꼭 드세요 제가 먹어본 밤중에 제일 달아요
1.31.금,기분반찬부터 다 맛있어요 홍게오뎅탕 기다리고있어용♡ 맛집맛집  국물이 끝내줘용
5.26.월,너무 맛있어요 킹왕짱
2.15.토,너무 맛있습니당 !
24.11.8.금,진짜 너무 맛있고 싱싱해요!!! 킹크랩 수율 미쳤어요ㅋ 배가 터질정도에요~ 밑반찬도 다 손수 만드신맛이에요^^
24.6.29.토,"대게 . 술 한잔하기 좋은곳. 조금한 가게 신선한 수산물을 즐길수 있는곳 . 살아서 숨쉬는 골뱅이,멍게,해삼 등등이 있다. 제철에 먹을수 있다는 꽃게 , 대게, 킹크랩, 랍스타는 7주일 전에 예약 하면 강원도까지 가서 직접 구매해서 온다네요 . 신선하니까 단백하고 살도 많고 점말 맛있다 . 맛있게 잘 먹었습니다 . 사장님 !? 번창하세요 ~"
24.9.30.월,정말 맛있습니다 ! 재방문 예정입니당
24.3.22.금,"리뷰 잘 안남기는데, 너무 맛있고 재료가 신선했어요ㅎㅎ 답십리 속 속초였어요!!!! :) 사장님도 친절하시고 기분 좋은 저녁식사였습니다아 ^@^"
24.4.19.금,이제야 리뷰쓰네요 홍게어묵탕 닭볶음탕 게골뱅이 등등 다 맛있어요 이번달에 써니야 알게된거같은데 이번달에만 네번 온듯해요 나만 알고싶은 집ㅜㅜ
24.2.17.토,제가 생각하는 서울 최고의 해산물 실내포차입니다 말도안되는 수율의 홍게와 다양한 속초 해산물들 일주일에 두번씩 사장님이 다녀오신다는데 그저 축복이네요❤️
24.2.12.월,정말 저렴한 가격에 홍게를 배터지게 먹었습니다. 밥 볶음 서비스까지 훌륭했습니다. 일단 기본 찬만해도 아주 맛있었구요. 내어주시는 김치도 아삭시원하니 너무 맛있었어요. 기본안주와 다른 안주 또한 질좋은 제품에 맛까지 훌륭했습니다 :) 자주가겠습니다^^
23.2.21.화,"진짜 알리고 싶지 않은 내 맘속 맛집입니다. 밑반찬부터 모든 게 완벽합니다. 회사근처인데 왜 이제야 알게 되었는 지. 이날 시킨 메뉴 문어숙회, 골벵이숙회.묵은지 닭도리탕(밥까지 볶아먹음),홍게라면~ 숨기고 싶은 맛집이지만 너무 저만 알기 아까워서~~"
22.11.18.금,매장이 벌써 크리스마스 분위기예요 홍게탕에 쐬주 한잔하며 분위기까지 야무집니다 이날은 분위기에 취하고 맛에취하고 재료까지 신선그자체! 음식하나하나 빛이나더라구요!! 정말맛있었습니다 다음에 또 올게요 사장님 앞으로 승승장구하세용!!!
22.12.1.목,사장님이 너무 친절하시고 음식솜씨가 대박이세요 너무 맛있게 먹었어요 앞으로 단골 될거 같네요 인생최애 맛집 리스트에 저장♡
21.11.14.일,써니야오빠왔다 21.11.26.금 감사합니다. 언제나 정성이 담긴 맛있는 음식으로 대접하겠습니다 :) 😻❤
