date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.27.토,매장이 넓고 깔끔해서 가족들과 가기 좋아요. 포토존이 있는데 여기서 가족들이랑 사진 찍고 노는데 꿀잼 ㅋㅋㅋㅋㅋ 말렌카 완전 쫀득하니 맛있고 커피도 제가 좋아하는 고소한 원두더라구요. 아울렛 들렀다가 방문하기 딱 좋네요.
10.11.토,저번에 왔다가 분위기 좋고 사장님도 너무 친절하셔서 혼자 재방문했어요! 에그타르트가 맛있다길래 같이 시켜봤는데 다른 곳보다 두툼하고 속이 꽉 차있어서 좋았어요 ㅎㅎ 커피랑 스무디도 맛있습니다☺️
9.21.일,카페가 이뻐요. 아울렛 가기전에 들려서 커피와 디저트 먹었는데 조용하고 좋네요. 사장님 혼자 운영하시는데 알바안쓰고 집접 다하시는걸로 보여요. 관리 잘되는 카페요
9.2.화,"카페 내부는 아기자기하게 꾸며져 있어서 사진 찍기 좋고, 좌석 간격이 넓어 편안하게 시간을 보낼 수 있었어요. 특히 테라스 좌석에서 백운호수 풍경을 바라보며 커피를 즐길 수 있는 점이 인상적이었어요.  총평: 분위기, 맛, 서비스 모두 만족! 의왕데이트, 백운호수공원맛집 카페, 친구 또는 가족과 가볍게 즐기기 딱 좋은 곳입니다."
8.18.월,커피가 진짜 맛있고 뷰가 너무 좋아서 힐링됐던 카페에요❗️ 백운호수나 의왕롯데아울렛 가시는 분들은 무조건 추천드려요. 커피가 정말 맛있습니다👍🏻
8.3.일,"블루베리스무디, 오몽에이드, 말렌카호두케이크, 고구마크럼블 케이크 모두 맛있네요! 안에 인테리어도 포근하고 음식과 분위기 모두 좋아요! 또 올게요^_^"
6.22.일,날씨 너무 좋은 주말에 가족들과 방문했어요~ 사장님이 직접 만드신 빵이라 기대하며 먹었는데 입에서 살살 녹는 에그타르트빵 정말 최고였네요 커피도 고소하니 맛있고 통창 뷰도 너무 좋았어요! 야외 테이블도 있어서 날좋은날 야외테라스 앉으셔도 좋을거같아요!
