date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
9.28.일,진짜 인생 최고의 맛도리집으로 인정하며 내돈내산 순수한 목적으로 리뷰를 남깁니다. 진짜 강추 강추 초강추입니다!! 일요일 비가 그친 후 점심에 방문했는데 다행히 여유있게 입장했습니다! 처음 방문이라 플래터를 주문했는데 맛보는 내내 친구와 함께 감탄사를 연신 내뱉었습니다. 고기 질이 좋은 것은 기본이고 시즈닝과 풍부한 육즙 등 절로 개안이 되는 맛이었습니다. 특히 사장님께서 정말 친절하시고 음식에 대한 자부심이 느껴졌습니다. 이런 소중하고 멋진 음식점을 찾아서 진심으로 감사한 마음입니다. 항상 자주 꼭 방문하겠습니다!
8.19.화,"남자친구랑 왔다가 너무 맛있어가지구, 다른 메뉴들도 시켜보고 싶어서 친구들 데리고 재방문했어요! 해산물 포르게타가 일반 포르게타보다 5천원 더 비싼데 추천드려요 밑에 기자미더 깔려있고 관자, 새우까지 꽤 다양하게 들어있어요 오래오래 장사해주세요,,, 또 갈게요…"
9.13.토,씨푸드2.5 플래터 독특한 구성인데 먹어보니 맛있고 양도 많습니다 간만에 서울와서 맛집찾다가 왔는데 탁월한 선택이었습니다
6.14.토,오랜만에 만나는 친구라 맛있고 특별한 음식 먹고싶어서 갔는데요! 사장님께서 너무너무 친절하셔서 한번 감동ㅠㅠ 음식도 너무너무 맛있어서 두 번 감동ㅠㅠ 담엔 몇 명 더 같이가서 라면이랑 라따뚜이 같이 다른 메뉴들도 뿌셔보렵니다 😋 최고 최고!!
7.6.일,외식할 때 건강하면서 맛있는 메뉴 고르는게 힘든데 진짜 맛있게 싹싹 긁어먹었어요! 사장님 정성이 느껴지는 식사였습니다.
8.4.월,음식 종류가 다양한 만큼 맛도 다양하게 먹을 수 있었습니다 다음에 한번 더 꼭 재방문할려구요 ㅎㅎ
2.19.수,오랜만에 재방문한건데 여전히 어쩌면 더 맛있어서 너무 만족스럽고 행복했습니다!! 너무나 친절하신 사장님과 아늑하고 따뜻한 곳에서의 만찬이라니..! 라따뚜이랑 바베큐가 생각날때마다 자주 더 가야겠어요😋😋☺️ 다음에는 라면까지 정복할거에요👍🏻
3.22.토,청첩장 모임으로 가기 좋아요 야채구이랑 수제베이컨이랑 닭구이까지 넘 맛있었어용ㅎㅎ
9.14.일,검색하고 찾아갔는데 맛잇어요.
24.12.12.목,일단 닭고기도 맛있긴 한데 매장에서 직접 만드신 베이컨이 미친놈... 진짜 맛있어요... 사장님이 만드신 소스가 존맛 원래 데리야끼? 이런 소스 좋아하고 마요네즈 종류 안 좋아하는데 갈릭마요 같은 소스가 맛있어서 계속 먹음 사장님도 친절하시고!!!!! 다들 성수동에 이런 맛집 있는 거 알아줬음 좋겠네
24.11.4.월,포르게타 먹었는데 정말 맛있었어요 이베리코에서 나오는 풍미가 장난 아니더라구요 육즙을 빵에 찍어서 먹으니 더 맛있구요. 재방문의사 100퍼센트입니다!
24.10.3.목,"성수에 숨겨진 맛집! 아직 많이 알려지지 않아서 그런가 사람이 별로 없었지만 음식 맛 하나는 아주 일품이었다. 사장님이 요리 메뉴 설명부터 먹는 방법, 요리 방법까지 친절하게 설명해주셨다. 사장님의 진심이 느껴지며 부족한 점 하나 없었다. 특히 마지막에 먹는 라면 가격대비 아주 맛나요~ 남들 몰래 어서 다녀오시길 강추!!!"
1.19.일,매번 갈때마다 만족하는 곳 입니다. 사장님의 요리에 대한 애정이 느껴지는 장소 입니다. 훌륭한 재료에 전문가의 섬세한 터치가 더해지고 아늑한 분위기가 분위기를 더합니다.
24.10.9.수,사장님께서 하몽같은 염장육부터 소스 하나하나 직접 만드신다는데 정말 다 너무 맛있어요. 메뉴도 직접 설명해주시고 어떻게 먹으면 좋은지도 일일이 알러주세요. 플래터만 먹어도 맛있는데 다른 메뉴 다 못먹어보는게 아쉬웠어요. 너무 친절하시고 또 방문하겠습니다!!
24.10.29.화,"점심으로 갔는데 너무맛있습니다. 플래터에 두툼한 베이컨 최고구요 라따뚜이도 너무 맛있고 다먹은 후 후식으로 라면도, 그리고 친절한 사장님도 감동입니다. 저녁에 술이랑 먹으면 더 좋을거같아요!! 사장님의 인생2막을 응원합니다. 🙏"
24.10.11.금,"여자친구 생일에 방문했습니다!! 성수동에 숨은 맛집이라고 리뷰를 보고 방문했는데 둘다 완전 만족하면서 좋은 시간 보냈네요👍 사장님의 친절을 중요시하신다면 여기, 맛을 중요시하신다면 역시나 여기 추천드립니다!! 다음에 또 와서 먹을 것 같네요ㅎㅎㅎ 메뉴도 설명햐주시고 항상 친절하게 대응해주시는 사장님과 맛을 모두 잡으시려면 여기입니다!! 잘먹고갑니다! 광고 아님. 증명 가능."
24.9.30.월,플래터랑 라따뚜이 시켰는데 둘다 너무 맛있습니다 고기 정말 부드럽고 소스는 간장베이스인데 자극적이지 않고 단짠 밸런스 완벽합니다.. 매장은 테이블이 넓고 층고가 살딱 낮음 재방문의사 500%
24.9.3.화,"샌드위치킷을 먹었는데 샌드위치를 만들어먹을 수 있어서 재밌었고, 고급진 수제 베이컨과 잠봉햄도 정말 맛있었어요! 양상추를 샐러드처럼도 먹을 수 있고 빵에도 넣어 먹을 수 있어서 좋았어요!"
24.4.13.토,"우연히 발견한 곳인데 리뷰가 좋아 보여 방문했어요 저는 라따뚜이+잠봉+콜라세트로 주문했어요! 잠봉부터 햄류를 수제로 만드시고, 소스도 시판대신 직접 만드시더라구요! 라따뚜이는 토마토소스가 진하고 건강한 맛인데, 안에 있는 베이컨이랑 먹으면 짭짤함이 가미되어 더 맛있게 먹을 수 있어요! 잠봉도 빵이 부드럽고 안에 햄과 소스 채소가 아주 알 어울려요! 살짝 부족하면 덮밥을 드시면 되는데 가격도 착하고 양도 많고 진짜 존맛이었음.. 사장님이 너무 친절하셔서 기분이 좋았어요!"
24.7.30.화,"벌써 3번째 방문입니다!! (자주와서 사진을 안찍었네요..ㅠ) 지인이 놀러올때마다 예약해서 가기 좋아요!! 지인들이 맛있다구 하구용😊매번 친절하게 설명해주시는 사장님과 아끄떼 뚜만의 스페셜한 플래터, 아늑한 인테리어 모든게 어우러져서 이번 저녁도 알차고 행복하게 있다가 왔어요~~"
