date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
9.10.수,커피가 너무 맛있어요. 꾸덕하고 케잌도 맛있어요. 커피맛이 좋아서 다시 방문하고싶어요
8.23.토,"1층에선 주문, 2층에 테이블 있음 친절하신 느낌은 아니었지만 커피와 디저트는 괜찮았어요 내부 인테리어도 예쁘구요"
9.28.일,스튜디오 이용하면서 카페음료 마셨는데 맛있네용 케이크도 먹고싶었는데 바빠서 못먹고가요 ㅠㅠ 커피 추천!!
6.23.월,반응 남기기 방문일 6.23.월 2025년 6월 23일 월요일 1번째 방문 인증 수단 영수증
3.17.월,식물 가득하고 분위기 좋아요
24.12.10.화,버스정류장 주변 카페 검색하다 방문했는데 커피 너무 맛있어요~~~ 건물 전체가 카페같은데 테이크아웃해서 자세히는 못봤지만 깔끔하고 인테리어 멋있어요! 디저트도 다양하고 다음에 매장이용 해보고 싶어요
24.12.20.금,녹색 화분이 가득하고 인테리어 이쁘고 음악도 분위기있고 전원까지 있고 넘 좋네요! 호젓하게 수다떨기도 놋북하기도 좋겠어요. 커피도 디저트도 맛나요. 카페 가려고 역으로 가다가 찾았는데 사막에서 오아시스 만난 기분이네요 크으.
10.8.수,반응 남기기 방문일 10.8.수 2025년 10월 8일 수요일 1번째 방문 인증 수단 영수증
24.10.19.토,분위기 좋아요. 북성수 조용한 주택가뷰도 좋음.
24.10.24.목,쏘쏘해요 근처에서 밥 먹고 카페 찾다가 가게 됐는데 창가에 앉았는데 건너편 건물 옥상에서 낮잠 자는 귀여운 고양이들 구경 실컷 하고 왔어요🐱💛
24.9.3.화,너무 맛있게 먹었어요 분위기 너무 좋고요! 데이트 하기에 인테리어가 아주 좋아요
24.4.19.금,"오래간만에 방문인데 여전히 예쁜 카페~ 뚝섬역에 사람이 무지 많아 어디 가야 할까 망설여질 때 여기 좋다. 뚝섬역이랑 가까운데, 사람이 조금 덜하고 카페도 예쁘고 조용하다. 조금 일찍 끝나니 아쉽지만 평일 낮에 뚝섬이나 서울숲 가야 할 일 있을 때 꼭 들러보시길 추천~"
24.6.20.목,사진 📷 도 잘 나오고 커피 ☕️ 도 맛있고 좋아요 😀 힘들게 골목 찾아온 보람이 있었네요^^
24.9.7.토,음료가 맛잇고 공간이 넓어요
24.6.15.토,디저트넘맛있었고. 2층인테리어이쁘고깔끔했음. 사장님두분친절하셨음 대화하기조용해서 좋은편이었음. 디저트케이크가 정말맛있었움
24.5.20.월,뚝섬에도 이런곳이 있는지 몰랐네요 넘 예쁜 카페💕
24.5.30.목,촬영차 방문했습니다! 커피도 맛있고 사장님도 친절하셔서 재방문 할 생각입니다~!
24.4.13.토,딸기 얼그레이티라떼가 맛있구요 ㅎㅎ 사실 조용해서 살짝 카공하러가기좋아요~ 나만알고싶은 장소
24.3.18.월,핑크핑크. 핑크와 그린 그리고 채광맛집. 북성수 골목길 바이브
24.4.5.금,친절하고 주차장 있어서 좋네요
24.4.9.화,반응 남기기 방문일 24.4.9.화 2024년 4월 9일 화요일 4번째 방문 인증 수단 영수증
24.5.6.월,반응 남기기 방문일 24.5.6.월 2024년 5월 6일 월요일 1번째 방문 인증 수단 영수증
24.4.12.금,반응 남기기 방문일 24.4.12.금 2024년 4월 12일 금요일 1번째 방문 인증 수단 영수증
23.11.23.목,사진보다는 규모나 작아서 살짝 섭섭했지만 아인슈페너도 추천해주신 당근케이크도 맛있었어요
24.3.29.금,반응 남기기 방문일 24.3.29.금 2024년 3월 29일 금요일 1번째 방문 인증 수단 영수증
23.11.18.토,친절하시고 플랜테리어 식물들 상태도 넘 싱싱하고 이뻐요  아인슈페너도 맛있고 다른 지역이지만 종종 혼자 힐링&작업하러 재방문할 의사 200%입니다^^
23.8.29.화,커피도 맛있구(아인슈페너 짱맛) 디저트 롤케익도 너무 맛나서 깜놀해써요🤩 차분한 분위기라 노트북 하면서 머무르기에도 좋구. 친절하고 분위기좋아서 뚝섬역이랑 살짝 멀지만 재방문의사 완전 있음요😍 커피맛집🤎
24.3.9.토,반응 남기기 방문일 24.3.9.토 2024년 3월 9일 토요일 1번째 방문 인증 수단 영수증
24.1.23.화,친절.쾌적. 조용. 맛있
23.8.15.화,성수에 넓고 예쁜 카페가 있어서 홀린듯 들어갔네요^^ 1-2층은 카페이고 그 위는 스튜디오인가 보더라구요. 사실 1층은 자리가 없다 생각하면 되고 2층에 예쁜 공간이 마련되어 있어요. 메뉴도 꽤나 다양하고 너무 비싸지 않아서 좋았습니다. 맛도 좋아요~ 앞에 주차도 되서 좋습니다. 추천추천~~
23.9.20.수,이날 카페 내부는 광고촬영 있대서 못들어갔는데 비가와서 야외에서도 못마시겠더라고요ㅠ 사장님이랑 직원분이 되게 난감해하셔서 그냥 갈까 했는데 너무 친절하게 물어보셔서 용기 내 아인슈페너 아몬드라떼 시켜봤습니다ㅎㅎ 테이크아웃이라 안이쁘게 나왔는데 맛은 최고였어요. 특이하게 크림+라떼 조합이라 너무 달지않을까 싶었는데 쓴거 못먹는 저에게 딱 적당한 조합..! 강릉에서 먹은 흑임자 아인슈페너 이후로 이렇게 맛있는 크림 첨 먹어봐요... 너무 맛있습니다. 이쪽에 올 일 잘 없는데 이거 먹으러 언젠가 다시 꼭 오고싶을정도! 담엔 예쁜 내부에서 친구랑 먹어보고싶네요~
24.6.20.목,반응 남기기 방문일 24.6.20.목 2024년 6월 20일 목요일 1번째 방문 인증 수단 영수증
23.10.18.수,인테리어 넘 예쁘고 성수동 주차 되는 카페 흔치 않은데 되고 커피 디저트 다 맛있음
