date,content
"""친절해요""",이 키워드를 선택한 인원
"""원하는 스타일로 잘해줘요""","""원하는 스타일로 잘해줘요"""
"""시술이 꼼꼼해요""",이 키워드를 선택한 인원
"""스타일 추천을 잘해줘요""","""스타일 추천을 잘해줘요"""
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""관리법을 잘 알려줘요""",이 키워드를 선택한 인원
"""상담이 자세해요""",이 키워드를 선택한 인원
"""트렌디해요""",이 키워드를 선택한 인원
"""손이 빨라요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""남자 머리를 잘해요""",이 키워드를 선택한 인원
"""고급스러워요""",이 키워드를 선택한 인원
"""손상이 적어요""",이 키워드를 선택한 인원
"""맞춤 케어를 잘해줘요""",이 키워드를 선택한 인원
"""좋은 제품을 사용해요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""자연스러워요""",이 키워드를 선택한 인원
"""대화가 즐거워요""",이 키워드를 선택한 인원
"""과도한 권유가 없어요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""가격 안내가 명확해요""",이 키워드를 선택한 인원
"""예약이 편리해요""",이 키워드를 선택한 인원
"""필요한 대화만 오가요""",이 키워드를 선택한 인원
"""관리 효과가 좋아요""",이 키워드를 선택한 인원
"""A/S가 세심해요""",이 키워드를 선택한 인원
"""클리닉 효과가 좋아요""",이 키워드를 선택한 인원
"""유지력이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""대기공간이 잘 되어있어요""","""대기공간이 잘 되어있어요"""
10.16.목,"이번에 예지디자이너님에게 처음 커트를 받게 되었는데, 기대 이상으로 완전 꼼꼼하고 예쁘게 시술해주셨어요! 또 시술 후 약속이 있다고 하니 스타일링도 예쁘게 해주셔서 정말 좋았습니다ㅎㅎ 앞으로 제 머리 믿고 맡길 생각입니다😀"
9.29.월,굉장히 친절하시고 남자 머리 두상이랑 모질 관련해서 컨설팅 설명과 관리법을 잘 설명해 주세요 머리도 너무 잘하시면서 대화하는것도 즐거웠습니다. 잘모르시는분들은 믿고 맡기셔도 될거같습니다.
10.19.일,언제나 믿고 찾는 선주 실장님. 제가 원하는 스탈로 딱 맞게 넘 맘에 들게 잘 나왓어요. 감사합니당 손질법도 알려주시고. 실장님 덕분에 20년 똑같은 지겨운 머리 벗어나서 감사드려용 😊👍
8.31.일,"시우쌤께 아이롱펌 시술 받았습니다. 어렸을 때부터 모질이 굵고 곱슬이 심한 제 모발이 고민이었는데 얼굴형, 두상, 이마 넓이까지 세심하게 고려해 맞춤 컨설팅 해주셨어요. 남자 아이롱펌 전문이라 그런지 결과도 자연스럽고 만족스럽습니다. 특히 남자 머리는 아이롱펌은 물론이며 커트까지 모두 믿고 맡길 수 있는 곳이에요!"
9.29.월,"벌써 9번째 재방문인데 올때마다 너무 만족스럽게 잘라주셔서 계속 오게되네요~ 어떤 머리스타일이 어울릴지 잘 모르시는 분들에게는 얼굴형,두상등을 고려해서 스타일을 추천해주시고, 원하는 머리가 있어서 그 머리를 말씀 드리면 얼굴형과 두상에 맞게 원하는 스타일을 최대한 살려서 해주셔서 너무 만족스럽습니다!"
9.28.일,"“선주실장님께 늘 머리하다가, 남자친구 머리도 예쁘게 잘라주실 것 같아 오늘은 예지쌤께 예약했어요. 결과는 대만족! ✨ 세심하게 스타일 잡아주시고 어울리는 분위기까지 살려주셔서 남자친구도 너무 좋아했답니다. 덕분에 저까지 기분 좋게 나왔어요. 다음에도 믿고 예약할게요 :)”"
10.8.수,선주쌤한테 레이어드커트먼저해보고 예뻐서 몇일잇다가 펌했습니다😄😍원래 유목민이였는데 레이어드가 너무 예쁘단소리를 많이듣고 이거다싶어서 그대로 펌까지 했습니다🥰 역시 원하는 느낌대로 딱나와서 너무좋앗어요 ㅎㅎ나이뚜합니다 👍👍 친절하고 손도빠르시고 너무좋앗어요 !! 염색도 하고싶은데 좀더 잇다가 월급받고 또갈게요 !!
10.12.일,얼굴형이랑 두상에 어울리게 커트해주시고 이후 드라이랑 손질 방법도 너무 잘 알려주세요. 그리고 예지쌤 패션감각도 진짜 좋으셔서 헤어컨설팅 뿐만 아니라 코디 추천까지 잘 해주십니다. 멀리서 힘들게 오는데도 예지쌤 너무 착하셔서 올 때마다 이런저런 스몰토크 하면서 항상 힐링하고 가요 ㅎㅎ
9.29.월,첫 방문이라 걱정반 기대반으로 방문 하였는데 정말 만족합니다 아이롱펌 맛집!! 가격도 상대적으로 저렴하고 당일 오후에 유튜브 촬영 말씀드리니 예지 선생님이 꼼꼼하게 신경 써주셔서 촬영 잘하고 왔네요 정말 감사드립니다 ^^ 재방문 의사 있음!! 인스타 sung_hoon0704 팔로워나 게시물 좋아요 한번씩만 부탁드립니다!
10.16.목,"매번 동네원장님 계신 곳에서만 자르다가 준비해야 하는 자리가 생겨 검색해서 트렌디한 느낌의 아르테이로 가게 되었습니다.  예지샘께서 저의 얼굴을 분석해주셨습니다. 기억나는게 + 얼굴이 긴형인데 여러조건들이 더 길게 보이게하고 있음 + 이마비율좋음 + 모질이 안좋고 + 앞머리, 윗머리가 짧고 + 눈썹끝이 옅어서 채워주지 못함  이런 점들을 채워주는 방향으로 커트와 머리스타일을 잡아주셨습니다. 스타일잡는게 실패한 적이 많아서 기대크게안했는데 이제 기대가 되네요  + 아직 펌할 정도 기장이 안 되어서 한 달 뒤에 다시 뵙기로 하였습니다 아이롱펌과 다운펌 진행하기로 했는데 어떻게 될지 궁금합니다!!  예지 샘.수고많으셨습니다. 최고입니다 감사드려요!"
10.13.월,머리 원하던대로 너무 잘하고가요 !  커트 예쁘게 잘해주시고 파마도 원하는느낌으로 잘하고 가요
10.2.목,예지쌤 본지 1년 넘어가는데 섬세한 습관때문인지 엄청 꼼꼼하게 잘라주세요! 분위기에 따른 스타일링 방법도 세세하게 알려주셔서 집에서도 알려주신 그대로 잘 쓰고 있습니다!😀 남자머리 강추드려요!
10.8.수,요새 너무 바빠서 머리할시간도없었는데 드디어 시간내서 선주실장님께 머리받으러 다녀왔어용 매번올때마다 항상 섬세하게 클리닉해주시고 관리법도 잘설명해주셔서 긴머리유지 잘하고있어욧👍🤍🩶 분위기전환드할겸 몇년만에앞머리도 잘라봤는데 딱 앞머리 원하는숱양과 길이 딱 완존 제스탈이예요 굿굿👍👍⭐️⭐️⭐️ 완전마음에들어용🫶🫶🫶 다음재방문때 다시뵈어요 선주실장냠🐰🥰
9.6.토,"그동안 히피펌만 하다가 새로운 머리 스타일 해보고 싶어서, 레이어드 C컬펌 해봤는데 커트 했을 때부터 레이어드 된 느낌이 너무 좋더라구요🤭 페이스 라인에 맞게 예쁘게 잘라주셔서 마음에 쏙! 들었어요. 시술 끝나고 손질법도 친절하게 알려주셔서 방문할 때 마다 기분 좋게 머리하고 가요🥰🥰"
10.3.금,친절하시고 설명도 이해하기 쉽게 해주시고 머리도 꼼꼼하게 잘라주시는게 너무 좋았습니다! 그리고 헤어 스타일도 어떻게 자를까 고민하고 갔는데 꼼꼼히 봐주시고 추천해주셨는데 헤어 스타일이 너무 맘에 드네요!
