date,content
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
24.7.12.금,반응 남기기 방문일 24.7.12.금 2024년 7월 12일 금요일 1번째 방문 인증 수단 영수증
24.8.2.금,반응 남기기 방문일 24.8.2.금 2024년 8월 2일 금요일 1번째 방문 인증 수단 영수증
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 1번째 방문 인증 수단 영수증
23.12.26.화,반응 남기기 방문일 23.12.26.화 2023년 12월 26일 화요일 1번째 방문 인증 수단 영수증
23.12.26.화,반응 남기기 방문일 23.12.26.화 2023년 12월 26일 화요일 1번째 방문 인증 수단 영수증
24.4.9.화,반응 남기기 방문일 24.4.9.화 2024년 4월 9일 화요일 1번째 방문 인증 수단 영수증
24.4.9.화,반응 남기기 방문일 24.4.9.화 2024년 4월 9일 화요일 1번째 방문 인증 수단 영수증
23.7.18.화,반응 남기기 방문일 23.7.18.화 2023년 7월 18일 화요일 1번째 방문 인증 수단 영수증
23.1.25.수,맛있고 가성비 좋습니다.
22.11.30.수,반응 남기기 방문일 22.11.30.수 2022년 11월 30일 수요일 1번째 방문 인증 수단 영수증
22.8.15.월,반응 남기기 방문일 22.8.15.월 2022년 8월 15일 월요일 1번째 방문 인증 수단 영수증
22.2.19.토,반응 남기기 방문일 22.2.19.토 2022년 2월 19일 토요일 1번째 방문 인증 수단 영수증
22.5.31.화,반응 남기기 방문일 22.5.31.화 2022년 5월 31일 화요일 1번째 방문 인증 수단 영수증
17.6.14.수,반응 남기기 방문일 17.6.14.수 2017년 6월 14일 수요일 1번째 방문 인증 수단 영수증
