date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
9.20.토,"성수동에서 차분하고 조용한 카페 찾으시면 너무 추천드려요! 스콘, 휘낭시에 디저트들도 많고 신메뉴 푸딩도 계란의 고소함만 가득한 진짜 수제 디저트 맛집이에요. 푸딩에 비린 맛 하나 안나는거 보고 진짜 맛집이구나! 싶었어요. 휘낭시에도 빠작 촉촉하고 커피도 넘 맛있습니다!"
8.23.토,"▪︎맛집식후경😍 - 추천메뉴 : 소금빵, 스콘, 솔티드피넛라떼 - 고소한 피넛과 부드러운크림의 조화 피넛라떼 - 겉바속촉 촉촉한 식감 소금빵 - 매장은 작지만, 모던하고 깔끔한 인테리어 - 테이크아웃 1000원 할인 - 뚝섬역 부근 소금빵, 휘낭시에 베이커리 맛집"
10.1.수,지나간던 길에 맛있게 먹고 갑니다.
10.16.목,"학교 근처 커피숍이라, 학교 수업있을때 가끔 옵니다."
7.5.토,성수동 이사와서 주말에 동네 이곳저곳을 탐방하다 우연히 소금빵이란 글자를 보고 홀린 듯 들어간 곳.. 안그래도 갓 만들어진 소금빵이 나와 식혀지는 중이라고 하셔서 초코 휘낭시에와 같이 포장해서 집에 왔는데 너무 더웠어서 정말 아무 생각없이 한입 먹었다가 기대이상으로 정말 맛있어서 놀램.. 소금빵 겉바속촉!! 왠일..?!? 휘낭시에도 예술.. 이 맛을 알게된 건 운명 내지 타이밍 ㅋㅋ 이제 앞으로 자주 가야지 :)
5.15.목,대박 라마르조꼬 머신이라니  소형차 값에 근접하는 커피머신🍮☕️  커피맛도 괜찮고 친절하시네요   탄자니아 원두를 도입하셔 프리미엄 커피를 내놔도 좋겠네요  잘 마시고 갑니다
5.17.토,뚝섬역에서 진짜 가까워요 소금빵맛집인데 다 떨어져서 휘낭시에 시켰거든요 진짜맛있어요ㅜㅜ여기 크림라떼 진짜맛있는데 크림에 찍어먹으면 더맛나요
7.8.화,커피 제 스탈이네요. 고소하고 진해요. 8잔 시켰는데 금방 나왔어요
3.7.금,작은 카페인데 음료랑 디저트가 다 너무 맛있어요!! 디저트 다 직접 만드신다는데 소금빵 맛집이네요 브레드전용 카페도 아닌데 넘 맛있어서 깜짝놀랐어요 겉바속촉 자꾸 생각나요 휘낭시에도 넘 맛있고요 논커피류 음료도 맛있고 사장님도 친절하셔서 기분좋았네요~ㅎㅎ
7.14.월,반응 남기기 방문일 7.14.월 2025년 7월 14일 월요일 1번째 방문 인증 수단 영수증
