date,content
"""종류가 다양해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""품질이 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""신상품이 많아요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""아기자기해요""",이 키워드를 선택한 인원
"""트렌디해요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
5.29.목,아이스크림 플렉스 하는 맛
5.10.토,여기서 와 쓸어오는건 우리뿐..
4.30.수,종류 다양해서 너무 좋아요!
4.16.수,너무 좋아요! 가성비 최고!
3.23.일,아이스크림 진짜 다양하고 싸요!
3.21.금,반응 남기기 방문일 3.21.금 2025년 3월 21일 금요일 3번째 방문 인증 수단 영수증
3.10.월,동네 아크집인데 종류도 많고 가격도 저렴해서 자주 갑니다!
1.31.금,진짜 아이스크림 천국이에요 ㅎㅎ
1.12.일,매장관리도 깔끔하게 잘되있고 상품도 주기적으로 바껴서 아이들과 방앗간처럼 들르게 되는 곳이에요ㅎ
24.12.13.금,아이스크림 종류도 많고 넘 맛있어용!!
24.11.7.목,반응 남기기 방문일 24.11.7.목 2024년 11월 7일 목요일 5번째 방문 인증 수단 영수증
24.9.26.목,반응 남기기 방문일 24.9.26.목 2024년 9월 26일 목요일 2번째 방문 인증 수단 영수증
24.9.6.금,반응 남기기 방문일 24.9.6.금 2024년 9월 6일 금요일 4번째 방문 인증 수단 영수증
24.8.20.화,반응 남기기 방문일 24.8.20.화 2024년 8월 20일 화요일 14번째 방문 인증 수단 영수증
24.7.20.토,반응 남기기 방문일 24.7.20.토 2024년 7월 20일 토요일 3번째 방문 인증 수단 영수증
24.7.11.목,출입문에 부착된 검정머리끈 상품 뜯고 남은 스테플러 심이 너무 많고 날카로워 손 다쳐서 피남ㅠ 나뿐만아니고 남학생도 연달아 손 다침. 관리 필요.
