date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""특색 있는 제품이 많아요""","""특색 있는 제품이 많아요"""
"""시설이 깔끔해요""",이 키워드를 선택한 인원
"""품질이 좋아요""",이 키워드를 선택한 인원
8.11.월,반응 남기기 방문일 8.11.월 2025년 8월 11일 월요일 2번째 방문 인증 수단 영수증
6.14.토,반응 남기기 방문일 6.14.토 2025년 6월 14일 토요일 1번째 방문 인증 수단 영수증
5.10.토,반응 남기기 방문일 5.10.토 2025년 5월 10일 토요일 1번째 방문 인증 수단 영수증
4.20.일,반응 남기기 방문일 4.20.일 2025년 4월 20일 일요일 1번째 방문 인증 수단 영수증
3.27.목,학교 앞에 있어서 좋네요. 껌 가격 합리적입니다.
3.22.토,반응 남기기 방문일 3.22.토 2025년 3월 22일 토요일 1번째 방문 인증 수단 영수증
3.1.토,반응 남기기 방문일 3.1.토 2025년 3월 1일 토요일 1번째 방문 인증 수단 영수증
24.11.9.토,급히 마이쮸 사먹었어요
24.9.24.화,반응 남기기 방문일 24.9.24.화 2024년 9월 24일 화요일 3번째 방문 인증 수단 영수증
24.9.21.토,근거리에 위치해서 갑니다
24.9.14.토,반응 남기기 방문일 24.9.14.토 2024년 9월 14일 토요일 14번째 방문 인증 수단 영수증
24.8.11.일,반응 남기기 방문일 24.8.11.일 2024년 8월 11일 일요일 1번째 방문 인증 수단 영수증
24.7.9.화,반응 남기기 방문일 24.7.9.화 2024년 7월 9일 화요일 2번째 방문 인증 수단 영수증
24.7.1.월,반응 남기기 방문일 24.7.1.월 2024년 7월 1일 월요일 2번째 방문 인증 수단 영수증
24.6.26.수,반응 남기기 방문일 24.6.26.수 2024년 6월 26일 수요일 13번째 방문 인증 수단 영수증
24.4.28.일,아이스크림 종류도 많고 편의점보다 저렴해서 좋아요.
24.3.21.목,관리가 잘 되는 느낌은 아니었으나 가성비 좋고 학교나 도서관에서 접근성도 좋아요
23.12.6.수,반응 남기기 방문일 23.12.6.수 2023년 12월 6일 수요일 1번째 방문 인증 수단 영수증
23.11.18.토,아이스크림 종류 많아요
23.10.23.월,반응 남기기 방문일 23.10.23.월 2023년 10월 23일 월요일 12번째 방문 인증 수단 영수증
23.10.10.화,반응 남기기 방문일 23.10.10.화 2023년 10월 10일 화요일 11번째 방문 인증 수단 영수증
23.9.23.토,반응 남기기 방문일 23.9.23.토 2023년 9월 23일 토요일 3번째 방문 인증 수단 영수증
23.8.28.월,대체당 아이스크림이 덜달긴 합니다.
23.8.25.금,반응 남기기 방문일 23.8.25.금 2023년 8월 25일 금요일 1번째 방문 인증 수단 영수증
23.8.19.토,반응 남기기 방문일 23.8.19.토 2023년 8월 19일 토요일 1번째 방문 인증 수단 영수증
23.8.16.수,반응 남기기 방문일 23.8.16.수 2023년 8월 16일 수요일 3번째 방문 인증 수단 영수증
23.8.11.금,반응 남기기 방문일 23.8.11.금 2023년 8월 11일 금요일 10번째 방문 인증 수단 영수증
23.7.9.일,반응 남기기 방문일 23.7.9.일 2023년 7월 9일 일요일 4번째 방문 인증 수단 영수증
23.7.7.금,"무인점포로 아이스크림가격이 저렴해요. 24개 13,900원 구입했네요!!"
23.6.3.토,반응 남기기 방문일 23.6.3.토 2023년 6월 3일 토요일 1번째 방문 인증 수단 영수증
23.5.26.금,바밤바 샌드 물고 왕십리 비트플렉스 산책길을 함께 했습니다. 최애 체다치즈맛 프레첼이 1300원이고 폴트 타르트가 2000원이네요. 딴 가게보다 싸요. 카카오페이 결제했구요. 제로페이는 결제가 안먹히는 듯.
23.5.18.목,반응 남기기 방문일 23.5.18.목 2023년 5월 18일 목요일 9번째 방문 인증 수단 영수증
23.4.17.월,반응 남기기 방문일 23.4.17.월 2023년 4월 17일 월요일 1번째 방문 인증 수단 영수증
23.4.4.화,아이그크림 종류가 많은데 매장에서 좀 냄새가 나요
23.3.24.금,맛있는 아이스크림이 가득!
23.3.19.일,반응 남기기 방문일 23.3.19.일 2023년 3월 19일 일요일 1번째 방문 인증 수단 결제내역
23.3.3.금,아이스크림 구매했어요~ 종종 갑니다.
23.2.19.일,반응 남기기 방문일 23.2.19.일 2023년 2월 19일 일요일 2번째 방문 인증 수단 영수증
23.2.19.일,반응 남기기 방문일 23.2.19.일 2023년 2월 19일 일요일 2번째 방문 인증 수단 영수증
23.1.19.목,반응 남기기 방문일 23.1.19.목 2023년 1월 19일 목요일 2번째 방문 인증 수단 영수증
23.1.19.목,반응 남기기 방문일 23.1.19.목 2023년 1월 19일 목요일 8번째 방문 인증 수단 영수증
23.1.7.토,아이스크림 사먹고싶을때 자주가요 :)
22.9.27.화,반응 남기기 방문일 22.9.27.화 2022년 9월 27일 화요일 2번째 방문 인증 수단 영수증
22.9.24.토,반응 남기기 방문일 22.9.24.토 2022년 9월 24일 토요일 2번째 방문 인증 수단 영수증
22.9.22.목,반응 남기기 방문일 22.9.22.목 2022년 9월 22일 목요일 1번째 방문 인증 수단 영수증
22.9.22.목,아이스크림 종류가 다양해서 좋아요
22.9.7.수,반응 남기기 방문일 22.9.7.수 2022년 9월 7일 수요일 1번째 방문 인증 수단 영수증
22.8.28.일,반응 남기기 방문일 22.8.28.일 2022년 8월 28일 일요일 1번째 방문 인증 수단 영수증
22.8.28.일,반응 남기기 방문일 22.8.28.일 2022년 8월 28일 일요일 1번째 방문 인증 수단 영수증
22.8.21.일,반응 남기기 방문일 22.8.21.일 2022년 8월 21일 일요일 2번째 방문 인증 수단 영수증
22.8.14.일,반응 남기기 방문일 22.8.14.일 2022년 8월 14일 일요일 1번째 방문 인증 수단 영수증
22.8.9.화,반응 남기기 방문일 22.8.9.화 2022년 8월 9일 화요일 7번째 방문 인증 수단 영수증
22.8.3.수,반응 남기기 방문일 22.8.3.수 2022년 8월 3일 수요일 1번째 방문 인증 수단 영수증
22.7.27.수,반응 남기기 방문일 22.7.27.수 2022년 7월 27일 수요일 1번째 방문 인증 수단 영수증
22.7.27.수,반응 남기기 방문일 22.7.27.수 2022년 7월 27일 수요일 1번째 방문 인증 수단 영수증
22.7.27.수,반응 남기기 방문일 22.7.27.수 2022년 7월 27일 수요일 1번째 방문 인증 수단 영수증
22.7.26.화,반응 남기기 방문일 22.7.26.화 2022년 7월 26일 화요일 3번째 방문 인증 수단 영수증
22.7.25.월,반응 남기기 방문일 22.7.25.월 2022년 7월 25일 월요일 1번째 방문 인증 수단 영수증
22.7.19.화,반응 남기기 방문일 22.7.19.화 2022년 7월 19일 화요일 5번째 방문 인증 수단 영수증
22.7.15.금,반응 남기기 방문일 22.7.15.금 2022년 7월 15일 금요일 1번째 방문 인증 수단 영수증
22.7.5.화,매장에 에어컨 안 돌아가는 듯.. 다른 아이스크림 할인매장과 달리 갈 때 마다 덥네요.. ㅠ
22.7.4.월,반응 남기기 방문일 22.7.4.월 2022년 7월 4일 월요일 2번째 방문 인증 수단 영수증
22.6.28.화,반응 남기기 방문일 22.6.28.화 2022년 6월 28일 화요일 3번째 방문 인증 수단 영수증
22.6.23.목,가게 내부 더워 죽을뻔... 🥵
22.6.22.수,반응 남기기 방문일 22.6.22.수 2022년 6월 22일 수요일 2번째 방문 인증 수단 영수증
22.6.20.월,반응 남기기 방문일 22.6.20.월 2022년 6월 20일 월요일 1번째 방문 인증 수단 영수증
22.6.10.금,반응 남기기 방문일 22.6.10.금 2022년 6월 10일 금요일 4번째 방문 인증 수단 영수증
22.6.8.수,내부가 너무 더워요ㅠㅠ
22.6.4.토,반응 남기기 방문일 22.6.4.토 2022년 6월 4일 토요일 2번째 방문 인증 수단 영수증
22.6.2.목,반응 남기기 방문일 22.6.2.목 2022년 6월 2일 목요일 1번째 방문 인증 수단 영수증
22.6.2.목,반응 남기기 방문일 22.6.2.목 2022년 6월 2일 목요일 1번째 방문 인증 수단 영수증
22.6.2.목,반응 남기기 방문일 22.6.2.목 2022년 6월 2일 목요일 1번째 방문 인증 수단 영수증
22.6.2.목,반응 남기기 방문일 22.6.2.목 2022년 6월 2일 목요일 1번째 방문 인증 수단 영수증
22.5.31.화,반응 남기기 방문일 22.5.31.화 2022년 5월 31일 화요일 35번째 방문 인증 수단 영수증
22.5.28.토,반응 남기기 방문일 22.5.28.토 2022년 5월 28일 토요일 34번째 방문 인증 수단 영수증
22.5.26.목,반응 남기기 방문일 22.5.26.목 2022년 5월 26일 목요일 1번째 방문 인증 수단 영수증
22.5.25.수,반응 남기기 방문일 22.5.25.수 2022년 5월 25일 수요일 1번째 방문 인증 수단 영수증
22.5.23.월,반응 남기기 방문일 22.5.23.월 2022년 5월 23일 월요일 1번째 방문 인증 수단 영수증
