date,content
"""음악이 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""라이브공연이 훌륭해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
8.12.화,"기네스 마시러 왔다가 아이리쉬밤, 글렌드로낙 12, 우드포드리저브 마신 곳 종종 공연을 하신다고 하는데 마침 오늘이 공연 리허설이 있던 날이라 여러 세션들의 연주를 들을 수 있었다 23일에 공연이라고 했는데 홍콩 여행을 이미 예약해버려 조금 아쉽지만...공연은 꽤 자주 있는 편이니까 9월에 꼭 재방해야 할 곳이다"
7.20.일,아일랜드 173..💗 사장님도 분위기도 모든 분들 완벽합니다.. 여기만 오면 힘들었던 게 사라지는 기분이에요!! 친구들 통해서 처음 오게 되었는데 너무 좋아서 힘들지만 여기 간다고 하면 바로 오는 거 같아요 저만 알고싶으면서도 정말 소개해주고싶고 다 데려오고싶은 곳 입니다 다들 얼른 아일랜드 173으로 오세여~🫶🫶
7.23.수,다양한 동네사람들이 모이는 곳.  우리동네에도 이런 바가 있다면 아지트 삼고 싶어요🥲 분위기를 편안하게 잡아주시는 여사장님이 매력적인 공간
8.13.수,친구와 저녁먹고 한잔 더 하고싶은 마음으로 산책을 하다가 발견한 가게에요! 술도 분위기도 음악도 그리고 사장님과 직원분의 친절함에 더욱 즐거운 시간이었어요😆🥳 우연히 선물같이 알게된 가게인만큼 단골손님이 될 예정입니다ㅋㅋㅋㅋ
7.23.수,저녁 무더위에 러닝후에 방문 재방길옆이어서 그런지 러닝 후 방문하는 사람들이 좀 있었는데 메뉴에 러너스하이볼이 있어서 재미있었음 분위기가 숨은 아지트를 발견한느낌이고 음악하시는 분들이 많아서 즉석공연까지 볼수있었네요 강추!!!
7.21.월,안주도 맛있고 술도 맛있고 분위기도 맛있어요! 송정동 최고의 인생술집👍 즐거운 분위기로 언제 오든 편하게 즐길 수 있어요🫶
7.24.목,한번 왔다가 분위기에 반해서 일주일에 세번씩 오고 있어요!!🤍✨
7.20.일,최근에 지인 추천으로 분위기 좋은 바가 있다고 해서 다녀왔어요. 추천인 말대로 분위기랑 음악도 좋고 사장님도 정말 친절했어요! 게다가 아무대서나 못마시는 기네스 생맥도 있어서 최고!!! 안주도 가라아게랑 알리오 올리오 먹었는데 존맛…
7.23.수,성수에서 유일한 기네스 생맥주집 성수동 예술가들이모이는 곳
7.22.화,항상 즐거운 분위기+ 친절한 사장님과 단골손님들! 아일랜드는 사랑입니다 여러분
7.27.일,반응 남기기 방문일 7.27.일 2025년 7월 27일 일요일 1번째 방문 인증 수단 영수증
8.13.수,분위기 좋은 술집이에요~!
3.4.화,"올때마다 반갑게 맞이해주시구, 대화하는것도 너무 편하고 재밌어요! 🩷🩷🩷 송정동의 축복 😇😇😇"
5.7.수,분위기가 넘 좋습니다
24.11.20.수,"사람,술 그리고 음악이 저를 감싸네요오!! 아지트로 삼기에 너무 좋아요오😎👍"
24.11.20.수,자주 오는 바 ^_^ 다양한 사람들 만나고 놀기 좋아요~ 음악도 최고 👍
24.6.28.금,"동네에 바가 있을까라는 마음에 검색을 해봤는데 아일랜드173 이란 곳이 있어 설레는 마음에 방문했습니다. 들어가는 순간부터 이국적인 장소에 왔다라는 생각이 들었습니다 음악,술,음식 정말 제가 가봤던 바 중에서 으뜸이네요 번창하시길 바래요"
