date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.4.목,반응 남기기 방문일 9.4.목 2025년 9월 4일 목요일 11번째 방문 인증 수단 영수증
7.3.목,반응 남기기 방문일 7.3.목 2025년 7월 3일 목요일 10번째 방문 인증 수단 영수증
2.26.수,양이 좀 적긴 하지만 가성비 좋아요 ㅎㅎ
2.3.월,"아재커피 성수2가점 3.14.금 이용해주셔서 감사합니다. ♡ 직장생활 푸렌드, 아재가 늘 노력하겠습니다아~~!"
2.3.월,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 2.3.월 2025년 2월 3일 월요일 1번째 방문 인증 수단 영수증
24.10.14.월,반응 남기기 방문일 24.10.14.월 2024년 10월 14일 월요일 8번째 방문 인증 수단 영수증
1.10.금,아재커피 아메리카노 1800원 가성비가 좋아요
24.4.5.금,"이 좋은 따스한봄날 지친 나를 위로하기 위해 우연히 발견한 작은카페에 들어가 늘 익숙한 아메리카노 말고 새로운게 있을까 했는데 라벤더라떼라는 다소 생소한 메뉴를 골라 테이크 아웃 해서 한모금 마시는데 "" 이 달달함은 뭘까?... "" 씁씁한 오늘하루 보상받는 느낌? 담에 지나가게 된다면 꼭 재방문 할게요~"
24.1.26.금,카페모카 맛있어요😄 여기 붕어빵도 맛있다고 하네요~
24.4.1.월,반응 남기기 방문일 24.4.1.월 2024년 4월 1일 월요일 9번째 방문 인증 수단 영수증
24.3.4.월,반응 남기기 방문일 24.3.4.월 2024년 3월 4일 월요일 2번째 방문 인증 수단 영수증
23.9.14.목,"가게가 아주 작은데 빵이 맛있고,소화가 잘된대여 ( 동네에 사는 언니가 말해줌 ) 그리고 커피 첨엔 엥 모여 별론데 하다가 먹을수록 괜찮네 하는 맛이구용 서비스로 주신 쿠키 ? 인가 했는데 바게트인데 치아바타 맛이나요,,, 신기해 매력있어요 ㅎㅎ 사장님이 잘 챙겨주세요 🫢"
24.2.28.수,반응 남기기 방문일 24.2.28.수 2024년 2월 28일 수요일 8번째 방문 인증 수단 영수증
24.4.19.금,반응 남기기 1 명 방문일 24.4.19.금 2024년 4월 19일 금요일 13번째 방문 인증 수단 영수증
24.4.17.수,반응 남기기 1 명 방문일 24.4.17.수 2024년 4월 17일 수요일 12번째 방문 인증 수단 영수증
24.1.30.화,아침 일찍 열어서 너무 좋아요
24.1.24.수,아침 일찍 오픈해서 좋아요
23.11.30.목,붕어빵이 먹고싶어서 회사 근처에 파는곳이있길래 바로 회사분들이랑 달려갔어요!! 생각했던 분어빵모양은 아니였지만 너무너무 맛있어요ㅜㅜㅜ 근데 크기에 비해 너무 비싼느낌...3개에 1800원...전 슈크림을 먹고 다른분은 팥을 먹어서 바꿔먹었는데 개인적으로 팥이 맛있습니다.
23.9.13.수,아재냉커피 - 더위사냥맛 보다 조금 덜단맛 오히려 적당하게 달아서 좋았다 !!! 점심시간에 있기 좋았던 카페 😉
23.11.14.화,커피 빨리나오고 직원분들 친절하셔서 좋아요
24.1.29.월,반응 남기기 방문일 24.1.29.월 2024년 1월 29일 월요일 3번째 방문 인증 수단 결제내역
23.10.19.목,반응 남기기 방문일 23.10.19.목 2023년 10월 19일 목요일 5번째 방문 인증 수단 영수증
23.10.18.수,친절하고 빨리나와서 조아용
23.11.9.목,반응 남기기 방문일 23.11.9.목 2023년 11월 9일 목요일 6번째 방문 인증 수단 영수증
24.1.22.월,반응 남기기 방문일 24.1.22.월 2024년 1월 22일 월요일 1번째 방문 인증 수단 결제내역
24.1.18.목,반응 남기기 방문일 24.1.18.목 2024년 1월 18일 목요일 1번째 방문 인증 수단 영수증
23.10.16.월,샌드위치 있어서 조아용 ㅎㅎ
23.11.22.수,반응 남기기 방문일 23.11.22.수 2023년 11월 22일 수요일 7번째 방문 인증 수단 영수증
23.10.10.화,반응 남기기 방문일 23.10.10.화 2023년 10월 10일 화요일 4번째 방문 인증 수단 영수증
23.11.21.화,반응 남기기 방문일 23.11.21.화 2023년 11월 21일 화요일 6번째 방문 인증 수단 영수증
23.10.11.수,반응 남기기 방문일 23.10.11.수 2023년 10월 11일 수요일 11번째 방문 인증 수단 영수증
24.4.4.목,반응 남기기 방문일 24.4.4.목 2024년 4월 4일 목요일 1번째 방문 인증 수단 영수증
23.11.9.목,반응 남기기 방문일 23.11.9.목 2023년 11월 9일 목요일 5번째 방문 인증 수단 영수증
23.10.27.금,반응 남기기 방문일 23.10.27.금 2023년 10월 27일 금요일 3번째 방문 인증 수단 영수증
23.9.12.화,반응 남기기 방문일 23.9.12.화 2023년 9월 12일 화요일 10번째 방문 인증 수단 영수증
23.11.28.화,반응 남기기 방문일 23.11.28.화 2023년 11월 28일 화요일 1번째 방문 인증 수단 영수증
23.9.5.화,반응 남기기 방문일 23.9.5.화 2023년 9월 5일 화요일 9번째 방문 인증 수단 영수증
23.10.16.월,반응 남기기 방문일 23.10.16.월 2023년 10월 16일 월요일 2번째 방문 인증 수단 영수증
23.9.1.금,반응 남기기 방문일 23.9.1.금 2023년 9월 1일 금요일 8번째 방문 인증 수단 영수증
