date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
5.4.일,서울숲가는데 ! 피크닉을 떠나는데 ! 빈손으로 가시면 여자친구가 서운해합니다.. 여기! 방문포장 10프로 할인까지 해주는데 샌드위치🥪 토핑을 아주그냥 가게망할정도로 가득담아서 주셔버리는 압구정 샌드위치 꼭들려서 포장해가자구요! 커피도완전 밀봉해주셔서 하나도안흘렸네요 ㅋㅋㅋ.. 날씨도 완전 좋은데 맛있는 샌드위치까지 먹으니 너무 신나는 데이트가 됐네요!😍😍😍  배달주문하시는 분들도 많던데 서울숲에서 버스타고 5분도안되니까 포장해서 가도 충분하더라구요!
9.17.수,회사앞이라 종종먹었는데 케이준은 매콤하니 맛있네요 라지로 먹었는데 맛나요😀
1.23.목,오랜만에 샌드위치가 생각나서 압구정샌드위치 성수점 들려 압구정샌드위치 포장해왔어요 ~ 한결같이 맛있는 바게트 샌드위치에 즐거운 점심 먹었네요 배달도 포장도 언제나 맛있게 먹고 있어요 ~~
24.7.27.토,커피 맛있어요 :)
23.11.9.목,모짜렐라 크림수프가 원픽입니다! 짭잘하면서도 치즈가 주욱 늘어나고 따뜻해서 넘 좋아요😋 반미는 무난~평범했던 맛이였어요~ 가격대가 좀 높아서 자주는 안가지만 스프는 한번씩 생각나서 찾게 될 듯해요!
24.5.31.금,집근처 샌드위치 먹고싶을때가요 친절함은 .....없습니다
24.4.10.수,좋아요 전보던 야채가 적어진느낌이긴한데..
23.8.18.금,신선하고 깔끔한 맛!
23.8.8.화,한강가기 전 피크닉 도시락으로도 좋아요! 재료가 정말 신선하고 빵이..!!! 빵이 진짜 맛있어요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 엉엉 사장님 친절은 진짜 200%덤으로💓
23.9.1.금,깔끔 담백한 맛이에요
23.8.26.토,진짜 존맛입니다. 가끔 직원들 식사대용으로 먹는데 좋아요!!
