date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
6.4.수,"가격보지 말고 한껏 먹어야하는 곳입니다!!!!!!! 사장님이 낮동안 발로 뛰면서 당일 잡은 닭만을 손질하여 만들어낸 미춰버린 퀄리티의 꼬치입니다!!! 특수부위 진짜 핵맛도리입니다 소금구이 안심 두번 드세요. 육즙이 무슨 방울토마토마냥 펑펑터집니다. 장인정신(본인우 장인이 아니라고 하시지만...)있으시고 말투부터 신사적이신 사장님, 좋은 말씀도 많이 나눴습니다 나만 알기는 아까워서 리뷰남깁니다 번성하세요 젭알~~~🙏"
2.15.토,진짜 간단하게 2-3차로 가기에 추천. 꼬치구이가 맛있습니다!
24.3.13.수,사장님 왕친절하시고 꼬치 왕맛있음! 일행이랑 헤어지기 아쉬울때 간맥하기 딱 좋은곳! 하이볼도 맛있음!
23.11.9.목,돌아다니다가 막 들어갔는데 맛집이었습니다!! 사장님이랑 직원분들 다 친절하세요ㅎㅎ
23.11.22.수,신선한 재료~ 마구 먹다보면 계산할 때 깜짝 놀람!!
24.7.21.일,반응 남기기 방문일 24.7.21.일 2024년 7월 21일 일요일 3번째 방문 인증 수단 영수증
23.9.15.금,꼬치가 다 부드럽고 맛있어요~ 가볍게 2차로 가기 좋아요!
23.5.13.토,꼬치 안주 너무 맛있어요 구운 주먹밥 두번드세요 ㅎㅎ
23.5.24.수,음악이 좋고 꼬치먹기에 좋음
23.4.27.목,회식으로 갔는데 넘 맛있었어요~! 꼬치굿굿
22.10.10.월,꼬치랑 하이볼 맛있었어요! 개인적으로 우롱하이는 좀 연했어요 ㅠ 옆테이블에서는 인당 꼬치 무조건 시키는게 좀 그렇다고 하시더라구요  저희는 2명이라괜찮았는데 4명은 좀 부담이 되나보다 했어용 닭도 채소도 다 싱싱한 느낌이라 맛있고 좋았어요!🥰👍
22.11.19.토,2차로 가기 좋을것 같아용! 모듬구이(?) 오마카세 먹었는데 종류별로 다 맛났습니당 ㅋㅋ
23.2.4.토,반응 남기기 방문일 23.2.4.토 2023년 2월 4일 토요일 1번째 방문 인증 수단 영수증
22.12.3.토,비싸지만 맛남 양 적어서 2차로 오기 젛음
23.2.8.수,반응 남기기 방문일 23.2.8.수 2023년 2월 8일 수요일 1번째 방문 인증 수단 영수증
22.12.23.금,여러모로 많이 아쉬웠.
22.7.23.토,조금 비싸게 느껴지긴했지만 맛있어요. 소주가 없어서 아쉬웠어요.
22.6.23.목,"주문 즉시 구워서 주시는데, 사장님이 너무 친절하시고 꼬치들이 진짜 맛있습니다 : )"
22.5.13.금,다섯명이서 10만원이면 싸게 먹은것같아요ㅎ 맛도 있었고요^^
22.7.31.일,반응 남기기 방문일 22.7.31.일 2022년 7월 31일 일요일 1번째 방문 인증 수단 영수증
22.4.1.금,몇년째 단골인데 매번 감탄하게 됩니다! 사장님의 열정이 아니면 불가능한 맛과 신선함에 감동하고가요!!!
22.9.23.금,반응 남기기 방문일 22.9.23.금 2022년 9월 23일 금요일 1번째 방문 인증 수단 영수증
22.6.18.토,반응 남기기 방문일 22.6.18.토 2022년 6월 18일 토요일 1번째 방문 인증 수단 영수증
22.1.29.토,반응 남기기 방문일 22.1.29.토 2022년 1월 29일 토요일 1번째 방문 인증 수단 영수증
22.1.8.토,닭꼬치 부위별로 설명을 잘해주세요!
21.11.26.금,반응 남기기 방문일 21.11.26.금 2021년 11월 26일 금요일 1번째 방문 인증 수단 영수증
21.11.13.토,반응 남기기 방문일 21.11.13.토 2021년 11월 13일 토요일 1번째 방문 인증 수단 영수증
21.5.12.수,반응 남기기 방문일 21.5.12.수 2021년 5월 12일 수요일 1번째 방문 인증 수단 영수증
