date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""선물하기 좋아요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""세트 구성이 알차요""",이 키워드를 선택한 인원
7.10.목,행사 단체떡 주문 했어요:) 떡이 입에서 살살 녹네요! 식감이 너무 맛있어요!
24.11.27.수,반응 남기기 방문일 24.11.27.수 2024년 11월 27일 수요일 1번째 방문 인증 수단 영수증
23.7.7.금,항상 지나갈 때마다 사먹어야지 했었는데 하필이면 간 날에 조그만 건 전부 다 팔려서 한 다섯알 사려고 했는데 50 개짜리 한 박스 밖에 안 나와 있었어요 다양한 맛이 아니라서 좀 아쉬웠고 백미 로만 50 개가 들어 있어서 아쉬웠고 안랫단은 한개가 덜 들어있었어요 쫀득쫀득 맛있었습니다
23.6.10.토,떡이랑 약과가 정말 맛납니다.
23.6.10.토,떡 사시려거든 약과도 집어가세여 약과 사먹으러 또갈거이여ㅜㅜㅜ
23.3.4.토,팥이 너무 조금 들었어요
23.2.4.토,호박잔기지떡 넘 맛있네요ㅎ 입에서 진심 살살녹아👍
23.1.21.토,반응 남기기 방문일 23.1.21.토 2023년 1월 21일 토요일 1번째 방문 인증 수단 영수증
