date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
10.8.수,추석이어서 친정 어머님 모시고 양지촌 수원갈비 가서 돼지갈비를 먹었어요.  고기가 두툼하고 달지 않아서 너무 금방 타지 않아 좋았고 고기를 직원이 다 구워주신 것도 좋았어요.  밑반찬들도 하나하나 다 맛있었고 돼지갈비가 원래 가려던 곳보다 좀 비쌌지만 음식이 맛있어서 만족하고 왔어요.
10.11.토,갈비탕에 고기가 엄청 많고 짧게 잘려 있어서 먹기 편해요. 맛있어요
10.2.목,육회비빔밥은 육회도 넉넉히 있고 같이나오는 찌개도 굿!! 갈비탕도 맛있어서 특갈비탕으로 포장~~^^
10.6.월,서울페이 이용가능 매장이라 갔는데 안된다고 하네요 참고하시고 음식은 맛있어요
7.22.화,지난번에 냉면을 맛있게 먹어서 이번에는 고기도 시켜봤는데 고기도 부드럽고 맛있었어요!! 집근처에 맛집 발견해서 좋네요^^
9.26.금,부모님 모시고 갔을때 맛잇게 먹었던 기억이있어 친구생일에 기분좋게 방문하여 갈비4인분시켜서 먹던와중 저기동그란 고기부위에서 바퀴벌레같이생긴 벌레가나와 항의하엿더니 죄송하단말씀 한마디없이 고기1인분을 다시 내주겠다는 어이없는 말씀을 하셔서 먹은고기값만 결제하고 기분더럽게 나왔네요
10.3.금,맛있어요 ㅇ아이랑 부모님 둘다 좋아하시네요 매번모임때 가요
10.8.수,솔직히 오랜만에 옛날생각하고 갔어여ᆢ 소갈비 가격이 ㅣ인분 47.000원ᆢ비싼가격대비ᆢ고기는 양도 적고 까맣게 나와서 오래되었나? 생각들고 질기고 실망이 큽니다ᆢ비싸도 맛있으면 좋으련만ᆢ사라다도 소스범벅ㆍ묵사발도 이런ᆢ 너무합니다ᆢ진짜ᆢ다신 가고싶지않네여ᆢ폰맹이라 너무 속상해서 이거 올리느라 애먹었지만ᆢ꼭 주인 분이 보셨으면 좋겠습니다ᆢ비싸도 맛있으면 괜찬은데ᆢ너무 실망 입니다ᆢ정성을 다해주세여ᆢ제발제발여 ㅜㅜ
4.12.토,"주차가 편하고 보기보다도 매장이 엄청 큽니다. 쾌적한 식사가 가능하다는 장점이 있습니다. 고기는 나름 괜찮습니다. 훌륭하다고 할수는 없지만 반찬도 많고 냉면도 팔고해서 어르신들 모시고 온 손님이 많습니다. 뭉티기는 신메뉴 같은데 57,000의 가격은 좀 비싸긴합니다."
7.10.목,회냉면 맛 미쳤음 여기 냉면이 다 맛있어요. 물냉 그리고 한우 육회 냉면까쥐
8.3.일,네이버 블로그 보고 방문 하였습니다. 주차 편하고 맛도 좋다고 하여서. 돼지갈비 2인분 주문하고 굽기도 전에 좀있으면 마감이라는 독촉에 육사시미 주문 하였습니다. 정말 최근에 이렇게 맛없는거 오랜만에 먹어 봅니다. 돼지갈비 - 그냥저냥 보통인데 2인분 57000원은 아깝네요. 3만원 짜리도 이거보다 맛날듯. 뭉티기 57000원. 최악 입니다. 먹다가 식중독 걱정되어 굽다가 버렸네요. 술2병 포함 121000원. 주차편한 비용으로 10만원 제불한 느낌. 옆테이블에 갈비탕이나 간단식사들 하든데 딱 간단 식사정도면 추천. 굽는 고기나 육사시미(뭉티기) 비추 입니다. 리뷰 어지간해서 안쓰는데. 네이버블로그 조심들 하세요.
4.26.토,토요일 저녁은 가족과 돼지갈비를 먹었어요. 수원 왕갈비를 먹었어요. 상봉동에 위치한 양지촌 매장인데요. 너무 맛있어요. 고기를 직접 구워주니까 편하네요. 고기가 질기지 않고 부드럽네요.
7.28.월,와! 정말 맛이 없었구요 제가 좀 무딘 편인데도 고기에서 냄새도 많이 났고 고기가 다 익었다고 하셨는데 전혀 아닌 것 같아서 따로 좀 더 구워서 먹었습니다! 저흰 1년에 할머니 모시고 몇 번 가고 그랬는데 가족 모두들 식사를 멈췄습니다 그냥 돈이 아까워서 먹는?? 정도 억지로 먹고 나왔습니다ㅜㅜ 갈비탕도 따로 시켜서 먹었는데 너무 질겨서 먹을 수가 없었고 냉면도 시켰지만 역시나.. 맹탕이었습니다ㅠ 식초와 겨자도 안주셨어요 많은 고깃집을 가보았지만 제일 최악이었습니다 육회도 먹었지만 실수로 참기름을 쏟으신 느낌 참기름맛만 났어요 육회킬러로서 최악이었습니다 상추도 리필을 부탁드렸는데 그냥 옆에서 가져다 드시면 안되겠냐고 하셨습니다 직원 분들이 치우는데만 바쁘셨습니다 계산만 가장 친절했음… 다신 안감^^
8.15.금,집 주변에 오래되고 지난번에도 가족식사 방문해봐서 다시 방문했는데 실내는 너무 덥고 (입구문오픈) 양념갈비가 오래되서 그런지 다 분해되고 고기 구워주시는데 안에 핏기가 남아있었어요 너무 불만족스러웠어요 벨도 없고 불러도 직원은 오지 않고 두번 다시 안오겠지만 다른분들 참고 하라고 리뷰 남겨봅니다 위생도 막 좋지는 않은거 같아요 같은 가격이면 더 깔끔한 식당가는게 나을것 같아요
9.5.금,직원분들도 친절하고 가격대비 가성비 있어서 좋아요^^
