date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
8.2.토,스끼다시가 넘 좋아요 ㅎ 또 올께요
5.21.수,맛있게잘먹었어요 👍 사장님 친절하셔요
6.6.금,여기 진짜맛있어요!!!지인소개받고왔는데 가격도싸고 양도많고 가성비최고! 꼭 성수오면 오셔요!!!!!
1.10.금,이모님 너무 친절하시고 너무 맛있고 반찬이 끝도 없이 나와요.. 성수에 이런 곳이 있다는게 말이 안되고.. 성수주민의 축복 ..
4.28.월,반응 남기기 방문일 4.28.월 2025년 4월 28일 월요일 1번째 방문 인증 수단 영수증
4.26.토,양도 많고 맛있어요
24.10.21.월,숨은 맛집이었다…💖 반계탕과 생선구이가 기본 반찬으로 제공되다니 !!
24.9.13.금,집근처라 와이프랑 아들과 가끔 가는데 이집의 장점은 반계탕이 나옴 굿
24.10.19.토,편리하고 이용하기 좋아요
24.11.1.금,최고에요~~ 회시키면 기본으로 주는게 많아서 술을 계속시키게되네여
24.3.25.월,스끼다시로 삼계탕을 주십니다!! 그리고 회가 달아요~ 광어 우럭 강추 예요 사장님도 친절하시고 음식이 다 맛있네요 다음엔 쭈꾸미 먹으러 가보려구요
24.6.5.수,불.친.절!!! 광어 대??? 사이즈 기준은 뭔지?? 대충 썰어진 회...포장해온 야채 상태도 허.접. ㅜ 버릴거 얻어 온... ㅠ
24.5.4.토,"광어 중... 회는 신선한데, 양은 아쉽~"
24.3.14.목,회가 투박하긴해도 물가비싼 성수동에 이런 맛집 없습니다.
24.3.17.일,"술 음청 먹었네요,,; 너무잘나와서 메뉴판도귀엽고 기본구성도 좋아요 너무~~"
23.11.25.토,우연히 들어갔는데 넘 만족햇어요!! 회 신선한건 기본이고 서비스로 반계탕이 나오고.. 또 너무 맛있어서 기절 ㅎㅎㅎㅎ 반계탕으로 식전 소주 한병각 ㅎㅎㅎㅎ 담에는 해물 먹으러 가볼게요 ㅎㅎ
