date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
8.17.일,"기본으로도 푸짐한데 이번엔 고기를 추가했더니 진짜 밥도둑이 따로 없네요. 김치가 잘 익어 깊은 맛이 나고, 국물은 칼칼하면서도 기분 좋은 감칠맛이 있어서 숟가락이 멈추질 않았습니다. 고기가 넉넉하게 들어가 씹는 맛까지 더해져서 만족감 최고! 양도 많아 배부르게 먹고 나왔습니다."
8.19.화,혼밥하기 좋은 엄마김치찌개 ! 양도 엄청 많아요 ! 계란말이는 다 먹으면 꼭 더 주실지 물어봐주세영  찌개도 맛있고 밥도 맛있고 계란말이도 맛있고 혼밥하기 너-무 편안한 집 !
10.16.목,답십리 급 방문으로 민난 엄마김치지개 나무 맛나네요~~~ 부들부들 계란말이가 끝내주네여~~ 사장님더 찬절 ~~
10.5.일,주인아주머니께서 너무친절하시고 계란말이가 무한리필 이예요 짱입니다
9.9.화,자주 애용하는 동네맛집입니다!!
9.18.목,2인인데도 양이 엄청 많아요! 진짜 옛날 느낌의 김치찌개라서 너무 맛있고 시원합니다👍🏻👍🏻 사람 왜 많은지 알것 같아요 ㅎㅎ
10.12.일,맛있어서 또왔습니다 계란말이도 주셔서 너무 든든합니다 앞으로도 쭉 단골 예정이에요 ㅎㅎㅎㅎㅎㅎ 맛있게 먹었습니다~~
9.2.화,맛있어요!! 집 김치찌개 맛이구요 계란말이 리필도 해주시고 계란말이 맛있어요!!!! 금액도 저렴하고 굿굿
10.8.수,ㅁ연휴 인데도 아침부터 배딜이 많네요. 아침 해장하러 슬슬 걸어나와 식사 합니다. 묵은지에 고기가 두툼하게 나와 일인분인데도 양이 많아요.
9.11.목,항상 친절하시구 양도 많고 맛있는 엄마김치찌개!! 계란말이 인심도 너무 좋으셔서 감동인곳 ㅠㅠ 요리못하는 저같은 사람은 진짜 엄마 김치찌개 먹구싶을때 옵니다 ㅠㅠ
9.7.일,"맛있게 잘 먹었습니다~ 김치, 돼지고기도 신선하고 계란말이 맛있네요!"
10.14.화,계란말이 무한인데 갓 나온건지 따듯하고 맛있어요 김치찌개도 너무 맛있고 라면사리도 1천원이라 배부르게 먹고왔어요 나중에 다시 방문할려구용 굿~!!
9.22.월,엄마의 손길이 있는 김치찌개맛입니다 ㅎㅎ 오늘 처음왔는데 다음에 또올거에요 너무 맛있습니다 ㅎㅎㅎㅎㅎㅎ
6.22.일,진짜 가성비 좋은 맛집 입니다!! 엄마가 챙겨주시는 것 같은 반찬들과 음식들이에요💕 계란말이도 모자라면 더 챙겨주시고 아침부터 든든하게 한끼 했습니다!! 이런 곳은 정말 널리 알려져서 돈쭐나셨으면 좋겠습니다~~!!🫶😊
8.16.토,답십리 인근에서 김치찌개 제일 맛있는 곳이예요! 사장님도 너무 친절하시도 양도 푸짐해요👍🏼😋
9.1.월,음식도 넘넘 맛있구 친절하고 짱이에영!!!💕💕💕
8.24.일,친구집와서 찐 엄마손맛을 느끼고 가네요 강추해서 와봤는데 너무 잘먹고 가요! 앉자마자 주시는 포슬한 계란말이를 에피타이저로 스팸김치찌개 국물맛에 감탄해요! 꼭 와서 먹어보기를 추천드려요:)
6.2.월,직접 담구신 국내산 김치에 끓여 나오는 찌개집입니다.. 가격도 착하고 메뉴도 심플한게 로컬밥집 느낌이더라구요 ㅎㅎ 맛은 조미료가 거의 안들어간듯한 깔끔한 맛😋 여기 밥도 맛있더군요👏🏻👏🏻 무한으로 계속 퍼서 주시는 계란말이가 인상적이었습니다🤭
8.24.일,"김치찌개 1인분, 고추장불고기 1인분 주문했는데 양도 많고 맛있어요! 사장님이랑 직원분들 다 친절하시고 계란말이 계속 주셔 너무 좋음 ㅜㅜ 자주 올게용❤️"
7.17.목,고지도 푸짐하고 김치찌개도 맛있어요  고추장 불고기는 별미구요  계란말이를 반찬으로 주셔서 자주와요  너무 맛있어요
9.22.월,남자친구랑 맛저 하고 가요!
8.14.목,지인소개로맛있겡석고가서 다시재방문했는데역쉬나맛있네요 무한계란말이도넘맛있어요 장안동 최고 김치찌개 먹고가네요~~^^
6.29.일,집 근처 용답시장 안 김치찌개집! 자주 먹으러 옵니다 ㅎㅎ 오늘도 무한 계란말이 리필에 낮술에 잘 먹고 갑니다~ 너무 맛있어요! 꼭! 와보시기를 ㅎㅎ
8.3.일,용답동 김치찌개는 엄마김치찌개 꼭 방문해보세요 계란말이도 푸짐해요~~
8.26.화,달걀말이가 무한으로 채워지는 마법같은 식당
8.23.토,집밥 생각 날 내마다 오는 곳 ㅜ 넘넘 맛있어요 고추장불고기랑 김치찌개에 라면사리 추가 필수
7.21.월,여기 오시면 제육 하나랑 김치찌개 하나씩 시켜 먹는데 너무 맛나요 서비스로 나오는 계란말이도 계속 리필해주는데 입에서 녹는 계란말이에요 꼭 추천해요
7.23.수,용답동에 이런맛집이 있는지 진짜몰랐어요ㅠㅠ 가성비는 말도 못하고 너무 맛있는거있죠!!! 무조건 다시옵니다~~~ 사장님 넘 친절하셔서 꼭 가야지요❤️
7.27.일,맛있어요!용답동 김치찌개는 엄마김치찌개로 오세요
7.9.수,정말 엄마가 해준맛이예요~~
7.23.수,맛있어요! 용답동김치찌개는 엄마김치찌개
8.9.토,너무너무 맛있어요 !!! 친절하시구 넘 좋아용 💗 또 올래요
5.26.월,항상 오고 싶다고 생각만하다가 있다가 드디어 와봤는데 점심에도 손님으로 가득 차 있고 너무 맛있어요!!!! 자주 찾아올 예정입니다🤤🤤
7.20.일,맛있어요! 용답동김치찌개는 여기로오세용
8.28.목,너무 맛있어서 만두 사리 추가했습니다! 여기. 김치찌개 GOAT미쳤습니다 재방문 예약이요
5.25.일,엄마손맛🥰자극적이지않고 정갈해서 인스턴트에 질렸을때 절로 생각나는 곳입니다ㅎㅎ 사장님 항상 친절하시고 정겨우셔서 기분 좋아져요 :) 감사합니다앙!
3.29.토,내 최애 김치찌개집. 오뎅사리 추가까지하면 그맛또한 환상. 여기말고 다른곳 김찌는 김치가 아닌듯. 게다가 여기의 범접할 수 없는 것 하나!!! 계란말이 무한리필에 그맛은 어떻고!! 넘 부드럽고 계속 집어먹고 싶은맛. ㅋ 사장님의 항상 환한 웃음과 함께 행복해지는 김찌♡ 넘 좋아. 게다가 울동네잖아 헤헤
8.24.일,항상 찾는 진정한 용답동 맛집 1등 어머니 손맛 최고
6.26.목,계란말이 달라고 하면 더 주세요.. 김치찌개도 맛있고 고기양도 많고 혼자 배불리 먹었어요 사장님도 친절하세요 ㅎㅎ 맛있습니당 !
6.11.수,양도 푸짐하고 깔끔하고 맛있어요!!
9.28.일,반응 남기기 방문일 9.28.일 2025년 9월 28일 일요일 1번째 방문 인증 수단 영수증
5.31.토,사장님 친절 찌게 엄청맛있음 가격 저렴함 분위기도 좋아요 자주 방문할계요^^
7.17.목,반응 남기기 방문일 7.17.목 2025년 7월 17일 목요일 1번째 방문 인증 수단 영수증
5.6.화,"김치찌개에 라면 사리 넣고 맛있게 먹었어요, 고기도 푸짐해요~~"
8.19.화,반응 남기기 방문일 8.19.화 2025년 8월 19일 화요일 1번째 방문 인증 수단 영수증
4.22.화,돼지고기김찌vs스팸김찌 못골라서 섞어김치찌개로 시켰엉ㅎ>_< 고기랑 스팸듀 마니 들어있구 적당히 칼칼하이..ㅠ3ㅠ 진짜 오랜만에 집밥 먹는 기분나요!!! 기본으로 나오는 계란말이까지..👍🏻..너무 맛있습니당 집밥 생각날 때마다 올게요🩷🩷
4.11.금,여기 진짜 맛있어요 : ) 김치찌개도 맛있고 계란말이는 포슬하게 입에 감기고요. 다음에도 방문하겠습니다!
6.1.일,김치찌개는 엄마김치찌개! 용답동 올때마다 방문하네요 계란말이 추가리필은 진리 꼭 드셔보세요!
6.17.화,집근처 김치찌개맛집 찾았어요!!! 좀 맵긴하지만 양도 많고 집에서 끓인것 같은 맛있는 김치찌개입니다. 자주올게요!!
3.22.토,"근처 거주한지 30년되었는데, 아부지가 맛집이라고 드디어 와봤네요~ 계란말이를 지속적으로 채워주시고, 김치찌개 최근 외식에서 먹어본곳중에서 가장 맛있는곳이라고 여친이랑 인정했네요😄"
3.28.금,와.. 이날 사진을 안찍었네요 ㅋㅋ 너무 맛있게 먹어서 마구마구 먹었어요 술먹고 2차로 갔는데 사장님 파김치도 주시고 ㅎㅎ 아주 맛있게 먹고 갔습니다~ 감사합니다.
5.4.일,맛도 좋고 저렴하고 계란말이 무한리필 최고입니다. 여기 용답동 맛집입니다.
5.29.목,맛이 상당히 좋습니다!! 추가로 국물이 미쳤습니다 매번 오는데도 맛이 일정합니다!! :) 그리고 여기는 계란말이 맛집입니다! 꼬옥 가보세요!
