date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
7.21.월,종종 나오는 호박죽이 저엉말 맛있습니다. 겨울에는 매장 앞 냉장고에 소분해둔 호박죽 많이 사갔었어요 ㅎㅎ 입맛이 없어 점심시간에 한참 걷다가.. 묵이 맛있어 보여서 들어갔네요 ㅎ 가격 올라도 저렴한 곳.
5.26.월,"논현역에서 만원으로 따뜻한 음식을 먹을 수 있다뇨! 샌드위치도 7-8000원이 넘는데~! 당일 새벽에 음식준비를 하시고, 매일 반찬이 달라진다고 합니다! 오늘 먹은 것 중에서 저는 호박죽이 제일 맛있었어요,,🤤 본죽에서도 이런 맛은 못낼 것 같아요! 재료가 정말 듬뿍 들어 있었어요 배터지게 먹고 갑니다 !!! 🙌🙌🙌🙌 시장 안 쪽에 있어 접근성이 조금 떨어져서 잘 못찾으시는 것 같아 대신 홍보해봅니다!!!! 한 번 가보셔요😇💛"
9.4.목,할머니 손맛 늦게가면 메인음식 떨어짐
3.1.토,"1반찬, 국, 밥 모두해서 12가지에 1만원.. 엄마의 솜씨로 정성들인 집밥처럼 먹을 수 있는 식당입니다."
4.14.월,반응 남기기 방문일 4.14.월 2025년 4월 14일 월요일 1번째 방문 인증 수단 영수증
24.12.2.월,매번 바뀌는메뉴 좋아요 ㅎㅎ다만
24.11.15.금,반응 남기기 방문일 24.11.15.금 2024년 11월 15일 금요일 2번째 방문 인증 수단 영수증
24.9.11.수,반응 남기기 방문일 24.9.11.수 2024년 9월 11일 수요일 1번째 방문 인증 수단 영수증
24.7.1.월,항상 맛있는 곳 ! ㅎㅎ 진짜 엄마가 해주는 밥 먹는것같아서 든든하고 좋아요
24.8.7.수,반응 남기기 방문일 24.8.7.수 2024년 8월 7일 수요일 1번째 방문 인증 수단 영수증
24.7.4.목,거의 매일 점심 먹으러 가요 ㅎㅎ 👍🏻
24.7.8.월,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 24.7.8.월 2024년 7월 8일 월요일 3번째 방문 인증 수단 영수증
24.9.25.수,반응 남기기 방문일 24.9.25.수 2024년 9월 25일 수요일 1번째 방문 인증 수단 영수증
24.3.5.화,그냥 저렴히 배채울때
24.2.8.목,나물 전 너무 신선해요
24.1.5.금,반응 남기기 방문일 24.1.5.금 2024년 1월 5일 금요일 2번째 방문 인증 수단 영수증
