date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
10.1.수,맛있게 잘 먹었어요!
9.21.일,허겁지겁 먹는다거 사진 못찍었어요 집앞이고 맛있어서 좋아요!
8.10.일,사장님 손이 엄청 빠르셔서 금방나와요!
8.9.토,사장님 손 진짜 빠르시고 너무 맛있어요!
9.13.토,사장님 넘 친절하시고 빠르세요 !
9.7.일,커피 맛있어서 자주 들려요!
9.14.일,아이들이 좋아해서 가끔 먹는데 금방 나오고 따뜻하니 맛 있어요.
6.19.목,오늘도 맛있게 잘먹었어요!
10.4.토,맛나고 바쁠때 한끼먹기좋아요
9.13.토,주말마다 찾게 되요~
7.30.수,사장님 손이 진짜 빠르세요 ㅎㅎ
7.17.목,사장님 손진짜 빠르시고 너무 맛있어요!
5.17.토,"오리지널은 순삭 . . 먹다가 이건 리뷰를 써야지! 싶어서 급 찍었어요, 넘 맛있어요 ^^"
7.29.화,너무 맛있고 빨리 나와요!
7.5.토,사장님 손 진짜 빠르셔서 금방 나오고 맛있습니다!
7.27.일,매장이 정말 깔끔청결하고 승무원 같은 사장님도 깔끔하셔서 자주 주문해요. 매장청결 최고!!
5.31.토,"주말아침이면 꼭 생각나는 토스트, 오늘도 맛있게 먹었어요!"
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 11번째 방문 인증 수단 포장주문
4.25.금,사장님 손이 엄청 빠르셔서 금방 나오고 맛있어요!
3.5.수,아침에 식사대용으로 넘 좋아요ㅋㅋ잘먹었어요!
4.20.일,맛있는 도시락 가능합니다
2.1.토,맛있는데~~ 맛있어서 세번째 먹었어요~~ 새우칠리에 새우를 좀 더 익혀달라고 네이버 주문시 요청했는데//// 뭐 없네요?? 너무 바쁘신거 같아서 걍 포기
4.1.화,동네에 버블티집이 있네요.샌드위치만 먹었는데 반갑네요!
4.2.수,반응 남기기 방문일 4.2.수 2025년 4월 2일 수요일 2번째 방문 인증 수단 영수증
1.25.토,사장님 손이 진짜 빠르시고 ㅎㅎ 계란 폭신 폭신해서 너무 맛있어요
2.26.수,반응 남기기 방문일 2.26.수 2025년 2월 26일 수요일 5번째 방문 인증 수단 포장주문
24.12.14.토,가까워서 자주 가는데 맛도 좋아요
4.12.토,반응 남기기 방문일 4.12.토 2025년 4월 12일 토요일 2번째 방문 인증 수단 영수증
24.11.15.금,반응 남기기 방문일 24.11.15.금 2024년 11월 15일 금요일 9번째 방문 인증 수단 포장주문
24.10.17.목,샌드위치가 맛있어요 건강한 맛이에요 종류가 다양해요
24.9.26.목,사장님 손 진짜 빠르시고 맛있어요 ㅎㅎ
24.8.13.화,포장주문하고 방문했어요. 빠르게 만들어 포장해 두셔서 바로 가지고 올 수 있었어요. 먹다보니 소스가 흘러서불편하긴 했는데 맛은 있었어요.
24.12.28.토,반응 남기기 방문일 24.12.28.토 2024년 12월 28일 토요일 1번째 방문 인증 수단 포장주문
24.6.29.토,만족합니다 집밥먹기 귀찮을때 찾는데 생각보다 시간은 좀 걸리지만 미리 예약하고가면 됩니다
24.7.9.화,친절하시고 손도 빠르세요
24.4.20.토,주말 아침 비도 올것 같고 집에 있는 아침거리가 부실해서 포장해서 먹었습니다! 집에서 가까워서 좋고 역시나 맛있어요 ㅎㅎ 👍👍
24.10.8.화,반응 남기기 방문일 24.10.8.화 2024년 10월 8일 화요일 1번째 방문 인증 수단 영수증
24.6.8.토,한끼 든든하게 먹을수있어요
24.5.28.화,늘 친절하세요 맛있게 먹었습ㄴ다😊😊
24.7.27.토,반응 남기기 방문일 24.7.27.토 2024년 7월 27일 토요일 1번째 방문 인증 수단 매장주문
24.5.11.토,이곳의 쉬림츠칠리에그는 사랑이에요 빠른 메뉴완성 감사합이다!
24.3.16.토,이사와서 처음 가보았는데 우와 되게 맛있네요 개인적으로 에그*랍보다 맛있다고 생각합니다 ㅎㅎ 자주 갈거같아요!
24.4.10.수,아점으로 이만한게 없죠💛 부들부들 따뜻 촉촉한 오믈릿이 너무 맛있어요! 브런치플레이트 구성이 알차서 넘 좋아요😆
24.4.9.화,유용하게 이용하고 있습니다.
24.5.4.토,간단하게 먹기좋고 사장님께서도 친절하세요
24.4.21.일,가성비도 좋고 포장하고 조금후에 먹었는데도 따뜻하고 맛있고 한끼식사로 충분했습니다~
24.2.20.화,어느날 집근처에 생겨서 종종 이용하는 곳입니다 계란에 베이컨 건강하고 간단한 한끼로 좋고 사장님도 친절하십니다. 커피도 아아 2천원이라 혜자입니다.
24.5.7.화,반응 남기기 방문일 24.5.7.화 2024년 5월 7일 화요일 1번째 방문 인증 수단 영수증
24.2.27.화,사장님 친절하시고 정말 맛있어요.
24.2.1.목,생과일 주스 건더기 가 있어요 진짜주스! 달지않고 맛있어요
24.1.7.일,조금전 베이컨2 토마토1 주문해서 먹었어요 사장님 엄청 친절하시구 정말 맛있네요 아침 일찍 오픈하는데 직장인들도 정말 좋을거 같아요 너무 맛있게 잘 먹었습니다 집근처라 너무 좋네요 또 방문 할께요 번창하세요 화이팅 입니당~!!!
24.2.3.토,매우 친절하시고 늘 맛있게 잘 만들어주세요~
23.10.14.토,"한 달여만에 먹었는데 왜이리 맛있나요ㅎㅎㅎ 언블리버블은 처음 시도했는데 진짜 맛있네요. 젤 맛있는 느낌.! 단짠, 치즈 그리고 토마토가 씹혀 상쾌하고요. 따뜻할 때 바로 먹으면 꿀맛이네요!! 오리지널은 심플한 기본적인 맛의 매력이 있습니다. 오리지널에 딸기잼 발라먹으면 완전 맛있죠. 오늘 한 끼 잘 먹었으니 운동해야겠네요ㅋ"
24.5.18.토,반응 남기기 방문일 24.5.18.토 2024년 5월 18일 토요일 2번째 방문 인증 수단 영수증
24.3.23.토,표정을 눌러 반응을 남겨 보세요! 반응 남기기 1 명 방문일 24.3.23.토 2024년 3월 23일 토요일 1번째 방문 인증 수단 포장주문
24.4.10.수,반응 남기기 방문일 24.4.10.수 2024년 4월 10일 수요일 1번째 방문 인증 수단 포장주문
24.7.20.토,반응 남기기 방문일 24.7.20.토 2024년 7월 20일 토요일 5번째 방문 인증 수단 영수증
24.2.2.금,반응 남기기 방문일 24.2.2.금 2024년 2월 2일 금요일 1번째 방문 인증 수단 포장주문
23.9.8.금,감자토핑 들어있는것도 맛있어요 꿀맛!🥪🧀🍟
23.11.3.금,라떼 양도 많고 맛있네요 ㅎㅎ 다음에는 샌드위치 포장할게요~!
23.9.19.화,베이컨에그 굿굿 🥪🧀👍
23.8.24.목,핫치킨에그 맛있어요🥪 딸기쨈 서비스😋
23.9.14.목,"매장 깔끔하고, 좋아요!"
