date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
7.30.수,카공하려고 찾아갔는데 커피도 맛있고 뮤슨 엄마샌드위치 시켰는데 생각보다 맛있었어요 시원하궁 매장도 넓고 화장실도 깨끗하고 조용하고 직원분들도 친절하시궁 카페도 저렴하고 추천입니다!!!!
9.6.토,"디카페인 아이스 아메리카노 2잔(8.0), 아이스아메리카노(시럽추가) (3.5), 콜드브루 라떼(4.5) 주문했어요.  매장이 넓고 조용해서 대화하기 좋았습니다."
9.5.금,"신선하고 충실한 샌드위치 존맛. 사나님도 친절하시고, 자리넓고, 분위기도 좋음"
7.5.토,오렌지 에이드 과즙도 많고 저렴한데 맛있었습니다. 가게내부가 시원하고 자리도 편해서 잘 이용하였습니다. 재방문의사 있습니다.
8.31.일,"에이그레이트카페 성수점 9.4.목 안녕하세요? 카페를 찾아주시고, 리뷰 남겨주셔서 감사합니다. 무더운 여름 카페에서 계신 시간이 잠시나마 휴식의 시간이셨길 기대합니다. 커피가 생각나실때 언제든 방문해주세요. 행복한 하루되세요. 감사합니다."
5.14.수,복잡하지 않고 소란스럽지 않아 좋아요
6.11.수,사장님 부부가 너무 친절하시고 재미있으세요. 커피맛도 굿굿입니다.
1.26.일,허니시나몬카페와 에그토스트 환상의 조합이에요~^^
2.17.월,샌드위치 뜐뜐하고 맛있어요 😊😊 야채 많이든거 좋아하는데 합격드릴게요~~ 자주 올 것 같아요.
5.10.토,"에이그레이트카페 성수점 5.14.수 jjjuuuuuu님, 안녕하세요? 에이그레이트 카페 성수점입니다.. 주문 주시고, 리뷰 남겨주셔서 감사드려요. 커피와 건강한 디저트가 생각나실때 언제든 찾아주세요. 행복한 5월 보내세요. *^^*"
1.26.일,붕어빵 프리미엄 세트랑 에그토스트 너무 맛있어요 커피랑 시켜서 친구랑 맛있게 먹으면서 수다 떨었어요
3.30.일,"에이그레이트카페 성수점 3.30.일 으녕이12님, 매장을 방문해주시고 리뷰남겨주셔서 감사해요. 주말..에이그레이트 카페가 잠시나마 힐링의 시간이 되셨길 기원합니다. 커피와 건강한 디저트가 생각나실때 또 찾아주세요. 3월 마무리 잘 하시고, 늘 평안하시길 기원합니다. 감사합니다. ♥ 접기"
24.11.30.토,리뷰 잘 안쓰는편이거든요. 붕어빵 찾아 카페 왔어요. 분위기도 좋구요 친구와 추억의 붕어빵을 먹으러 왔어요. 제가 좋아하는 팥이랑 슈크림 먹었거든요 완전 맛있어요. 추억을 돋게 만드는 맛이예요 카페에서 붕어빵을 팔다니요. 아주 맛나게 잘먹었습니다 감사합니다 대박 나세요
1.21.화,7H맛있뜸 유자아메리카노 매일먹고싶픔
24.10.25.금,성수 오면 꼭 와야지 하고 찜해두고 있던 카페😍 점심시간에 오니 손님들은 많았는데 그래도 생각보다는 금방 나왔어요 그리고 무엇보다 맛있어요😆 샌드위치 2개 양이 많았는데도 순삭했답니다 그리고 자두 스무디 진짜 제 취향이였어요
24.11.8.금,그냥 지나가다가 넓은 카페가 있길래 마침 시간도 붕 떠서 잠깐 들렀어요 리뷰이벤트가 아니고서야 앵간해선 리뷰 잘 안쓰는데 가격도 너무 저렴하고 너무 친절하셔서 리뷰를 안쓸 수가 없었어요! 카페도 넓고 조용해서 혼자 방문하기도 좋아요 성수역이랑 가까워서 너무 좋아요
5.16.금,"에이그레이트카페 성수점 5.19.월 Jinhee85님, 안녕하세요? 에이그레이트 카페입니다. 달밤라떼가 입맛에 맞으셨다니 너무 다행입니다. 사진과 리뷰 감사드려요. 커피와 건강한 디저트가 생각나시면 찾아주세요. 행복한 한주되세요. 감사합니다..♥"
24.10.5.토,성수동 가는 카페마다 웨이팅에 지쳐있었는데 발견한 가성비 맛집! 성수동 어디에서 아아를 3천원 주고 이렇게 자리편한 카페에 앉아 먹을수있을지.. 친구덕에 발생한 작은이벤트에 친절하신 사장님내외분의 큰도움 받고 갑니다^^ (덕분에 찾았습니다!)
24.11.30.토,#붕어빵 맛집이에요~^^  피자맛 붕어빵이라늬~~
24.10.14.월,"에이그레이트카페 성수점 24.10.15.화 고객님! 방문해주셔서 감사합니다. 사진에 있는 메뉴를 보니, 월요일 오후에 방문해주셨던 분들이시군요. 카페 내부 사진도 찍어주시고, 음료 사진도 올려주셔서 감사합니다. 행복한 시간이 되셨길 기원합니다. 감사합니다. 좋은 한주되세요. ♥ 접기"
24.8.15.목,햄에그샌드위치!! 넘 맛있어요 재료도 싱싱하고 수박쥬스 대박!! 샌드위치랑 수박쥬스먹으러 다시 와야겠어요!!
24.8.13.화,"분위기 너무좋고, 친절하시고, 특별한 메뉴가있어요"
2.22.토,"에이그레이트카페 성수점 3.3.월 안녕하세요? 지난 주말에 방문해주셨군요. 이렇게 리뷰 작성해주셔서 감사드려요. 입맛에 맞으셨다니 너무 다행입니다. 맛있는 커피와 음료, 건강한 디저트가 생각나실 때 찾아주세요. 새로운 봄에는 행복하고 건강한 일상이 늘 함께하시길 기원합니다. ♥ 접기"
24.10.9.수,"에이그레이트카페 성수점 24.10.10.목 안녕하세요? 고객님! 연휴에 방문해주신것 기억해요. 땅콩커피랑 카야토스트.. 커피 맛있게 드셔 주시고, 이렇게 리뷰까지 작성해주셔서 너무 감사드려요. 일교차가 심하니 감기 조심하시고, 항상 건강하세요. 행복한 가을날되세요. ^^"
24.9.30.월,"분위기, 카페 bgm너무 좋고 일하시는 사장님 분들 너무 친절하세요!! 근처 팝업 웨이팅있어서 우연히 들렸는데 다음에도 또 방문하고 싶어요😀 엄마표토스트 강추드립니다❤️❤️"
5.20.화,"에이그레이트카페 성수점 6.2.월 안녕하세요? 카페 방문해주시고, 리뷰남겨주셔서 감사합니다. 카페에서 계시는 동안 잠시나마 편안하셨길 기원합니다. 커피와 디저트가 생각나실때 자주 찾아주세요. 6월의 첫주!!! 행복한 6월되세요. 감사합니다 ♥"
24.11.8.금,"에이그레이트카페 성수점 24.11.28.목 안녕하세요? 방문해주시고 리뷰남겨주셔서 감사해요. 커피와 디저트가 생각나시면 언제든지 들려주세요. 11월도 잘 마무리하시고, 행복한 12월 되시길요. 감사합니다. ♥"
24.11.19.화,에이그레이트카페 성수점 24.11.25.월 도시인1060님! 카페 방문해주시고 리뷰를 남겨주셔서 너무 감사합니다. 에이그레이트 카페에서 잠시나마 여유와 쉼을 드렸기를 기원합니다. 깊어가는 가을.. 곧 떠나버릴 가을이지만 행복한 가을을 만끽하시길요. 커피와 디저트가 생각나실때 언제든지 방문해주세요. 감사합니다. ♥ 접기
24.7.30.화,여기 토스트 진!!!짜맛있어요..커피도 맛있는대 저렴하고 사장님 진짜진짜 친절하셔요..수박주스도 씨앗빼고 만드셔서 그냥 꿀꺽꿀꺽 넘어가요!!❤️🍉  2차면접보는날 보기전에 시간이 애매하게 남아서 커피마시면 체할거같아서 수박주스 시켰는데 진짜 맛있었어요🥹 근데 한입밖에못마셔서 잠깐 면접보고올테니 맡아주실수있냐구했는데 흔쾌히 맡아주셨고 응원해주셔서..덕분에 잘봐서 회사붙었어요!!!  응원해주셔서 정말 감사합니다😭❤️ 커피 구독하러 갈게욧!!🥹❤️
24.6.9.일,에그베이컨이 한쪽에 몰려있어서 한명은 야채만 먹었어요 ㅋㅋㅋㅋㅋㅋ 저만 맛있게 먹었네요 냠~
24.9.27.금,"에이그레이트카페 성수점 24.9.28.토 진아아아아아님, 방문해주셔서 감사합니다. 에이그레이트 카페에서 편안한 시간이 되셨길 기원합니다. 고객님이 더욱 더 만족하실 수 있게 노력하겠습니다. 9월도 잘 마무리하시고, 행복한 10월 맞으시길요.!! 자주 방문해주세요. *^^*"
24.5.26.일,평소에도 주문해서 먹던 토스트였는데요오늘은 직접 매장 와서 직접 먹어도 보고 너무 맛있어서 포장도 했어요 샌드위치 너무 싱싱한재료로 준비를 하신듯요 다음에 또 올게요
24.7.26.금,"에이그레이트카페 성수점 24.8.12.월 피구왕밍키님! 샌드위치는 맛있게 드셨나요? 방문해주시고, 리뷰 남겨주셔서 감사합니다. 맛있는 커피와 디저트가 생각나실때 언제든지 찾아주세요. 감사합니다. 행복한 한주되세요. 접기"
24.9.11.수,뽑기코너도 있고 신기해요!
24.2.4.일,"친구랑 약속 때문에 이른 시간에 방문했는데, 입구부터 카우스가 인사하네요. 리뉴얼 기념으로 착한 가격으로 기분 너무 좋았고, 사장님이 너무 친절하셔서 자주 올것 같아요. 성수동에 주말 주차되는 곳 찾기 어려운데 커피 맛집,디저트 맛집, 카우스 사진 맛집이네요. 나이 먹으니 복잡한 성수동 카페보다 편안한 분위기가 좋은듯요."
24.5.12.일,두명이서 음료세잔 토스트하나 시켜서 먹고 한두시간정도 책읽었는데 매장도 넓은편이고 친절하셔서 기분좋게 있다갑니당~
24.10.4.금,에이그레이트카페 성수점 24.10.4.금 바른평가리뷰어님! 배민 주문해주시고 스마트플레이스까지 .. 세상에.... 너무 감동적이예요. 저희 직원 모두 감동의 눈물 흘리고 있어요. ^^ 감사합니다. 마케팅 비용 쓰질 않아 유명하지는 않아도 천천히 정도만 걸을께요. 정말 근처에 오실일 있으시면 꼭 오셔요. 제 마음을 전해드릴께요. 행복한 주말되세요. 감사합니다. 접기
24.1.29.월,"이번에 리뉴얼되어서 새로 오픈했는데 매장이 넓고 깔끔해요. 리뉴얼이벤트로 아메리카노 천원행사 해서 마셨는데, 딱 기본이라서 괜찮았어요."
24.3.7.목,공간이 나름 크다 생각해서 대화나누기 좋은 카페라 생각했어요.
24.2.9.금,땅콩커피 맛있어요! 딸기라떼도 굳 한적하고 대화하기 좋아요 직원분들도 친절하시고 추천해용
24.7.10.수,"에이그레이트카페 성수점 24.7.12.금 정한별님! 카페 찾아주셔서 감사합니다. 더 맛있는 커피와 음료, 디저트 준비하겠습니다. 행복한 7월되세요."
24.2.9.금,대화나 공부하기 좋은 카페~ 설연휴라 사람들이 많을줄 알았는데 생각보다 붐비지않고 조용해서 좋았아요~~
24.2.17.토,처음 방문! 분위기있고 대화하기 좋고 둘인데 큰테이블에 앉으라 하시고. 팝콘 서비스도 권해주시고. 좋은 장소를 찾은 것 같아요.
24.5.3.금,사장님이 친절해서 기분좋은 방문이었어요^^ 샌드위치도 맛있었고요
24.5.21.화,맛있고 이벤트가 있어서 기분 좋아지는 카페입니다
