date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""차가 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
4.30.수,친구랑 카페가 너무 예뻐서 방문했어요! 카페 안에 아기자기한 소품들이 가득해서 너무 귀여워요!! 음료도 맛있고 디저트로 말차마들렌 얼그레이비스코티를 주문했는데 진한 말차향이 나면서 너무 맛있었어요! 비스코티도 바삭하고 고소하니 엄청 맛있게 먹었어요♡
4.30.수,입구부터 아기자기한 소품들이 많아서 귀여움 가득한 카페에요!! 카페 안에서도 귀여운 키링들 판매하고 있는데 많이들 구경오시더라구요!!ㅎㅎ 가볍게 통밀 비스코티랑 아아 주문했는데 커피 원두가 고소해서 딱 제 취향😉 비스코티는 통밀이라 일반 비스코티보다 훨씬 고소하고 무엇보다 식단관리중에도 부담없이 먹을 수 있어서 좋았어용 ㅎㅎ 혼자 책읽기도 좋은 아늑한 곳이라 혼카페 하실분들에게 추천드려용!!
