date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
6.10.화,원두를 직접 갈아서 내려주는 드립커피도 팔아요^^ 저는 주로 바닐라라떼를 먹으러와요 ㅎㅎ 바닐라빈으로 만든 라떼라서 그런지 일반 바닐라시럽을 넣어서 섞은 인위적인 단맛이 아닌 자연의 단맛이라 너무 맛있답니다~! ㅎㅎ 잘 먹고 잘 쉬다 갑니다!!!
5.15.목,커피맛집으로 많이 들어서 방문했어요. 성수점 기준 공간은 아담하지만 환하게 들어오는 채광이 좋았습니다! 오늘의 원두로 마신 에티오피아 원두 진짜 취향저격이었고 바나나푸딩이랑 딱이었어요. 고소한 베이스인 알밤 향이 나는 롱블랙도 신기한 맛! 자리가 많지 않아서 편히 앉아있긴 애매하지만 커피 맛있고 종류도 다양해서 좋았어요 선물용 드립백도 쟁였습니다! 뚝섬역 커피맛집으로 강추드려요☕️☀️
7.1.화,성수동에서 좋아하는 카페를 추천해 달라고 하면 생각나는 곳 중 한 곳이에요.  개인적으로 추천 메뉴는 ‘에스프레소 콤파냐’에요~ 크림과 에스프레소 조합이 딱 너무 좋습니다!!! 🤎☕️
6.21.토,항상 방문할 때 마다 맛있는 커피와 친절함 덕분에 행복해지고 오는 것 같아요 ㅎㅎ 서촌점도 그렇고 성수점 둘 다 너무 맛나요
5.22.목,동네 단골들이 많은 커피 맛집 같아보였어요 커피 맛있고 친절하셔서 좋았습니다☺️
10.7.화,반응 남기기 방문일 10.7.화 2025년 10월 7일 화요일 2번째 방문 인증 수단 영수증
3.18.화,"이 날은 바나나 푸딩이 없어서 아쉬웠지만, 흐린 날씨가 점점 좋아지며 햇살이 드리우는 에이치커피 공간을 느낄 수 있어서 좋았어요♥ 서촌점도 너무 예쁘지만 여전히 뚝섬에 있는 이 곳은 .. 말해뭐해 너무 아늑해요!"
5.31.토,두번째 방문해서 롱블랙 먹어봤는데 제가 살면서 먹어본 커피 중에 제일 맛있습니다..💖 롱블랙에서 라떼처럼 고소한 맛이 나요…😭😭 너무 맛있어요….
5.27.화,"커피 맛있는 추천받고 왔는데 역시 맛있네요 응대도 잘 해주시고, 커피 직접 가져다주시면서 설명해주시는데 순간 파인다이닝 온 줄 알았어요 잘 마시고 갑니다"
2.21.금,"롱블랙이 유명하고, 분명 그걸 맛보기 위해 방문했는데. 필터 커피의 원두가 보이자마자 홀리듯 필터로 마셨네요. 설명대로 은은한 향이 풍기는 원두가 맛있었습니다. 뒤이어 올라오는 단맛이 마지막까지 물리지 않고 잘 마시게 되네요. 다음에는 정말 롱블랙 또한 맛봐야겠다 다짐하는 카페입니다."
1.25.토,동네 찐맛집이예요😆🫶🏻 커피 못마시는 저도 맛있게 먹을 정도로 맛집인데 디저트인 바나나 푸딩까지도 맛있어요! 주말에는 디저트가 빠르게 품절되는 경우가 많다고 하니까 얼른 방문하셔서 드셔보세요💕🤩
6.6.금,커피 너무 맛있어요 원두선택 가능!
4.20.일,추천도 잘 해주시고 원두 종류도 다양해서 좋아요
5.28.수,"매번 가는 카페인데 일단 스페셜티가 잘 구비되어 있고, 오늘의 커피가 매우 저렴한데 스페셜티라서 너무 좋습니다!"
24.12.7.토,에티오피아 시다마 벤사 하마쇼 네츄럴 베리베리뿜뿜한 산미에 식으면서 올라오는 단맛이 매우 맛있었던 커피☕️ 그리고 커피 추출하시고 잔 데워주시고 바로바로 닦고 치우고 하시는 모습을 보면서 사장님께서 정성으로 커피일을 하시는구나 하며 맛도 마음도 기분좋게 마셨네요✨😊
3.19.수,반응 남기기 방문일 3.19.수 2025년 3월 19일 수요일 1번째 방문 인증 수단 영수증
1.23.목,커피가 맛있고 책 읽기 좋아요
5.10.토,반응 남기기 방문일 5.10.토 2025년 5월 10일 토요일 1번째 방문 인증 수단 영수증
24.12.19.목,커피 종류가 다양해서 다음에 또 방문할 것 같아요.ᐟ
1.13.월,아이스바닐라라떼는 항상 여기서만 먹습니다^.^! 음료도 맛있고 친절한데 쿠폰도 찍어줘서 좋아요ㅎ
24.11.28.목,춥다고 따뜻한 물 한 잔 주시는 것부터 감동 ㅜㅜ 롱블랙도 맛있는데 디카페인 추가해도 4천원이라 성수에서 정말 저렴한 가격대여서 좋았어요 바나나푸딩도 맛있었습니다 ㅎㅎ
2.9.일,작지만 편한 분위기. 맛있는 커피.
8.28.목,반응 남기기 방문일 8.28.목 2025년 8월 28일 목요일 1번째 방문 인증 수단 영수증
24.8.25.일,적당한 산미와 향이 좋은 커피 너무 취저 ♡ 가깝다면 자주 가겠음
24.6.27.목,항상 사람이 많은편이길래 궁금했는데 드디어 와보았어요. 커피 맛있어요
24.5.1.수,산미가 풍성한 맛있는 커피 잘 마셨습니다. 가격도 전체적으로 저렴하네요~
24.7.19.금,산미있는 롱블랙 귀하다귀햐 그리고 맛있ㄷ ㅏ
24.4.2.화,커피 넘 맛있어요 성수동 최애카페 중 하나 성수점도 서촌처럼 디저트 다양하게 내주시면 더 좋을 듯 ㅠㅠb
24.6.12.수,커피가 아주 맛있어요
24.5.23.목,여기 커피 진짜 맛있어요👍
24.7.31.수,반응 남기기 방문일 24.7.31.수 2024년 7월 31일 수요일 4번째 방문 인증 수단 결제내역
24.3.25.월,회사 앞에있어서 가끔 오는 카페입니다. 깔끔하고 커피 맛도 좋아 종종 오게 되는 곳이죠~ 처음으로 카페라떼를 마혀보았는데 괜찮네요~ㅎ
24.3.20.수,커피가 맛있고 친절해서 좋아요
24.6.9.일,반응 남기기 방문일 24.6.9.일 2024년 6월 9일 일요일 3번째 방문 인증 수단 영수증
24.1.2.화,혼커피 한잔 하러 왔다 감니다. 따뜻한 라떼 한잔 마시니 기분이 좋네요~ㅎㅎ
24.4.4.목,반응 남기기 방문일 24.4.4.목 2024년 4월 4일 목요일 7번째 방문 인증 수단 결제내역
24.3.17.일,반응 남기기 방문일 24.3.17.일 2024년 3월 17일 일요일 1번째 방문 인증 수단 영수증
24.2.2.금,커피가 맛있어요. 직원분들이 다 친절하게 반겨주신답니다
24.4.4.목,커피크림라떼 최고예요 바나나푸딩도 진짜 강추
24.4.29.월,반응 남기기 방문일 24.4.29.월 2024년 4월 29일 월요일 1번째 방문 인증 수단 영수증
24.2.20.화,반응 남기기 방문일 24.2.20.화 2024년 2월 20일 화요일 3번째 방문 인증 수단 결제내역
24.2.6.화,반응 남기기 방문일 24.2.6.화 2024년 2월 6일 화요일 6번째 방문 인증 수단 영수증
24.1.16.화,언제가도 친절하고 커피맛도 최고예요! 디저트도 개맛도리입니다
23.12.12.화,애정하는 커피집입니다. 특히 커피크림라떼 예술이예요:)
23.12.9.토,커피 크림라떼 너무 맛있어요
24.4.12.금,반응 남기기 방문일 24.4.12.금 2024년 4월 12일 금요일 2번째 방문 인증 수단 영수증
23.9.19.화,반응 남기기 방문일 23.9.19.화 2023년 9월 19일 화요일 1번째 방문 인증 수단 영수증
23.8.19.토,"출근할때 종종 사먹는 곳인데, 라떼 맛있어요👍👍 강아지들도 올 수 있는거 같더라구요~ 오늘은 출근하면서 댕댕이랑 같이 커피 기다렸네여 ㅎㅎ"
23.10.26.목,올 때 마다 필터커피 맛에 놀라요..
23.10.10.화,커피 진짜 맛있어요
23.5.31.수,날씨 좋은날에 가면 기분이 좋아요! 늘 사람 많은때에 가다가 오늘은 한적해서 여유를 즐기기 좋았어요! 잘 마셨습니다
23.9.7.목,커피 진짜 맛있어요👍
23.5.8.월,롱블랙 매장에서 마시고 가는데 이 가격이라니!👍 원두도 선택가능하고 매장 안도 밝고 화사해서 기분이 말끔해져요:)
23.1.6.금,"꽤나 멋진 카페 경험을 하고 왔다. 커피 맛있고, 합리적인 가격에 쾌적한 실내, 친절하고 전문성 갖춘 바리스타 분까지. 시간 가는 줄 모르고 커피를 즐겼다. 필터커피 풍미가 정말 좋고, 윈터블렌드 플랫화이트 추천. 다른 바리스타 친구와 재방문예정."
23.12.20.수,반응 남기기 방문일 23.12.20.수 2023년 12월 20일 수요일 1번째 방문 인증 수단 영수증
23.5.14.일,반응 남기기 방문일 23.5.14.일 2023년 5월 14일 일요일 1번째 방문 인증 수단 영수증
23.6.2.금,항상 사람이 많아요~~ 맛집
23.4.19.수,라떼 고소하고 맛있어요~ 매장도 깔끔하고~ 사람 많을땐 좌석이 없을거같아요~ 친절하시고 분위기도 좋았어요
23.1.18.수,성수동 진정한 커피 맛집. 조용하고 한적한 곳에 있어서 더 좋아요.
23.4.17.월,원두향 느끼려면 아이스 롱블랙 혹은 플랫화이트 따뜻하게로 주문하세요
23.4.14.금,커피 진짜 맛있어요 bbb
23.3.15.수,친절하신 직원분들께 감동~~~~~ 커피도 맛있고 설명도 잘해주셔서 기분좋게 있다가 왔네요 다음에도 꼭 방문할게요~~~~~~
22.12.20.화,제가 애정하는 에이치💕 항상 가도 반갑게 맞이해주셔서 감사합니다! 항상 맛있는 커피 제공해주셔서 감사합니다! 에이치 커피 화이팅!!❣️😊
23.1.19.목,"친절한 분위기, 커피 맛이 부담스럽지 않은 조화가 참 좋습니다"
22.12.3.토,커피 맛있어요 친절하세요
23.2.4.토,반응 남기기 방문일 23.2.4.토 2023년 2월 4일 토요일 1번째 방문 인증 수단 영수증
22.12.4.일,커피와 차 디저트 모두 맛있게 먹었습니다. 피스타치오와 딸기의 조화가 좋았네요.
23.2.21.화,친절하시고 커피가 진짜 맛있어요
23.8.1.화,반응 남기기 방문일 23.8.1.화 2023년 8월 1일 화요일 1번째 방문 인증 수단 결제내역
