date,content
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""원산지 표시가 명확해요""","""원산지 표시가 명확해요"""
3.18.화,고기가 신선하고 사장님이 친절하세요!! 믿음이 갑니다
24.10.24.목,표정을 눌러 반응을 남겨 보세요! 반응 남기기 방문일 24.10.24.목 2024년 10월 24일 목요일 6번째 방문 인증 수단 영수증
24.8.15.목,반응 남기기 방문일 24.8.15.목 2024년 8월 15일 목요일 5번째 방문 인증 수단 영수증
24.5.18.토,반응 남기기 방문일 24.5.18.토 2024년 5월 18일 토요일 4번째 방문 인증 수단 영수증
24.5.3.금,반응 남기기 방문일 24.5.3.금 2024년 5월 3일 금요일 3번째 방문 인증 수단 영수증
24.4.19.금,반응 남기기 방문일 24.4.19.금 2024년 4월 19일 금요일 2번째 방문 인증 수단 영수증
24.4.3.수,반응 남기기 방문일 24.4.3.수 2024년 4월 3일 수요일 1번째 방문 인증 수단 영수증
24.1.24.수,동네에 정육점 생겨서 넘 좋아요. 원하는 부위 다 손질해서 주시고 배달도 되니 앞으로 고기 살 일 있음 여기로 오려구요!
24.1.16.화,금호동정육점 한우고기 포장맛집 여일축산! 신금호역에서 도보로 5분거리에 있어요~ 구워먹을려고 업진살로 부탁드렸는데 마블링 진짜 좋은걸로 조금더 담아주셨어요 감동🥹 개업한지 얼마 안된 신상정육점 인데 도매도 같이 하고있어서 질좋은 고기를 가성비 있게 구매할 수 있어요👍🏻👍🏻 10만원이상 구매하면 와인🍷을 무료제공하신다고😲 한우고기 드시고 싶으시면 여일축산으로 ㄱㄱ
24.1.10.수,금호동정육점 여일축산 한돈 생삼겹살 제육볶음 김치찌개 너무 맛있어요
23.12.19.화,여일축산 한우불고기 한돈 생삼겹살 구이 김치찌개 금호동정육점 너무 맛있어요
23.12.15.금,고기가 진짜 신선하고 맛있어요. 앞으로 자주갈 듯해요^^금호동 정육점 찾으시면 여일축산강추에요
