date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""아늑해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.24.수,동네 최애 맛집 사장님도 친절하고 시간 날때마다 가고 싶은 곳입니다~^^
8.23.토,기본 안주가 좋아요. 안주는 여러가지 먹어봤는데 양도 많고 푸잠해요. 맛도있어요. 기본안주로 주시는 두부 떢볶이 과자 다 맛있어요. 분위기도 괜찮아요. 아이들 데리고 갔었는데 초딩아이들이 너무 맛있게 먹었대요..^^
5.13.화,기본안주부터 요리뺨치는 곳 ㅠㅠ 떡볶이가 너무 맛있어서 또가려구요..ㅠㅠ 양도 진짜많고 음식도 맛있고 강아지 넘 귀여워요!!! 우삼겹 숙주볶음이랑 치킨스테이크 먹었는데 진짜 맛있었어용!!
9.19.금,반응 남기기 방문일 9.19.금 2025년 9월 19일 금요일 1번째 방문 인증 수단 결제내역
4.26.토,도봉 이자카야 맛집 추천‼️기본안주가 정말 잘나오고 안주도 맛있어요🥹
4.1.화,나베가 맛있어요 분위기도 좋고 아늑하네요 비올때 술한잔 하기 좋은 곳~~~
2.3.월,분위기 맛집입니다^^ 반려견을 동반할 수 있는 소중한 술집이기도 합니다ㅎㅎ 기본안주가 무려 떡볶이랑 팝콘 새우칩 오뎅국물 아이스크림에 연두부까지! 꼭 가세요~ㅎㅎ
2.6.목,우삼겹 나베 + 우동사리 추가 + 치킨 가라아게 먹었어요 !! 가성비 좋았고 메뉴 하나하나 퀄리티가 최상이라 너무 맛있더라구요 💓 셀프바에 있는 떡볶이도 넘나 맛나고 애견동반 가능할 뿐만 아니라 사장님께서 완전 친절하셔서 한 번 가보신 분들은 또 가실 수 밖에 없는 맛집이예요 (。ゝ(ェ)・)-☆
24.11.18.월,애견동반 가능한 이자카야 연🐶 일본 작은 선술집에 온 것처럼 분위기가 너무 좋았고🌸 아이스크림 팝콘 떡볶이 등등 기본 안주는 셀프바에서 무한리필이 가능해요👍 우삼겹나베 고기는 말모 말모🤤 국물 칼칼하니 술이 술술 들어가고요 🤤 치킨가라아게는 다른 곳과 다르게 직접 튀긴 닭 안심이라 부드럽고 맛있습니다👍🤤🤤 친정집 가면 또 먹으러 갈게요 ✨
24.11.18.월,새로 나온 메뉴 치킨스테이크 먹고왔어요 시간은 다소 걸리지만! 기본안주가 일단 4-5가지가 되서 먹고 있으면 시간이 후딱가요🥹 기본안주가 미쳤여요 ㅠㅠ 치킨스테이크도 존맛 닭이 냄새가 하나도 안나고 부드럽고 소스랑 조합이 찰떡궁합이에여 🫶 밑에 깔린 양배추도 조합이 최고에요 아삭아삭한게 치킨이랑 너무 잘어울렸어요~ㅎㅎ생맥주도 맛잇고 사장님도 친절해서 또 오고싶어요!
1.18.토,술이 생각날때 항상 찾는 맛집 (?) 술집인데 맛있는 메뉴와 친절한 사장님 쵝오! 나가사끼짬뽕 쵝오!
3.27.목,종종 가는집인데 기본안주 연두부와 떡볶이.팝콘! 떡볶이가 무려 무한리필이라니 ㅎㅎㅎ 우삼겹나베는 첨먹어봤는데 존맛탱구리 ㅎㅎ 술은 셀프로 가져다먹으면 되니 오히려 편함
4.28.월,반응 남기기 방문일 4.28.월 2025년 4월 28일 월요일 3번째 방문 인증 수단 결제내역
1.17.금,와... 안주 맛집입니다! 댕댕이 친구들도 만날 수 있어서 좋았습니다! 사장님도 친절하세요 :) 다음에 또 올게용!
24.11.27.수,아주 착한 가격의 가성비가 좋은 이자카야에요. 심지어 떡볶이 팝콘 알새우칩 아이스크림이 무제한 셀프바라니!! 볶음면도 양이 장난이 아니에요 가게 분위기도 좋아요
24.10.17.목,오늘은 도봉동에사는 친구가 도봉산역 맛집 이자카야 연에서 술한잔하자고 하네요~~~맛난 안주 많다고 하네요 친절하신 사장님 밝은 미소가 이뻐서 더좋았답니다 우린 매운 해물볶음우동이랑 치킨 가라야케 주문했는데 두개다 우리취향입니다 하이볼과 함께 우리의 정담도 무르익고 행복한 시간보냈답니다.. 오늘 도봉산역 술집 이자카야 연에서 행복한하루에 대만족하며 집으로갑니다 사장니임~~감사해요 또 올게요~~!!
24.9.12.목,도봉 이자카야 연은 댕이랑 혼술도 가능!! 아늑한 동네어귀에서 산책하다 들르기좋구 친구들과 도란도란 수다떨며 한 잔 하기 좋아용 치킨 가라아께는 바삭 고소해서 계속 손이 가고 해물야끼우동은 감칠맛 제대로라 하이볼과 찰떡궁합~~~ 말해모해!! 가보면 인정!!! 담에 여기서 댕이들 모임 갑니닷!! ^^
24.12.27.금,기본 안주들이 다양하게 구비되어있어서 너무 좋구 분위기도 술마시기 딱 좋아요! 그리고 안주들도 너무너무 맛있습니당 ❤️
24.10.21.월,안주도 맛있고 아늑한 인테리어에요. 재방문 하고 싶습니다 ㅎ
24.6.8.토,"✔ N번째 가는 내 단골집~! 진짜 모든 안주가 맛있어서 뭘 선택하든 실패가 없음! 게다가 사장님은 얼마나 친절한지, 먹기전부터 기분 더 up되는 건 안 비밀>,< 도봉에서 유일하게 화장실 내부에 있어서 이용하기에도 편리하고, 남/여 구분되어있어서 좋음! ✔ 안주에 같이 나오는 야채도 신선하고 푸짐해서 배가 부른 상태로 가도 더부룩함 X ! 셀프안주로 떡볶이, 새우칩, 아이스크림, 우동국물 등 다양해서 취향껏 푸짐하게 먹을 수 있음! ✔ 애견동반 가능한 술집 찾기 힘든데 도봉산역맛집 이자카야 연에서는 충분히 가능! 분위기도 좋아서 데이트하기에도 좋고 회식하기에도 좋은 그런곳! 가볍게 먹고싶거나 분위기내고싶을때 방문해도 좋은곳이라 진짜 내돈내산 강추하는곳.. 사실 나만알고싶지만, 추천하고싶어서 강추하는곳!💗"
24.12.15.일,반응 남기기 방문일 24.12.15.일 2024년 12월 15일 일요일 2번째 방문 인증 수단 결제내역
24.9.25.수,안주도 맛있고 분위기도 좋아요
24.8.7.수,이 여름 저녁에 자리가 꽉 차는 분위기 좋은 아자카야 입니다. 즐거운 시간을 보내고 왔습니다.
24.8.5.월,너무너무 맛있게 먹었습니다 최고의 이자카야 에요.또올께요
24.5.11.토,애견 동반이 가능한 술집 찾기가 정말 하늘의별따기인데 추적 추적 비오는 날 강아지와 함께 방문해서 편안한 분위기에서 맛있는 안주와 함께 즐길수 있어 너무너무 좋았어요ㅠㅠ!  아지트같아 나만알고싶든 이자카야 근데 손님이 바글바글ㅎㅎㅎㅎ좋은곳은 저만 느끼는게 아닌가봐요😊  안주도 맛나고 사장님이 너무 친절하시고 동물을 사랑하시는 분이라 편안한 분위기에 힐링하고 왔어요😍  강아지 주려고 소고기 따로 챙겨주심에 마음이 또똣해져... 분위기며 맛이며 뭐하나 빠지는거없이 완벽했던💕  나만알고싶지만 오래오래 해주셨음 하는 도봉구 맛집 다음에 또 방문할게요!!
24.7.5.금,"분위기가 너무 좋아요👍 기본안주로 새우칩. 연두부, 떡볶이, 우동국물 등이 있어요. 맛은 기본 이상. 국물 종류는 끓여서 먹을 수 있게 나오네요. 술은 냉장고에서 꺼내먹고 나갈때 결제할 수 있어서 편했어요. 친절하고 분위기 좋아서 자주 올 듯 합니다.🥰"
24.11.18.월,사람들이 많고 안주양이 많아요!
24.4.22.월,도봉역 술집 찾다가 들렸습니다! 큐브스테이크샐러드랑 낙지볶음우동주문했어요!  샐러드도 맛있었는데 낙지볶음우동이 진짜 매콤하고 맛있었어요 1차로갔으면 밥까지 비벼먹었을듯합니다 그리고 기본안주도 대박이에요 순두부?같은 기본안주랑 떡볶이 팝콘 새우과자까지 나와요!! 떡볶이 무한리필로 드실 수 있습니다 집앞에 생겼으면 좋겠어요 중계동에 2호점 내주세요 사장님
24.4.22.월,"애견동반이라 너무 좋은 곳 이였어용🫶🏻 소고기타다끼랑 오징어가라아게 시켰는뎅 진짜 핵꿀맛🥰 집 바로 근처에 이런 이자카야가 있어서 너무 행복해용~~!!! 전 축덕, 야덕인뎅! 100인치 스크린으로 축구할때 보여주시고! 사장님 센스 무엇🩷 사장님 희동이 주라고 고기도 따로 주시는뎅! 진짜 너뮤 감사합니당 (ˊσ̴̶̷̤ ₋̮̑ σ̴̶̷̤ˋ)₊ෆ⁺˚ 사장님 너무 이쁘시고! 친절하시고 강아지 너무 좋앟주셔서 앞으로도 내 당골🫶🏻예약"
1.4.토,안주 양도 많고 맛도 맛있어요!!! 하이볼 쵝오! 강아지도 보고 ㅎㅎㅎ 재방문의사 100%
24.4.23.화,"시댁 근처에 있는 도봉구 유일 반려견동반 이자카야여서 신기한 마음에 시엄빠랑 방문했어요! 아이들을 엄청 반겨주시고 예뻐해주시는데다 좌식테이블 공간이 있어서 마음 편히 아이들과 있을 수 있었어요! 반려견들이 편하게 오다닐 수 있도록 슬라이드계단을 설치해주시고 강아지물그릇도 마련되어 있어요 👍🏻 시엄빠가 가끔 지나가던 길인데도 이런데가 있는 줄 몰랐다며 분위기도 너무 좋고 반려견과 함께 올 수 있어 좋다하셨어요~ 무엇보다 음식 맛이 😋👍🏻 우삼겹숙주볶음이랑 고등어듬뿍김치찌개, 중화칠리새우랑 간단하게 생맥주 한 잔, 컵사케를 주문했는데 처음엔 시엄마가 맨날 김치찌개 먹으면서 여기서도 김치찌개를 주문하냐며 시아빠한테 뭐라하시더니 맛보시곤 두분다 엄지척 👍🏻 기본으로 제공되는 안주도 푸짐하고 후식까지 완벽해요!"
24.6.25.화,고등어조림 못먹는데 비리지도 않고 맛있어요😃👍👍 양파도 달고 맛있어요❤️❤️❤️ 메뉴 이것저것 먹는데 라면도 맛있고 다 맛있어요 ㅠㅠ 강아지랑 함께가기도 너무 좋아요💕💕
24.9.20.금,회식으로 방문했어요 음식맛있고 친절하세요
24.3.16.토,"안주들이 양도 많아서 가성비 좋고 맛있어요❤️👍 진짜 술마시러 가기 좋은곳💖 스팸두부김치는 진짜 양이 너무 혜자스러웠고 두부&스팸&김치 싸먹어봤는데 진짜 맛있었습니다👍 소고기타다끼 또한 아주 쫄깃하고 입 안에서 살살 녹는 부드러움이 일품이었고요😄 다음주에 출시 예정인 쌀국수도 미리 맛보았는데 와.. 국물이 끝내주고 면도 찰져서 아주 쏙쏙 들어가더라고요^.^❤️👍 등산 후, 연인, 반려동물 동반해서 오기 아주 좋은 곳입니다! 마지막 강아지 사진은 가게 사장님네 귀여운 강쥐사진^^"
24.3.22.금,"강아지 데리고 올 수 있어서 좋아요~ 비와서 못 데려갔지만 다음엔 데려갈듯여! 중화 칠리새우는 매콤달콤하고 새우가 토실하니 좋았어용 샐러드는 양이 많아서 맘껏 먹었어요ㅋㅋㅋ 그리고 기본 안주로 떡볶이랑 팝콘, 새우칩 주는데 요게 또 맛있어요!!ㅋㅋㅋ"
24.7.2.화,사장님 너무 친절하시고요 손이 크셔서 안주 양이 장난아니에요😄 나가사끼짬뽕 진짜 완전 강추 또 강추😛 곧 다시 달려올게요👋👋
24.6.21.금,기본안주가 최고예요👍👍👍👍👍👍 동네에 분위기 좋은 술집있어서 좋아요 사장님 친절하세요 😍😍😍
24.2.23.금,"모두의 아지트같았던 도봉역술집! 보물같은 곳 발견함!! 애견동반술집이래서 찾아갔는데 완전 안주 맛도리집이었어요 기본 안주 순두부 맛부터 메인안주 기대하게 만드는 맛이었는데 치킨가라아게랑 해물볶음우동까지 너무 맛있어서 술이 아주 달더라고요 분위기도 아늑하니 편안하고 여기 셀프존이 있는데 떡볶이 새우칩, 팝콘, 아이스크림 무제한 제공이라니 무슨일이죠❤️ 댕댕이 친화적인 곳이라서도 너무 좋았고 무엇보다 안주맛이 찐 도봉맛집👍"
24.4.20.토,"숨은 맛집임니다 기본 안주도 팝콘에 떡볶이에 알새우칩,, 무한 셀프 안주도 대박이에요. 이 똥손이 못찍어서 슬프답니다. 꼭꼭 와보세요 찐입니다!"
24.7.11.목,"기본 안주로 연두부를 주시고 떡볶이, 팝콘, 우동국물, 새우칩 등을 무한리필로 먹을 수 있어서 좋았어요!! 사장님도 친절하시고 맛있는 음식을 편안한 분위기에서 즐길 수 있어서 너무 좋았어요😻 우삼겹 나베 정말 맛있어서 추천합니당👍👍 자주 방문할것 같습니당!!"
24.2.6.화,종종 갔던 곳이지만 이제야 리뷰를 적네요 기본적으로 메인메뉴들이 다 맛있고 기본안주가 다양해요 화장실도 가게 내부에 있어서 굉장히 좋고 엄청 깨끗해서 마음에 들어요 좌식도 있고 일반 테이블도 있고 강아지가 출입 가능한 곳이라 좋아하시는 분들은 굉장히 좋아할것 같아요 무엇보다 사장님과 직원들이 항상 친절하여 좋습니다 또 방문할 예정
24.12.2.월,반응 남기기 방문일 24.12.2.월 2024년 12월 2일 월요일 1번째 방문 인증 수단 영수증
24.7.29.월,분위기 최고 기본안주 최고 메인안주는 당연히 최고~! 너무 좋아요 힐링ㅎㅎ
24.2.22.목,"여기 완전 강추...!!! 골목에 있는데도 사람이 꽉차있던데, 그만한 이유가 있었어요 집앞에 있었으면 정말 자주 갔을 것 같아요! 일본스럽게 꾸며놨지만 아늑하고 편한 분위기에 오래 수다떨기도 좋고 바깥자리쪽도 좋더라고요! 애견동반도 가능해서 근처 사시는 분들은 강아지 데리고 한잔하러 오시기 너무 좋을 것 같아요. 그리고 요기 안주가 넘 맛있더라고요!!! 해물나베랑 낙지우동볶음 먹었는데 둘 다 쥰맛탱이었어요..!! 사장님이 요리를 짱 잘하시는듯.. 그리고 기본안주도 출중합니다 새우알칩이랑 떡볶이 있는데 떡볶이 매콤하니 간 딱 적당하고 맛있었고 기본안주로 순두부도 나오더라고요?? 근데 요 순두부가 또 엄청 맛도리.. 배부르지 않았으면 추가 주문했을거에요 사장님분들도 다 너무 친절하시고 재방문의사 생기는 술집🖤"
24.8.15.목,음식도 맛있고 분위기 좋아요
24.2.17.토,애견동반 이자카야!!! 도봉구 유일이지 않을까 싶어요!! 일단 기본 안주 너무 잘 되어있어서 만족! 기본 메뉴에 떡볶이가 왠말입니까~~~너무 좋아요! 거기에 후식할 수 있는 아이스크림까지!!!! 근데 메인 메뉴들이 하나같이 다 맛있네요!!!  신랑과 오래간만에 찐 먹방데이트 했어요!!! 큐브치즈샐러드 꼭 드셔보세요~ 너무 맛있어요! 치즈별로 맛이 다 달라요!!!ㅋㅋㅋ 거기에 중화칠리새우는 매콤!!!👍👍👍 국물 찐한 나가사끼짬뽕까지~크~~~~짱짱!! 거기에 귀여운 강아지들도 보니 기분이 더 좋네요!ㅋㅋㅋ 친절한 사장님 덕분에 더 잘 먹고 왔어요~  분위기도 좋고~맛도 좋고~서비스 메뉴들도 너무 좋은~~연!! 또 갈게요!!!😁😁 부자되세요~ 사장님!!!
24.2.24.토,오늘 처음 와봤는데 음식도 너무너무 맛있고 분위기도 좋구 애견동반도 되서 저희 단골집으로 예약하구 가요..❤️❤️ 이렇게 아가들이 편하게 돌아다닐 수 있는 곳이 별루 없는데 사장님께서 배려해주신 덕분에 좋은 추억 만들구 가용ㅎㅎㅎ:) 앞으로 자주 오겠숩니다!!! 저만 알고 싶지만 훨씬 더 유명해졌으면 좋겠어요 ㅎㅎㅎㅎ 😍🫶🫶
23.12.18.월,"새로생긴곳 이라그래서 와봤는데 크리스마스 연말분위기에 가족 연인 친구들과 와서 즐겁게 술한잔하기에 너무 좋더라구요❣️ 다트도 있고, 팝콘, 떡볶이, 알새우칩 셀프바도 좋고 술냉장고에서 맘껏 꺼내먹고 후에 모두 결제하는거도 좋았어요! 직원분들도 친절하셔요! 동네에서 이만한 분위기 술집은 여기가 최고인거 같네요🫶🏻 앞으로도 종종 올것 같아요! 핫플되기전에 자주자주 와야게써요! 🍸 애견동반 가능해서 귀여운 강아지들도 종종 볼수있어요!❤️ 낙지볶음우동 살짝매콤하고 치킨가라야케 맥주안주에좋아요! 추운날 오뎅탕도 최고였어요! 앞접시나 이런거도 셀프바에서 다 이용하면되서 간편하고 좋더라구요✨"
24.3.20.수,요기대박이에용 ~~ 기본안주가 엄청많고~~ 메인 타다끼 넘맛있어요~~~ 강아지동반이라 강아지구경도했네용 ~ㅋㅋㅋㅋ
24.5.12.일,사장님이 넘넘 친절하세용🩷 친구랑 얘기 하면서 가볍게 한잔 하기 좋은 이자카야!! 비가 와서 그런지 더 운치있고 좋았네요
24.8.14.수,반응 남기기 방문일 24.8.14.수 2024년 8월 14일 수요일 1번째 방문 인증 수단 영수증
24.5.27.월,맛도 분위기도 굿굿~조아요 !!👍
24.6.20.목,사장님이 너무친절하고 음식이 너무 맛있어요~~
24.10.5.토,반응 남기기 방문일 24.10.5.토 2024년 10월 5일 토요일 3번째 방문 인증 수단 영수증
24.3.25.월,음식 너무 푸짐하고 맛있어요!! 강아지도 함께 올 수 있다고 해서 다음엔 댕댕이와 함께 오기루 했어요❤️
24.7.21.일,반응 남기기 방문일 24.7.21.일 2024년 7월 21일 일요일 1번째 방문 인증 수단 영수증
24.3.6.수,모임에서 방문 안주맛있고 친절해요
23.10.20.금,가게 분위기 그때 그대로!!! 도봉 핫플레이스 빡에서 연으로 리뉴얼 됐네요🥲 율무 깨비도 우둔살 맛나게 먹구 감요!! 안주 기본적으로 퀄리티가 받쳐주는 맛으로 데이트코스 개꿀!
24.5.7.화,반응 남기기 방문일 24.5.7.화 2024년 5월 7일 화요일 1번째 방문 인증 수단 영수증
24.11.3.일,반응 남기기 방문일 24.11.3.일 2024년 11월 3일 일요일 1번째 방문 인증 수단 영수증
23.10.31.화,사장님이 강아지를 너무 좋아하시고 분위기가 너무 좋습니다! 애견동반 술집이여서 다른 손님분들도 강아지를 이뻐해줘서 좋은 시간을 보낼 수 있었습니다!!
23.10.20.금,사장님 너무 친절하시구 음식도 맛있어요! 예전 분위기 그대로 친근하게 편안한 분위기로 술먹고 힐링하고 온 느낌입니다 ㅎㅎ 도봉 핫플 연 이자카야 입니다(ˊo̶̶̷ᴗo̶̶̷`)
23.12.22.금,맛있어요. 모임장소 강추
24.2.5.월,좋아하는 동네 술집.-.
24.1.19.금,매장 인테리어 예쁘고 좋아요
