date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
24.1.20.토,연탄은 역시죠!! 뚝도시장 도장찍기 하는 중에 방문했는데 맛있게 잘 먹었어요!  엄청 특별한 맛은 아니라서 동네분들 가기에 좋은 고깃집이에요😊  된장찌개에서 은은한 해물맛이 나는게 신기했구요
24.1.16.화,울 아이들과 급 번개⚡ 자리가 있을까 걱정하며 갔는데 조금만 늦었어도 기다릴뻔^^ 오랜만에 아이들도 시간이 맞아 함께 먹음. 고기에 껍데기에 누룽지까지 넘넘 맛있다고 극찬하며 먹음~
23.11.11.토,"오랜 단골집... 오랜만에 갔는데 사장님도 여전하시고, 고기맛도 여전하고... 정이 있는 그런곳.... 봄에 안정환님도 방문했다가 재방문하며 유투브 촬영도 했네요^^"
23.4.20.목,"메뉴판 가격을 보면 10년전 느낌, 그래서 어려진듯한 기분이 듭니다. 그래서 술도 잘 들어가나봐요. 주먹고기 정말 맛있고 된장찌개도 칼칼하니 맛있습니다. 메뉴에는 없지만 라면 끓여달라고 하면 기깔나게 끓여주세요. 그걸 먹어야 완성입니다."
23.5.29.월,"양이 많아요~~라면은 2인분이상부터 주문가능. 다섯명가서 6인분 가브리살, 라면2인분으로 배터졌네요^_^"
23.4.12.수,주먹고기 집이지만 사실 밥 맛집인 곳  여기 주먹고기 질도 좋고 맛있어요 🌝 반찬도 쓸데없는 거 없이 딱 필요한 야채 김치만 나오고 가격도 합리적입니다! 연탄불에 구워먹는건데 하…또 먹고싶네 된장찌개도 새우베이스로 깔끔한 국물맛이라 소주랑도 찰떡입니다.  그리고 나오는 김치랑 흰밥이랑먹으면 진짜 맛있다우🥹 시골집 바로 옆에 위치해있어 묻히다보니 빛을 못보는 느낌이지만 로컬입장에선 그게 더 좋아요ㅠㅠ 줄서기 싫어…..나만 갈거야..
23.4.21.금,고기 맛있고 어머니 무뚝뚝해 보이시는데 친절하셔용 된찌도 맛있어요. 다음에 뵙겠습니다~!
23.2.25.토,성수동 로컬 맛집 찾으시면 여기 강추!! 고기 너무 신선하고 상차림 간단하지만 넘 맛잇어용 숭늉도 주시는데 최고에요ㅎ
22.10.5.수,뚝도시장 8번게이트에 있는 연탄구이집. 돼지고기 전문인데 시장이라고 고기가 싸거나 그런건 없는데 맛은 일품. 깜놀. 많이 먹는 친구들이랑 같이 가서 한명당 2~3인분씩 먹고 온 듯. 부위별로 다 먹어봤는데 맛이 명품에 사장님 완전 친절. 서비스로 나오는 된장찌개도 최고였던 곳
23.2.6.월,울 아들 고기먹이러 들렸어요 맛있게 먹는 아들 흐믓하긴했는데ㅠ 나 먹을고기가 없었어요 배부르다면서도 남은고기 몽땅 쓸어담는 아들녀석ㅋ어려서이겠죠?
22.12.22.목,친구랑 둘이 고기먹고싶을때 들려요 술도먹고요 마지막에 누룽지주시는것도 참좋아요 맛있게 먹었습니다
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 3번째 방문 인증 수단 영수증
23.2.22.수,반응 남기기 방문일 23.2.22.수 2023년 2월 22일 수요일 2번째 방문 인증 수단 영수증
22.12.7.수,"고기 질이 굉장히 좋아요 아쉽게도 술은 못마셨는데, 음식이 맛있고 분위기가 좋아요"
22.12.10.토,반응 남기기 방문일 22.12.10.토 2022년 12월 10일 토요일 1번째 방문 인증 수단 영수증
22.11.26.토,반응 남기기 방문일 22.11.26.토 2022년 11월 26일 토요일 1번째 방문 인증 수단 영수증
22.8.18.목,신선한재료에 가성비 좋은 고기집. 정직한 사장님 최고입니다
22.10.24.월,반응 남기기 방문일 22.10.24.월 2022년 10월 24일 월요일 1번째 방문 인증 수단 영수증
22.9.1.목,반응 남기기 방문일 22.9.1.목 2022년 9월 1일 목요일 1번째 방문 인증 수단 영수증
