date,content
"""종류가 다양해요""",이 키워드를 선택한 인원
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""원산지 표시가 명확해요""","""원산지 표시가 명확해요"""
"""가격이 합리적이에요""",이 키워드를 선택한 인원
"""맛있어요""",이 키워드를 선택한 인원
"""손질이 깔끔해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""식사하기 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
9.3.수,반응 남기기 방문일 9.3.수 2025년 9월 3일 수요일 1번째 방문 인증 수단 영수증
8.5.화,반응 남기기 방문일 8.5.화 2025년 8월 5일 화요일 2번째 방문 인증 수단 영수증
24.9.13.금,반응 남기기 방문일 24.9.13.금 2024년 9월 13일 금요일 1번째 방문 인증 수단 영수증
24.7.5.금,상품이 다양하고 사장님이 친절해요
24.4.16.화,가격이 저렴해서 좋습니다
24.3.16.토,반응 남기기 방문일 24.3.16.토 2024년 3월 16일 토요일 1번째 방문 인증 수단 영수증
24.2.26.월,반응 남기기 방문일 24.2.26.월 2024년 2월 26일 월요일 1번째 방문 인증 수단 영수증
24.1.16.화,반응 남기기 방문일 24.1.16.화 2024년 1월 16일 화요일 1번째 방문 인증 수단 영수증
23.3.1.수,반응 남기기 방문일 23.3.1.수 2023년 3월 1일 수요일 1번째 방문 인증 수단 영수증
23.3.1.수,반응 남기기 방문일 23.3.1.수 2023년 3월 1일 수요일 1번째 방문 인증 수단 영수증
23.1.19.목,반응 남기기 방문일 23.1.19.목 2023년 1월 19일 목요일 1번째 방문 인증 수단 영수증
23.1.19.목,반응 남기기 방문일 23.1.19.목 2023년 1월 19일 목요일 1번째 방문 인증 수단 영수증
22.9.14.수,반응 남기기 방문일 22.9.14.수 2022년 9월 14일 수요일 1번째 방문 인증 수단 영수증
22.8.29.월,반응 남기기 방문일 22.8.29.월 2022년 8월 29일 월요일 1번째 방문 인증 수단 영수증
22.5.19.목,반응 남기기 방문일 22.5.19.목 2022년 5월 19일 목요일 1번째 방문 인증 수단 영수증
22.5.6.금,반응 남기기 방문일 22.5.6.금 2022년 5월 6일 금요일 1번째 방문 인증 수단 영수증
21.7.25.일,반응 남기기 방문일 21.7.25.일 2021년 7월 25일 일요일 1번째 방문 인증 수단 영수증
21.6.27.일,반응 남기기 방문일 21.6.27.일 2021년 6월 27일 일요일 1번째 방문 인증 수단 영수증
20.9.8.화,반응 남기기 방문일 20.9.8.화 2020년 9월 8일 화요일 1번째 방문 인증 수단 영수증
19.3.25.월,가격도 착하고 사장님이 무척 친절하세요^^
