date,content
10.3.금,반응 남기기 방문일 10.3.금 2025년 10월 3일 금요일 39번째 방문 인증 수단 영수증
9.20.토,반응 남기기 방문일 9.20.토 2025년 9월 20일 토요일 2번째 방문 인증 수단 영수증
9.12.금,반응 남기기 방문일 9.12.금 2025년 9월 12일 금요일 38번째 방문 인증 수단 영수증
9.11.목,계란이 참 좋아요~ 왕란 마니파세요
8.5.화,반응 남기기 방문일 8.5.화 2025년 8월 5일 화요일 37번째 방문 인증 수단 영수증
6.19.목,반응 남기기 방문일 6.19.목 2025년 6월 19일 목요일 36번째 방문 인증 수단 영수증
6.3.화,반응 남기기 방문일 6.3.화 2025년 6월 3일 화요일 35번째 방문 인증 수단 영수증
5.26.월,반응 남기기 방문일 5.26.월 2025년 5월 26일 월요일 34번째 방문 인증 수단 영수증
5.15.목,반응 남기기 방문일 5.15.목 2025년 5월 15일 목요일 33번째 방문 인증 수단 영수증
24.10.23.수,반응 남기기 방문일 24.10.23.수 2024년 10월 23일 수요일 37번째 방문 인증 수단 영수증
24.9.20.금,반응 남기기 방문일 24.9.20.금 2024년 9월 20일 금요일 36번째 방문 인증 수단 영수증
24.8.6.화,반응 남기기 방문일 24.8.6.화 2024년 8월 6일 화요일 34번째 방문 인증 수단 영수증
24.7.15.월,계란이 신선하고 좋아요
24.6.7.금,반응 남기기 방문일 24.6.7.금 2024년 6월 7일 금요일 18번째 방문 인증 수단 영수증
24.4.3.수,반응 남기기 방문일 24.4.3.수 2024년 4월 3일 수요일 17번째 방문 인증 수단 영수증
24.3.26.화,신선하고. 친절해서 자주이용합니다
24.3.12.화,반응 남기기 방문일 24.3.12.화 2024년 3월 12일 화요일 1번째 방문 인증 수단 영수증
24.2.1.목,계란이 가격도 좋고 신선하고 짱요
24.1.5.금,계란이 신선하고 좋아요
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 19번째 방문 인증 수단 영수증
23.10.30.월,반응 남기기 방문일 23.10.30.월 2023년 10월 30일 월요일 14번째 방문 인증 수단 영수증
23.10.16.월,계란이 신선하고 좋아요
23.10.5.목,반응 남기기 방문일 23.10.5.목 2023년 10월 5일 목요일 18번째 방문 인증 수단 영수증
23.9.21.목,반응 남기기 방문일 23.9.21.목 2023년 9월 21일 목요일 12번째 방문 인증 수단 영수증
23.9.15.금,반응 남기기 방문일 23.9.15.금 2023년 9월 15일 금요일 17번째 방문 인증 수단 영수증
23.8.31.목,반응 남기기 방문일 23.8.31.목 2023년 8월 31일 목요일 16번째 방문 인증 수단 영수증
23.8.17.목,반응 남기기 방문일 23.8.17.목 2023년 8월 17일 목요일 15번째 방문 인증 수단 영수증
