date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
8.20.수,"산꼼장어 1 양념꼼장어 1 먹었슴더 제가 먹어본 꼼장어 즁에 제일 맛있었어여 밑반찬도 기깔나게 맛있고 된장찌개 뒤집어졌어여 ㅡㅡ 밥까지 넣어쥬셔서 짜글이로 먹고 포도로 마무리 ,,,, 갓벽 그 잡채였다고 합니다 … 아 지금 출근 듕인데 또 먹고싶다"
8.29.금,두번째방문이에욥 이근처 꼼장어집중에 젤맛있어요 파김치도 짱이에욧 ㅠ
4.20.일,오가네숯불꼼장어 맛있어요. 사장님께서 반찬을 직접 만드시고 신선한 재료라서 좋아요. 사장님께서 친절하세요. 강추 합니다.
3.8.토,"산꼼장어 ! 우선 무조건 처음 가신분은 산!!꼼장어!! 드세요ㅎㅎ 그리고 여기는 반찬,된장 직접 담구시는데 여사장님이 전라도 분이라 !!흑백요리사 급식대가급 입니다ㅋㅋ 파김치 봄동 콩나물 등 너무 맛있어요 꼭 꼭 가보세요 남사장님 여사장님 친절해요(츤츤) 스타일이 갈릴 수 있지만 저는 너무 좋았습니다 ㅎㅎ 여기...된찌가 킥이고 장어 먹고 있으면 추후 나오니 기다려 보셔요 ㅎㅎ 된장너무 맛있지만 추가는 안 됩니다ㅠㅠ,, 이상 이거 보신 분은 복 받으신 분이에오 꼭~ 가보셔요 ㅎㅎ🤍 내돈내산 후기."
2.7.금,"소고기 간단하게 먹고, 꼼장어 먹으면 됩니다. 수입산은 바로 주시는데 국내산은 잡아서 주셔서 좀 기다려야 되요. 맛은 있습니다."
4.11.금,사장님이 직접 담근 된장찌개 너무 맛있고 꼼장어도 너무 신선하고 맛잇어요 ㅠㅠㅠ 저희만 아는 맛집 하고 싶었는데 소뮨 내볼게요..🫶🏻
24.3.20.수,산 꼼장어 멀리 기장 갈 필요 없습니다 ~!! 기장보다 더 맛있을수도 ㅎㅎ 산꼼장어 원픽! 최애 맛집입니다 !! 반찬도 하나같이 엄마가 해준 반찬 같이 맛있고 마지막 된장찌개도 예술이에요! 사장님도 너무너무 친절 유쾌하신 찐찐 맛집💕
24.2.25.일,"아니 여기 후기를 드디어 쓰네요. 제가 5년 전에 운동 끝나고 처음 방문했다가 너~~~~무 맛있어서 후기 써야지 하고 영수증 받고 까먹고 못 쓰고 하다가 ㅠ 이사 가서 못 먹고 .. ( 가끔 저녁 일찍 닫으심 ) 오픈 확인하고 저녁에 갔는데 문 닫아서 못 먹고, 몇 번 방문했는데 못먹고..ㅠㅠ....ㅋㅋㅋ.... 20시에 간다고 전화드리고 가서 드디어 먹었네요. 인생 첫 곰장어인 친구와 함께 방문해서 너무 맛있게 먹었어요. 된장찌개에 밥 말아서 끓여 먹는 게 존맛탱.. 반찬을 다 사모님이 하시는데 진짜 반찬이 다 맛있어요. 여기 문 닫으면 근처 다른 근처 다른 꼼장어집 가는데.. 뚝섬 꼼장어 치면 나오는 유명한 곳 보다 여기가 더 맛있는데.. 왜 그걸 모르징.... 여길가세요들 먹짱 믿으세요"
24.5.5.일,꼼장어가 진짜 맛있어요~~몇년 동안 부모님하고 계속 방문하는 집입니다. 강추!
23.10.2.월,서울숲 갔다 우연히 들른 집 합리적 가격에 싱싱한 숯불산꼼장어 친절한 서비스까지
23.8.14.월,일본에서 귀국 후 17시 쯤 친구와 가서 거하게 마신 곳. 첫 손님이라 남/여사장님이 차례대로 신경써주셨고 그 와중에 만담을 나누었어요. 대부분의 내용이 기억나지 않지만 참 유쾌했습니다. 메뉴를 골고루 주문했고 호기심에 먹은 산꼼장어의 맛은 냉동 꼼장어와는 차원이 달랐습니다. 소주도 3병씩 먹었나..참 매력적인 노포입니다.
23.6.26.월,표정을 눌러 반응을 남겨 보세요! 반응 남기기 방문일 23.6.26.월 2023년 6월 26일 월요일 1번째 방문 인증 수단 영수증
22.9.17.토,"산꼼장어 너무 마싯고 사장님이 친절하게 먹는법듀 설명해주셔서 다양한 조합으로 잘 먹었습니다. 기본으로 된장찌개가 나오는데 사장님이 직접 만드신 된장으로 하셔서 자부심 있으시고 맛도 정말 좋았어요. 다른 밑반찬도 정말 감칠맛나는 것들 밖에 없었네요 정말 강추 ,, 뚝섬 찐맛집"
23.3.2.목,반응 남기기 방문일 23.3.2.목 2023년 3월 2일 목요일 1번째 방문 인증 수단 영수증
22.10.5.수,반응 남기기 방문일 22.10.5.수 2022년 10월 5일 수요일 1번째 방문 인증 수단 영수증
21.7.5.월,인생꼼장어집!!!!! 미쳤다~~~~ 꼭꼭 생꼼장어로 드세용~~~ 양도 많이 주시고 완전 오돌돌씹히는 맛 ~ 주인이모랑 아져씨 완전 친절~~ 꼼장어 땡길때마다 여이로 또 갈끄에요!! 갈비살도 살살 녹아용~~~~~ 완전추천이요~~~~
21.9.4.토,진짜 산꼼장어 최고에요! 생각나서 또 먹으러왔어요 다음에 또올게요!
21.12.2.목,반응 남기기 방문일 21.12.2.목 2021년 12월 2일 목요일 3번째 방문 인증 수단 영수증
21.9.14.화,반응 남기기 방문일 21.9.14.화 2021년 9월 14일 화요일 2번째 방문 인증 수단 영수증
21.4.10.토,양념은 그냥 그렇고 여기는 산꼼장어가 찐맛집이에요!!!!
21.6.10.목,반응 남기기 방문일 21.6.10.목 2021년 6월 10일 목요일 2번째 방문 인증 수단 영수증
20.12.14.월,집밥 같은 맛...맛나요 사장님들 넘 친절하시구요 짱~!
21.2.26.금,반응 남기기 방문일 21.2.26.금 2021년 2월 26일 금요일 1번째 방문 인증 수단 영수증
20.11.27.금,싱싱한 산꼼장어 너무 맛있어요
20.5.21.목,"사장님 내외분 너무 친절 하십니다. 꼼장어 너무 신선하고 맛있어요. 된장찌개 진짜 맛있어 물어보니, 된장도 직접 만드신다고 하더군요.꼭 한번 맛보러 가보세요!!!"
20.9.13.일,사장님이 친절하시고 맛은 엄청 맛있어요. 화장실 식당 밖에 있어용~
