date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
3.8.토,저번에 한번 갔다가 반해서 자주 먹어요! 원래 포장하면 오뎅국이랑 떡볶이는 안 주시는줄 알았는데 주시네요!  아이랑 같이 먹기도 좋고 매장 가면 분위기가 차분해서 좋아요.여기 진짜 추천합니다!
5.9.금,동네에 이런 맛집이 있는지 몰랐네요. 진짜 맛있게 먹었어요 ! 소주 땡길때 또 주문하겠습니다 💕
24.11.7.목,배달로만 먹다가 남편과 매장에서 직접 먹었는데요~ 매장에서 먹으니 떡볶이와 오뎅까지 서비스로 주시고~ 배달도 맛있었지만 매장에서 먹으니 더 맛있었습니다. 가격도 가성비 있구요~ 무엇보다 사장님이 너무 친절하셔서 재방문 예정입니다.
24.10.6.일,"기본 안주로 오뎅이랑 떡볶이가 나와요! 메인메뉴 나오기 전에 술 한잔 하기 너무 좋았고 메인 메뉴인 곱창, 막창 모두 맛있었어요! 양도 많고 야채곱창이 자극적이지 않게 적당히 매콤했어요! 막창도 쫄깃하고 특히 곱창이랑 막창 모두 잡내가 하나도 안나서 먹기 편하고 좋았어요. 사장님도 친절하셔서 기분좋게 먹고 좋은 저녁 되었어요! 번창하세요!"
24.10.15.화,오랜만에 친구랑 간맥하기로 금호동 방문하면서 곱창 먹으러 방문한 오남매곱창! 우연히 방문했다가 맛집 발견했어요 😆 매콤 쫄깃함 가득한 야채곱창부터 순대야채볶음까지 완벽한 식사였는데 기본안주도 오뎅이랑 떡볶이까지 나와서 안그래도 양 많은 곱창으로 배터지는 식사했어요 ㅎㅎㅎ 🙌🏻
24.10.5.토,야채곱창 증독자로서 금호동에 있는 야채곱창집은 다 가봤는데 진짜 여기가 1등...🥹🩷  다른 데는 갈 때마다 잡내 날 때도 있고 누린내? 라고 해야 되나 그런 뭔가 먹기 찝찝한 냄새가 나서 안 가게 되는데 오남매곱창은 갈 때마다 균일한 맛에 사장님도 넘 친절하시고 서비스도 좋아서 자주 와요!  특히 주먹밥 야채곱창이랑 진짜 미친 궁합이니 꼭꼭 추가하시길 추천드립니다 번창하세용🩷
1.8.수,1인분 포장했는데 10분만에 준비되고 양도 적당히 많고 맛있었어요! 어묵 서비스랑 상추도 주셔서 맛있게 잘 먹었습니다🙂
24.9.25.수,사장님 너무 친절하시구 곱창이랑 막창 너무 맛있어서 오랜만에 과식 했네요 볶음밥도 완전 취저❤️ 동네여서 자주 올거같아요!! 맛있게 잘 먹었습니다 ^3^
24.9.25.수,"밑반찬부터 양이 너무 좋았던 곳이네요. 야채곱창, 피자야채곱창, 볶음밥이 너무 맛있는 곳이에요!! 가성비갑입니다. 고물가시대 잘 먹구가네요"
24.10.15.화,금호역 곱창 막창 맛집 오남매곱창! 오뎅 과 떡볶이 가 나오는곳 :) 기가막히게 맛있습니다 막창 과 곱창 이 너무 맛있어요!! 재방문 하겠습니다
24.11.15.금,곱창보다 서비스 오뎅이 맛있음. 그거 먹으러 시키는 듯
24.11.17.일,돼지곱창전골 잡내없이 넘 맛나게 잘먹었읍니다 추운 날씨에 딱이네요
24.8.19.월,지나다가 충동(?) 포장 했어요 몸이 좀 아파서 식사를 못하던 차에 옛추억으로 주문했는 너무 맛나게 먹었어요  서비스 주신 어묵탕 국물까지도 맛나요 집나간 입맛이 돌아 왔네요 순대볶음 먹으로 다시 가려고요
24.10.8.화,곱창에 서비스 오뎅이 일품임.
24.11.10.일,동네 30년 산 사람으로 금호동에 잇는 곱창집 중에  가성비에 맛잇는 곳은 여기입니다
24.9.11.수,맛있어요!!!!!! 너무 친절하시고 필요한거 계속 체크해주시고 아낌없이 반찬 리필해주셔서좋아요 막창은 잡내도 안나서 소쥬 안주에 딱이였어요 동네 아지트 하기에 너무 좋은곳 같아요! 잘먹었습니다~~~!
24.10.10.목,반응 남기기 방문일 24.10.10.목 2024년 10월 10일 목요일 1번째 방문 인증 수단 포장주문
24.4.18.목,맛도 맛인데 분위기가 최고입니당!!👏🏻🤍 맛도 분위기도 일석이조예요ㅠㅠ 와인바같은 느낌으로 곱창집에서 볼수없는 무드예요 ! 데이트로 추천합니댱 곱창도 넘 맛있어요
24.9.21.토,맛있고 곱창집에서떡볶이와 오댕 이 서비스나와서 좋았어요
24.5.18.토,깨끗하고 맛있고 사장님이 친절하셔서 너무 좋습니다! 이사가서 배달 못해서 오랜만에 포장하러 왓네요ㅠㅠ
24.2.8.목,가볍게 들러서 먹기 좋은 곳이애요. 기본 안주로 떡볶와 어묵이 나옵니다.
24.3.24.일,옆지기가 야식 먹자고 하여 지나는 길에 방문 포장했어요. 한참을 기다려 받아와 먹었어요. 내가 좋아하는 건 야채와 당면. 곱창은 별로 좋아하지 않아서 한 개만 먹고 패스. 약간 매운 맛. 자꾸 손이갔어요.
23.10.25.수,기본으로주시는 떡볶이. 오뎅이 마싯음 반칙아닌가요~ㅎㅎ 담백한 소금막창구이 양념배합이 찐. 야채곱창 둘다 컨텍 굿굿임다  가을바람살랑 야장같은곳은 더 마싯는 너낌~♡ 사장님들 넘 친절하세요♡
24.2.28.수,양도 많고 각 메뉴마다 다 맛있어요 같이 주시는 떡볶이도 쫄깃하니 맛있어용
24.5.9.목,반응 남기기 방문일 24.5.9.목 2024년 5월 9일 목요일 3번째 방문 인증 수단 영수증
24.2.17.토,너무 맛있고 양도 많고 사장님도 친절하세요! 야채볶음도 곱창 많이 들어가있고 오뎅도 떡볶이도 너무 맛난 집입니다. 자꾸 방문하게 되어요
23.10.19.목,직접 구워주셔서 바로 먹을 수 있는 막창 :) 소금구이도 데리마요도 넘나 맛있게 잘 먹었습니당ㅎㅎ 서비스로 나오는 오뎅탕도 넘 맛있구 떡볶이도 자꾸 손이가는 맛이었어용😀
24.1.12.금,진짜 너무 맛있어서 급하게 먹느라 사진을 못찍었네요...진짜 너무 맛있고 사장님도 친절하시고 증말 맛있었습니다 잘먹었습니다!!!!!
24.1.12.금,데리마요 곱창 너무 맛잇꾸 ㅠㅠ 야채곱창두 맛나여🩷🩷 사장님두 친절하시구 너무 재밋게 먹구 얘기하다 갑니다아 번창하세여 그래야 또 올쑤잇우니까여!!!>_<
23.10.14.토,"돼지야채곱창,막창 생각나면 매번 가는 찐 단골집!! 자주먹어도 질리지 않는 맛!! 매번 먹어도 맛있어요!!👍 잡내 없고 신선하고 야들야들하니 엄청 맛있어요!😆"
24.1.12.금,진짜 너무 맛있고 사장님도 친절하시구 메뉴 구성도 알차요 인생 곱창집 ㅠㅠ 너무 맛있게 잘 먹고 갑니당!!
24.1.12.금,양도 많고 완전 맛나요!! 사장님 번창하세요~~
23.10.20.금,데리마요 막창 진짜 강추입니다!!! 존맛탱 이동네 젤 양 많고 맛있어요ㅠㅠ 중독성있는맛👍🏻 오늘하루 마무리도 오곱입니다💕
24.4.7.일,반응 남기기 방문일 24.4.7.일 2024년 4월 7일 일요일 1번째 방문 인증 수단 영수증
23.8.5.토,다른 분들은 양이 많다시는데 저는 맛있어서 그런지 아쉬운 맘이 들어요. 그래서 담엔 2배로 주문해야겠어요. 맛있어서 재주문할거예요. 번창하세요~~~~^^
23.10.2.월,곱창 진짜 맛있어요!
23.8.29.화,사장님 서비스도 좋고 넘 맛있습니다^^
23.10.25.수,반응 남기기 방문일 23.10.25.수 2023년 10월 25일 수요일 1번째 방문 인증 수단 영수증
23.8.6.일,반응 남기기 방문일 23.8.6.일 2023년 8월 6일 일요일 1번째 방문 인증 수단 영수증
23.4.3.월,금호동 곱창 1등!! 진심 너무 맛있고 너무 친절하심
23.4.1.토,단골끼리 마주치는 곳!! 나만 알고 싶은 맛집😆 양념막창도 너무 맛있다😍😋 술안주로 최고예요!!👍👍 양도 많고 맛도 최고입니다!❤️
23.1.23.월,설 연휴인데 열려있어서 친구랑 맛있게 먹고왔네요! 개인적으로 야채곱창은 저에게 좀 간이 삼삼한 편이었지만 데리마요막창? 얘는 완전 취향저격이네요💗 다음번에 데리마요막창 먹으러 또 가고싶어요ㅎㅎㅎ
23.7.18.화,냠냠 잘 먹었습니다:)
23.2.24.금,동네 단골집!! 매번 여기만 가면 이것만 시켜먹는당 ㅎㅎ 너무 맛있어요!! 제가 먹어본 야곱중에 제일 맛있어요😋 단골손님 많은 집! 다들 한번 먹어보면 여기서만 먹게 될거예요! 꼭 다들 먹어보세요 ㅎㅎ
23.3.31.금,"소막창구이와 양념막창 주문 픽업했는데 양도 많고 각종 소스와 쌈채소, 오뎅탕과 떡볶이까지 주셔서 놀랬어요. 푸짐하게 맛있게 잘 먹었습니다"
23.4.21.금,냉삼을 먼저 먹은 후 곱창을 먹으면 환상의 조합인것같아요~ 넘 맛있어용🫶🫶
23.4.21.금,진짜 맛있고 또 생각나는 맛입니다 곱창이 쫄깃하고 양념 맛이 맛있어서 입에서 계속 맴돌아요 앞으로도 많이 방문할겁니다 !
23.4.21.금,집 근처 곱창집 맛집 입니다 양 많고 냄새 안나서 여자친구랑 자주갑니다! 떡볶이랑 오뎅 서비스로 주시는데 떡볶이 찐맛집
23.4.30.일,반응 남기기 방문일 23.4.30.일 2023년 4월 30일 일요일 1번째 방문 인증 수단 영수증
