date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
8.25.월,오므라이스 먹고싶어서 찾아서 온 곳인데 너무 맛있어서 기분 좋았어요! 오므라이스 종류가 많은데 새롭고 맛있어요! 로제오므라이스가 진짜 기대 이상으로 맛있어서 추천이에요💛👍🏻 매장인테리어도 귀엽고 여름인데 쾌적했어요 연남오면 다시 방문할 거 같아요☺️💛
9.22.월,동네에 있는 매장이라서 한두달에 한번씩 가는곳인데 음....뭐랄까 변한듯 변하지 않은 애매함...분위기 맛 가격 다 그대로인데 전보다 양은 조금 줄어든 느낌. 그래도 가성비는 좋다고 생각됨.
2.17.월,이이가 만화책 작가님이 좋아하는 오무라이스 모양처럼 생긴 그대로를 먹어보고 싶대서 검색해보고 갔어요 연남동 안쪽이라 걸어갔는데 아이가 대만족 했습니다 오무라이스 맛집입니다 풍부한 맛이 느껴지는 소스에서 열심히 하는 집임을 알 수 있어요 간판 이름 답게 오무라이스 맛집입니다 아이랑 저랑 너무 잘 먹었어요
5.22.목,연남동 최애 오므라이스 집이에요. 소세지 추가는 세트가격적용되서 더 싸요 딱 이조합으로 드셔보세요 개꿀맛 인정
1.21.화,"진짜 맛있어요... 오므라이스는 원래 맛없기도 어렵지만 맛있기도 어렵잖아요.. 보통 그냥 먹으러가면 무난한~ 그런 맛인데, 여기는 크림소스가 맛있어서 볶음밥이랑 같이 퍼먹다 보면 걍 그릇 설거지되어있습니다. 돈까스도 바삭하고 맛있어요!"
3.1.토,오므라이스 맛도 충실하고 밥양 조절해서 먹을수있는점이 너무좋아요!
5.22.목,반응 남기기 방문일 5.22.목 2025년 5월 22일 목요일 1번째 방문 인증 수단 영수증
3.26.수,오랜만에 오므라이스 맛있게 먹었습니다
4.12.토,반응 남기기 방문일 4.12.토 2025년 4월 12일 토요일 1번째 방문 인증 수단 영수증
4.5.토,반응 남기기 방문일 4.5.토 2025년 4월 5일 토요일 1번째 방문 인증 수단 영수증
1.4.토,음식이 빨리 나오고 맛나요
24.12.14.토,소스맵기랑 밥양조절 가능해서 맘편하게 먹을수 있었어요 오므라이스 자체도 맛있고 추천조합도 만족스러웠습니다😊
1.25.토,화장실이 있고 사장님은 친절합니다. 음식이 맛있습니다. 주차장은 없습니다.
24.9.7.토,크림 꼭 드세요ㅠㅠㅠㅠ크림 맵기 매콤하게 해서 먹으면 콧노래가 절로 홍홍홍. 제가 먹어본 크림오므라이스 중에 탑입니다. 왜냐하면 화려하지 않아보이는데 맛이 화려하거든요. 기억하세요. 오물오물은 크림크림입니다.
1.25.토,반응 남기기 방문일 1.25.토 2025년 1월 25일 토요일 1번째 방문 인증 수단 영수증
3.3.월,반응 남기기 방문일 3.3.월 2025년 3월 3일 월요일 1번째 방문 인증 수단 영수증
