date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
4.29.화,"모든 음식이 너무 너무 맛있었습니다! 특히 어란파스타랑 카라카라 꼭 드셔보시길,, 매장도 아늑하고 조용해서 데이트로도 딱이었고 추천해주신 와인들도 음식과 페어링이 찰떡이라 두병 순삭했네요! 또 방문하겠습니다:D"
5.30.금,분위기 너무 좋아요!! 푸딩은 완전 필수에요! 🍓🍮
5.24.토,진짜 너모 맛있어요 인생푸딩ㅜㅜ
5.10.토,엄청 늦게 나오는 음식 썰리지 않는 이베리코 식기류가 문제일까 고기가 문제일까 최악.  시끄러운 후라이펜 마찰음과 너무 큰 음악소리 일행과 대화하기 불편함을 넘어 끊어지는 분위기 최악.  일행이 밥 사준다고 하는데 대화 하고싶지 않은 상대라면 적극 추천  내 돈주고 사먹는다 ? 로또 당첨된거아니면 글쎄 ..
3.7.금,하몽 파스타 굿👍🏻 와인잔도 너무 좋아요!
24.6.8.토,한달만에 두번째 방문입니다! 파스타 너무 맛있구요. 내추럴와인도 음식이랑 찰떡이라 더 맛있게 먹었어요. 신기하게 참외로 만든 피클을 주셨는데 이게 맛이 있을까 의심하며 먹었지만 먹는 순간 의심이 사라지네요! 행복한 저녁이었습니다!!!🥰😍
24.4.22.월,골목에 숨겨진 찐맛집 너무 맛있고 정성스러운 음식과 와인! 와인 추천도 잘해주셔서 저희 바이브에 맞는 딱 좋은 와인을 마실 수 있었습니다ㅎㅎ딱 데이트할때 오기에 좋은 공간이에요
23.6.23.금,"모든 메뉴 다 먹고 싶어요!!!! 처음엔 혼자가보고 다먹고싶어서 친구랑 재방문:) 친구랑 뿌시고 왔네요 행복한 날이였습니다!! 진짜 너무너무 맛있어요!! 또..먹고 싶어요😂😮‍💨  브리오슈는 정말 환상입니다. 바삭한듯 촉촉한 빵과 바질의향, 상콤한 과일, 예쁜생화까지 진짜 꼭꼭 먹어봐요 진짜 맛있어유🧡  다..맛잇어서 다 말하기 손가락 아프니까 꼭 직접먹어봐유🤩"
23.10.14.토,"브리오슈, 무화과, 하몽 파스타, 이베리코, 판나코타, 추천해주신 보틀 와인 주문했습니다. 덕분에 특별한 날 좋은 시간 보냈습니다."
23.9.23.토,"오이고추, 브리오슈, 하몽파스타, 판나코타, 추천해주셨던 스파클링 와인 주문했습니다. 사진은 판나코타입니다. 맛과 분위기 모두 좋았고, 특별한 시간을 보내고픈 분들께 추천하고픈 가게입니다."
23.2.19.일,기념일에 방문 했는데 음식이 너무 맛있고 특별한 메뉴가 있어서 너무 좋았어요 사장님께서 와인도 추천해줘서 마셨는데 술이 다양하고 무엇보다 사장님께서 친절하게 추천 해주셔서 너무 좋았어요 매장도 조용해서 친구랑 대화하기 좋아서 너무 좋은시간 보냈어요 다음이 또 가고 싶어요 !! 좋은시간 만들어 주셔서 감사합니다 !!
23.2.19.일,"기분이 넘 좋아요.. 그래서 친구랑 이야기하기도 너무 좋구요, 이런 맛집이 많아지면 좋겠으면서도 저만 알고싶어요(?) 사장님 남는거 있으신가요?? 가성비 + 너무 맛있고 + 너무 친절하시고 음식에 대한 깊이가 너무 달라요… 취향 맞게 와인 추천도 너무 잘해주셔서 즐거운 시간이였습니다 🤍🤍🤍"
23.1.20.금,캐치테이블로 예약해서 다녀왔는데 음식도 특색있고 시킨 메뉴에 따라 와인도 추천해주셔서 너무 맛있게 잘 먹었습니다! 음식 하나하나 정성껏 눈 앞에서 만들어주셔서 믿음직스럽고 보기에도 예뻐서 사진도 너무 잘 나오는 곳이에요🤍 그리고 사장님이 친절해요.. (잘생겼어요.) 또 올게요 사장님🤍
23.1.24.화,"세번째 방문이예요 메뉴가 새롭게 바뀌어서 또 갔는데 기대이상으로 다 맛있었어요~~ 오이고추는 매번 필수로 먹는데, 새우피클, 항정살도 추천해요 :) 와인 설명도 잘해주시고 항상 비교선택할 수 있게 해줘서 넘 좋아요~~🍷"
23.2.8.수,메뉴가 다양한데 하나하나 전부 너무 맛있었어요! 마지막으로 나온 푸딩은 라즈베리 소스가 진짜.. 감탄 나올정도로 맛있으니 다들 드셔보셨으면 좋겠어요🥹 사장님의 친절한 설명 덕분에 더욱 맛있게 잘먹었답다!! 위치는 역에서 많이 멀지도 않고 조용한 분위기에 가볍게 대화를 나누기에도 참 좋았습니다:) 술을 좋아하는 친구와 방문했는데 종류가 참 다양하고 좋다고 하더라구요! 다양한 술을 접해보기에도 좋다 생각드는 곳이였습니다👍 퇴근하고 종종 들릴 것 같아요! 정말 맛있게 잘 먹었습니다~!!
23.2.5.일,"진짜 너무 예뻐서,, ㅎㅎ 보기만 해도 행복해지는 음식이였어요ღ  사장님도 너무 친절하시고 일끝나고 종종 혼자 가도 될 정도,,,,ㅎㅎ 편하게 기분좋게 먹구 왔습니당(๑˃̵ᴗ˂̵๑)  일의 자부심이 느껴지시는 사장님과의 대화도 너무 즐거웠습니당! 더더 입소문나길!ㅎㅎ"
22.11.26.토,분위기는 당연하고 맛이 너무 좋아요! 😊 사장님이 와인에 대한 애정도 뿜뿜하셔서 다양한 와인도 많이 가져다두시고 요리에 어울리는 와인으로 추천도 해주셨어요!! 요리와 와인에 대한 설명은 덤.....🫶🏻 맛도 분위기도 사장님도 모두 훈.훈.합니당. 친구들이랑 갔지만 혼술하기도 좋을 것 같아요!!
23.3.17.금,"음식이 너무 너무 맛있어서 좋네요. 사장님도 친절하시고, 또 오겠습니다."
23.2.3.금,왕십리에 숨은맛집이 있는지 몰랐네❤3❤ 진쨔루 왕맛있어요ㅠㅠㅠ!!!!!!!! 두번 세번 10번 가고싶은 맛이라구 분위기도 왕좋쿠 음식두 미챳따 또와야디 사장님 번창하세요🤭🤭🫶🏻🥰
22.12.15.목,사장님 왕친절해요 내츄럴와인 입문자도 쉽게 접근할 수 있게 도와줘요 사장님이. 안주마다 설명해줘서 사진포인트 자꾸 놓치게 됨..나 빨리 사진찍어야되는데!!!
23.2.11.토,아주맛있었어요 한개한개 시키면서 술이랑 먹기넘 좋아요 다들왜안와..?
22.12.16.금,근처에서 와인바를 찾다가 방문하게 되었습니다! 일단 간판이없어서 지나칠 뻔 했지만 들어서자마자 분위기가 너무 좋고 무엇보다 네추럴와인 - 추천해주신 이태리산! 너무너무 맛있었어요! 취향저격입니다..💜 2차로 간거라 와인에 간단한 안주로만 시켰는데 모든게 완벽했어요. 너무 숨겨진 곳에 찾아낸 단골하고 싶은 집입니당~ 다음에 재방문해서 다른 와인도 마셔보고 싶어요! 나오는데 핫팩까지 챙겨주시고.. 너무 감동받았어요 번창하시면 좋겠습니당🙏🏻
22.11.22.화,이런 좋은 가게에 네이버 리뷰가 없다니 믿을 수 없어서 한 글자 적어봅니다.  깔끔하고 편한 분위기가 좋았어요. 다양한 메뉴들과 와인에 대한 친절한 설명에서 사장님의 열정이 느껴졌습니다. 정성스러운 음식들을 한 접시 한 접시 비우면서 만족스러운 시간들을 보냈네요. 오이고추와 하몽 파스타는 꼭 드셔보세요!  이 동네 살 길 정말 잘했다고 생각이 드는 순간이었습니다🫶🏻
22.11.26.토,"🎄제발 스지탕 드세요🎄 한남동, 성수, 도산공원 갈 필요 없네요....행당에 어떻게 이런 곳이 있죠ㅠㅠㅠ메뉴 하나하나 너무 맛있고 독특하고 그냥 지나가다 온건데 메뉴 수준이 너무 높고 기대 이상이라 깜짝 놀랐어요🤎🤎 진짜 요리가 예쁘고 맛있고 친절하고 다 해요...."
