date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
8.5.화,커피 맛집인데 수박주스는 대박이네요~
24.10.24.목,역시 바닐라빈라떼! 너무 맛있어요 이거 생각나서 와요~ 분위기도 좋고 커피도 맛있고 사장님도 친절하시고☺️
24.3.21.목,반응 남기기 방문일 24.3.21.목 2024년 3월 21일 목요일 1번째 방문 인증 수단 결제내역
24.1.26.금,우연히 길 가다 들렀는데 아늑한 나만의 아지트 같은 느낌이에요!!! 친구랑 사진 찍으면서 수다 떨기 좋은 분위기에요 ㅎㅎ 커피도 맛있고 무엇보다 사장님이 엄청 친절하세요!! 가게 안의 스콘 향기가 넘 좋아요 ㅎㅎㅎ 담에 또 오고 싶어요
23.11.2.목,"사진은 바닐라라떼 입니다! 음료가 맛있어서 한잔 더 마셨습니다☕️ 워낙에 하루에 커피를 세잔이상 마실정도로 좋아하는데, 원래는 아메리카노파입니다. 물론 이 집의 아메리카노도 맛있지만 우연히 먹은 바닐라라떼가 매력적이었습니다. 덜 달아서 부담스럽지않았습니다! 아늑한 공간이라 음료도 즐기고 친구와 대화하며 좋은 시간 보냈습니다~"
23.9.22.금,"오카보카 커피, 커피도 맛있고 디자인 책들 보면서 쉬기 좋아요!"
23.9.19.화,요즘 핫한 성수에서 조금 벗어난 어느 골목에 위치해 있다.  반지하라는 점을 강점으로 잘 살린 이곳은 맛있는 커피와 친절한 사장님이 있으시다.
23.11.10.금,라떼가 고소하니 약간 단맛도 났고 넘 맛있었어요 :-) 또 방문하고 싶은데 집이 멀어용ㅜ
23.5.12.금,사장님의 친절함으로 마음이 편해지는 곳. 외근 가는길 들러서 편히 쉬고 갑니다.
23.7.18.화,맛있어요 점원분들도 모두 친절해서 기분이 좋았어요
23.9.19.화,반응 남기기 방문일 23.9.19.화 2023년 9월 19일 화요일 1번째 방문 인증 수단 영수증
23.9.14.목,반응 남기기 방문일 23.9.14.목 2023년 9월 14일 목요일 1번째 방문 인증 수단 결제내역
23.6.13.화,커피가 진짜 고소하고 맛있습니다 거기에 토끼 쿠키 환상입니다… 사장님 적게 일하고 많이 버세요 너무 맛있네요……..
23.4.1.토,바닐라빈 라떼 저어어어어어ㅓㅇ엉말 맛있어요! 바닐라 아이스크림 느낌! 잘먹었습니다!
22.12.3.토,아이땜에 외출이 어려워 서울나들이를 못했는데 오랜만에 친구들과 자유부인 타임!!!! 마침 눈에 들어온 커피숍으로 간건데.. 커피맛과 크리스마스 분위기 물씬나서 힐링그자체😆 커피맛이야 다 비슷한가했는뎅 이집 커피 제 커피입맛을 바꿔주셨네요^^ 부드럽고 넘나맛있!!ㅋㅋ 추가로 바닐라라떼도 먹었는데 진짜 인생바닐라라떼었어요 ㅠㅠ 정신없어서 사진도 못찍어 아쉽..ㅠㅠㅠㅠ 다음에 또 자유부인시간이 난다면 반드시 재방문 예정입니다^^ 친절한 사장님과 커피맛 덕분에 제대로 힐링했어요^^ 감사합니다😊
23.8.10.목,어침 일찍 드립커피를 마실 수 있은 곳..
23.3.27.월,카페가 조용하고 아기자기한게 포근해요☺️☺️ 브루잉커피가 되게 메뉴 많던데 커피가 진짜 맛있어요!! 종류가 많아서 고르는 맛이 있어요ㅎㅎㅎㅎ
23.5.1.월,반응 남기기 방문일 23.5.1.월 2023년 5월 1일 월요일 6번째 방문 인증 수단 영수증
23.4.8.토,반응 남기기 방문일 23.4.8.토 2023년 4월 8일 토요일 5번째 방문 인증 수단 영수증
23.3.25.토,반응 남기기 1 명 방문일 23.3.25.토 2023년 3월 25일 토요일 4번째 방문 인증 수단 영수증
22.11.10.목,라떼가 참 맛있어요 단단한얼음도 좋아요
22.10.31.월,매장이 너무 예쁘고 바닐라빈 라떼가 너무 부드럽고 맛있네요. 적당히 커피랑 어울러져서 목넘김도 깔끔해요. 스콘도 직접 만드신다는데 기분 좋게 당분 흡입하고 갑니다.
22.10.25.화,"강아지를 데리고 병원에 다녀오는 길에 '반려동물 동반' 검색으로 찾아 방문했어요.  아늑하고 깔끔하고 편안한 분위기의 카페예요. 시그니처 메뉴인 아몬드크림커피가 정말 맛있고~ 사장님이 참 친절하시네요.^^* 검색하고 찾아왔다고 하니 스콘을 서비스로 주셨어요. ♡♡♡ 스콘도 정말 맛있네요. @@ 맛도 감동, 서비스도 감동 감동 먹고 갑니당~~"
22.8.4.목,처음 와보는데 민트라떼에 반했어요 먹자마자 친구랑 저랑 음쟁이 돼서 음~ 음!! 을 연신 외쳤어요 친구는 민트라떼를 이곳저곳에서 많이 먹어봤는데 여기는 민트향이 꽤 나는 편이래요 근데 민트향과 커피맛의 조화가 정말 적절해요 맛있어요🥺 또 생각날 것 같아요 이 맛.. 아메리카노 산미 없는 거 시켰는데 아메리카노도 무난히 맛있었어요 카페 크기는 소소하지만 인테리어도 예쁘고 반지하 특유의 감성이 좋았어요!! 담에 또 갈게요~!
22.8.26.금,"민트라떼, 바닐라빈라떼 주문해서 먹었는데 너무 맛있어요!! 특히 민트 좋아하시는 분들은 아주 매력적인 민트향에 만족할 거 같네요. 바닐라빈도 향도 좋고 진한 맛에 지인도 만족했어요!! 카페 분위기도 좋고 커피맛이 좋아서 다들 만족하고 갑니다~ 근처 좋은 카페를 발견해서 만족하네요"
22.8.6.토,"민트라떼와 바닐라빈라떼 모두 정성스럽고 섬세한 맛이었어요! 수제로 만든 시럽과 맛있는 커피, 감성있는 인테리어가 만나서 최고의 조합이었습니다. 아지트 삼고싶은 카페에요🥰"
22.9.29.목,민트라떼가 맛있어요! 근데 페이퍼앤펜슬 때 비해서 민트잎도 사라지고 맛도 좀 연해져서 아쉬워요ㅠㅠ
22.7.9.토,생각지 못했는데 작업하기 너무 좋고 커피가 너무 맛있어요! 사장님도 친절하셔서 단골 될 거 같아요☺️ 번창 하셔요~~
22.7.9.토,오카보카 감성 넘 좋고 노래도 좋아요 ㅠㅠ 친절하시고 커피도 넘 취향저격이어서 자주 올 것 같아요 🥹🥹😳❤️
22.8.9.화,영업시간이 짧지만 그래도 깨끗하고 좋아요
22.8.13.토,딸기라떼도 진짜 맛있어요ㅎㅎ
22.11.16.수,반응 남기기 방문일 22.11.16.수 2022년 11월 16일 수요일 1번째 방문 인증 수단 영수증
22.11.16.수,반응 남기기 방문일 22.11.16.수 2022년 11월 16일 수요일 2번째 방문 인증 수단 영수증
22.7.16.토,토요일에 오픈했네요? 커피 굿
22.5.30.월,오카보카 브랜드 느낌이 좋아서 팀 단체커피 할 때 자주 방문해요
22.7.1.금,산미 있는 커피 도전해봤는데 굿굿
22.7.1.금,비가 그치고 햇살이 비치니 기분 전환 겸 왔어요! 잘 마시고 갑니다
22.7.1.금,여기 커피 맛있네요 :)
22.6.7.화,저는 고소한 오카를 좋아하고 다른 직원은 산미있는 보카를 좋아하네요? 오카보카 커피 굿
22.6.20.월,딸기라떼 존맛 핵맛 요즘 같이 더울 땐 딸기라떼 강추
22.5.31.화,우연히 발견한 카페!! 대화하기 딱 좋은 카페의 분위기랄까.. 깨끗하고 조용하고 좋아요!!! 그와중에 음료도 너무 맛있어요 ㅠㅠ 레몬에이드 짱💛✨
22.6.7.화,카페라테 너무 맛있어요! 오트밀크 변경 가능해서 취향 저격 제대로 당했네용! 찐 맛집 ❤️
22.6.29.수,아이스 아몬드크림라떼 강추!
22.6.2.목,오카가 고소한 아메리카노고 보카가 산미 있는 아메리카노래요! 저는 오카를 좋아합니다 ㅋㅋㅋ
22.5.31.화,라떼가 고소하니 맛있네요~
22.6.3.금,드립 커피 맛있는데 가격이 혜자.. 스콘도 맛있어요 사장님
22.6.2.목,와! 첫 방문에 이렇게 맘에 드는 곳 발견하기 어려운데 좋아용좋아용! 커피 잘 마셨습니당
22.6.7.화,아이스 아몬드 크림라떼 도전해봤는데 짱맛
22.6.30.목,오늘은 아이스 밀크티!
22.5.30.월,반응 남기기 방문일 22.5.30.월 2022년 5월 30일 월요일 1번째 방문 인증 수단 영수증
22.6.30.목,아메리카노 좋아 좋아
22.6.7.화,사무실 근처라 종종감 나만의 피신처
22.5.31.화,아이스 아메리카노 이근방에서 제일 맛있네요 :)
22.6.1.수,아몬드크림라떼 굳굳!! 먹어본거중에 젤맛있었음!
22.6.1.수,에티오피아 좋아하는데 맛있어요 ㅎㅎㅎ
22.5.31.화,반응 남기기 방문일 22.5.31.화 2022년 5월 31일 화요일 1번째 방문 인증 수단 영수증
22.5.30.월,회사 사람들이랑 종종 가서 마시는데 커피 맛있어요
22.5.30.월,새롭게 오픈 한 곳인데 커피 맛집이네요!! 자주 올게요
22.6.8.수,오카보카 커피 맛있어요
22.7.30.토,반응 남기기 방문일 22.7.30.토 2022년 7월 30일 토요일 3번째 방문 인증 수단 영수증
22.5.24.화,아이스 라떼 맛집 인정ㅋㅋㅋ 블루보* 대비 가격은 반인데 맛은 킹정
22.5.23.월,아메리카노 맛있어요!! 종종 갈게요
22.6.12.일,커피 굳 디저트도 굳
22.5.30.월,반응 남기기 방문일 22.5.30.월 2022년 5월 30일 월요일 1번째 방문 인증 수단 영수증
22.5.20.금,반응 남기기 방문일 22.5.20.금 2022년 5월 20일 금요일 1번째 방문 인증 수단 영수증
