date,content
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""품질이 좋아요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""분위기가 편안해요""",이 키워드를 선택한 인원
9.27.토,반응 남기기 방문일 9.27.토 2025년 9월 27일 토요일 1번째 방문 인증 수단 영수증
6.24.화,반응 남기기 방문일 6.24.화 2025년 6월 24일 화요일 1번째 방문 인증 수단 영수증
3.16.일,친절하시고 참기름 추천
2.2.일,반응 남기기 방문일 2.2.일 2025년 2월 2일 일요일 29번째 방문 인증 수단 영수증
1.29.수,반응 남기기 방문일 1.29.수 2025년 1월 29일 수요일 28번째 방문 인증 수단 영수증
1.22.수,반응 남기기 방문일 1.22.수 2025년 1월 22일 수요일 27번째 방문 인증 수단 영수증
24.12.28.토,반응 남기기 방문일 24.12.28.토 2024년 12월 28일 토요일 26번째 방문 인증 수단 영수증
24.11.2.토,반응 남기기 방문일 24.11.2.토 2024년 11월 2일 토요일 25번째 방문 인증 수단 영수증
24.10.8.화,반응 남기기 방문일 24.10.8.화 2024년 10월 8일 화요일 3번째 방문 인증 수단 영수증
24.9.29.일,반응 남기기 방문일 24.9.29.일 2024년 9월 29일 일요일 24번째 방문 인증 수단 영수증
24.9.21.토,홍어회 맛있어요. 서비스 가래떡 더맛있음
24.9.15.일,깔끔하고 떡 퀄리티도 좋은편
24.8.17.토,고추가루.참기름 품질 좋아요
24.8.2.금,여기 깔끔하고 다 맛있음
24.7.31.수,홍어회 새콤달콤 맛있어요
24.7.20.토,반응 남기기 방문일 24.7.20.토 2024년 7월 20일 토요일 2번째 방문 인증 수단 영수증
24.6.19.수,반응 남기기 방문일 24.6.19.수 2024년 6월 19일 수요일 1번째 방문 인증 수단 영수증
24.6.1.토,반응 남기기 방문일 24.6.1.토 2024년 6월 1일 토요일 20번째 방문 인증 수단 영수증
24.5.18.토,반응 남기기 방문일 24.5.18.토 2024년 5월 18일 토요일 19번째 방문 인증 수단 영수증
24.5.15.수,반응 남기기 방문일 24.5.15.수 2024년 5월 15일 수요일 18번째 방문 인증 수단 영수증
24.4.13.토,모찌 실하고 맛있어요
24.4.6.토,반응 남기기 방문일 24.4.6.토 2024년 4월 6일 토요일 16번째 방문 인증 수단 영수증
24.3.27.수,반응 남기기 방문일 24.3.27.수 2024년 3월 27일 수요일 15번째 방문 인증 수단 영수증
24.3.13.수,홍어회 새콤달콤 맛있고 찹쌀모찌 복스럽고 달지않고 쫄깃해서 부모님이 잘드심. 인심도 좋으시고 친절해요 .
24.3.2.토,모찌떡 달지않고 맛있어요
24.2.25.일,들기름향 좋은 보름 나물들 안짜고 다맛있어요
24.2.24.토,찰밥 제일 맛있음
24.2.23.금,반응 남기기 방문일 24.2.23.금 2024년 2월 23일 금요일 1번째 방문 인증 수단 영수증
24.2.16.금,반응 남기기 방문일 24.2.16.금 2024년 2월 16일 금요일 10번째 방문 인증 수단 영수증
24.2.9.금,반응 남기기 방문일 24.2.9.금 2024년 2월 9일 금요일 1번째 방문 인증 수단 영수증
24.2.8.목,맛있게 잘 먹었습니다
24.2.8.목,반응 남기기 방문일 24.2.8.목 2024년 2월 8일 목요일 3번째 방문 인증 수단 영수증
24.1.11.목,반응 남기기 방문일 24.1.11.목 2024년 1월 11일 목요일 4번째 방문 인증 수단 영수증
24.1.4.목,떡국떡 쫄깃 맛나요
24.1.3.수,반응 남기기 방문일 24.1.3.수 2024년 1월 3일 수요일 2번째 방문 인증 수단 영수증
24.1.3.수,반응 남기기 방문일 24.1.3.수 2024년 1월 3일 수요일 2번째 방문 인증 수단 영수증
23.12.29.금,떡국 떡 7천원이에요. 새해에 먹으려고 샀어요 ㅎㅎ
