date,content
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""원산지 표시가 명확해요""","""원산지 표시가 명확해요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
"""부위가 다양해요""",이 키워드를 선택한 인원
24.5.18.토,반응 남기기 방문일 24.5.18.토 2024년 5월 18일 토요일 1번째 방문 인증 수단 영수증
24.1.25.목,반응 남기기 방문일 24.1.25.목 2024년 1월 25일 목요일 2번째 방문 인증 수단 영수증
24.1.18.목,갈비찜용으로 구매했어요! 사장님 너무 친절하세요! 옥수역에 정육점 있어서 너무 편리해요! ㅎㅎ
23.9.29.금,반응 남기기 방문일 23.9.29.금 2023년 9월 29일 금요일 1번째 방문 인증 수단 영수증
23.5.29.월,반응 남기기 방문일 23.5.29.월 2023년 5월 29일 월요일 11번째 방문 인증 수단 영수증
23.5.22.월,옥수정육점 고기 맛있어요
23.4.29.토,반응 남기기 방문일 23.4.29.토 2023년 4월 29일 토요일 1번째 방문 인증 수단 영수증
23.2.14.화,반응 남기기 방문일 23.2.14.화 2023년 2월 14일 화요일 9번째 방문 인증 수단 영수증
23.2.11.토,반응 남기기 방문일 23.2.11.토 2023년 2월 11일 토요일 1번째 방문 인증 수단 영수증
23.1.2.월,원산지 표시가 명확하고 친절해요
22.12.29.목,반응 남기기 방문일 22.12.29.목 2022년 12월 29일 목요일 8번째 방문 인증 수단 영수증
22.11.29.화,사장님 친절하시고 고기 맛있어요
22.7.24.일,반응 남기기 방문일 22.7.24.일 2022년 7월 24일 일요일 1번째 방문 인증 수단 영수증
22.7.23.토,반응 남기기 방문일 22.7.23.토 2022년 7월 23일 토요일 1번째 방문 인증 수단 영수증
22.6.27.월,닭도 좋아요 여기!
22.6.21.화,옥수동에서 고기 젤 좋아요
22.6.3.금,반응 남기기 방문일 22.6.3.금 2022년 6월 3일 금요일 2번째 방문 인증 수단 영수증
22.5.28.토,반응 남기기 방문일 22.5.28.토 2022년 5월 28일 토요일 1번째 방문 인증 수단 영수증
22.5.28.토,반응 남기기 방문일 22.5.28.토 2022년 5월 28일 토요일 1번째 방문 인증 수단 영수증
22.3.27.일,반응 남기기 방문일 22.3.27.일 2022년 3월 27일 일요일 2번째 방문 인증 수단 영수증
22.2.13.일,반응 남기기 방문일 22.2.13.일 2022년 2월 13일 일요일 6번째 방문 인증 수단 영수증
22.1.29.토,반응 남기기 방문일 22.1.29.토 2022년 1월 29일 토요일 1번째 방문 인증 수단 영수증
21.12.31.금,반응 남기기 방문일 21.12.31.금 2021년 12월 31일 금요일 5번째 방문 인증 수단 영수증
21.11.26.금,반응 남기기 방문일 21.11.26.금 2021년 11월 26일 금요일 2번째 방문 인증 수단 영수증
21.11.24.수,반응 남기기 방문일 21.11.24.수 2021년 11월 24일 수요일 3번째 방문 인증 수단 영수증
21.10.17.일,반응 남기기 방문일 21.10.17.일 2021년 10월 17일 일요일 2번째 방문 인증 수단 영수증
21.9.26.일,항상 맛있게 먹고 있어요
21.7.1.목,고기가 신선하고 원하는 부위로 원하는 만큼 손질해주셔서 너무 좋아요 :)
21.6.13.일,옥수정육점 고기 맛있어요
21.6.11.금,반응 남기기 1 명 방문일 21.6.11.금 2021년 6월 11일 금요일 1번째 방문 인증 수단 영수증
21.3.19.금,고기도 맛있고 진짜 조금씩 100~200g 만 사는데도 친절하게 잘해주셔서 좋아요
21.3.8.월,반응 남기기 방문일 21.3.8.월 2021년 3월 8일 월요일 2번째 방문 인증 수단 영수증
21.2.2.화,고기가 맛있고 사장님 친절하세오
21.1.30.토,반응 남기기 방문일 21.1.30.토 2021년 1월 30일 토요일 1번째 방문 인증 수단 영수증
21.1.1.금,반응 남기기 방문일 21.1.1.금 2021년 1월 1일 금요일 1번째 방문 인증 수단 영수증
20.12.28.월,달걀이 아주 좋아.
20.12.20.일,신선 친절 맛남
20.11.19.목,계란이 계란이 끝내줘요
20.11.13.금,좋은고기 소문듣고 갔어요
20.9.19.토,반응 남기기 방문일 20.9.19.토 2020년 9월 19일 토요일 2번째 방문 인증 수단 영수증
20.9.14.월,반응 남기기 방문일 20.9.14.월 2020년 9월 14일 월요일 1번째 방문 인증 수단 영수증
20.9.11.금,조금 비싼 감이 없진 않지만 신선하고 맛나요
20.7.27.월,신선하고 맛있는 정육만을...
20.7.15.수,계란 고기 잘먹고 있어요^^
20.6.2.화,반응 남기기 방문일 20.6.2.화 2020년 6월 2일 화요일 1번째 방문 인증 수단 영수증
20.4.26.일,동네에 괜찮은 정육점이 없어서 고민이였는데 냄새도안나고 사장님 너무 좋으세요ㅎㅎ
20.4.4.토,반응 남기기 방문일 20.4.4.토 2020년 4월 4일 토요일 1번째 방문 인증 수단 영수증
20.3.25.수,여기김부각 냄새도 안나고 과자대신 먹는데 너무 맛있어요..
20.3.24.화,자주가는 정육점인데 요새 판매하는 수제김부각 짱 맛있어요!!
19.2.28.목,친절하셔서 넘 조아용
