date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
8.16.토,해물파전이 찐 맛있네요~
24.11.28.목,저 포항 사람인데 상경했습니다. 진짜... 원래 좋아하던 집인데 과메기 해서 너무 흥분돼 리뷰를 써요 전 진짜 까다로운 사람인데 옥이네는 진짜..👍 두 말 하지 않을게요 왕십리에서 고민하고 있다면 무조건 옥이네로 강추 나만 믿어봐여 이만큼 신선한 과메기로 서울에서 먹기 힘들어 꼭 와봐요!!
24.11.3.일,과메기 시작이라니 넘 행복하네요 과메기 찐맛집....🌸🫶🏻🌸
1.17.금,반응 남기기 방문일 1.17.금 2025년 1월 17일 금요일 1번째 방문 인증 수단 영수증
23.10.17.화,"닭발이후로! 단골되고자, ㅋㅋㅋ 옥이네메뉴 다 섭렵해볼까하고 주문한 오징어볶음도 대대성공적!!! 다음 메뉴도 기대됩니다 😀"
23.10.5.목,기본반찬이 정말 맛있어요♡ 닭발도 물론 맛있고!!! 어르신들이 많이 다니시는곳_! 찐 맛집인정입니다_ 왕십리 숨은맛집 ㅋ 단골될거예여^^
23.11.13.월,정이 느껴지는 포차~분위도 좋고 사장님도 친절하시고 안주맛도 좋아요
23.7.21.금,전부터 눈여겨 보던 왕십리 포장마차 맛집&멋집.  비까지 내려 운치 끝장👌
23.7.8.토,안주가 너무 맛있오요 ㅠㅜ 멀리서 사는데도 안주가 생각나서 자주 옵니다 ㅎㅎ. 옥이네 포차 짱짱!!
23.7.8.토,안주 가격도 저렴한데 진짜 맛있어요! 특히 매운음식 맛집....🫶 매운 거 좋아하시는 분들 껍데기 닭발 추천입니다
23.10.6.금,반응 남기기 방문일 23.10.6.금 2023년 10월 6일 금요일 1번째 방문 인증 수단 영수증
23.2.24.금,과메기맛집ㅎㅎㅎㅎ 기본반찬도 맛남
23.2.23.목,너무 맛있어용ㅜㅅㅜ♡♡ 분위기도 너무 좋고 맛있습니다!
22.11.3.목,"오징어볶음 너무 맵지 않고, 맛있어요! 술안주로도 좋고, 밥 생각도 났습니다.  주방에서도, 사장님도 따뜻한 친절함이 느껴졌어요! 매운거 잘 먹는지도 물어봐주시고 좋았습니다 ㅎ"
23.4.13.목,반응 남기기 방문일 23.4.13.목 2023년 4월 13일 목요일 1번째 방문 인증 수단 영수증
23.2.14.화,반응 남기기 방문일 23.2.14.화 2023년 2월 14일 화요일 1번째 방문 인증 수단 영수증
22.7.1.금,로컬맛집 술이 짱시원함 굿 👍🏻
22.8.4.목,반응 남기기 방문일 22.8.4.목 2022년 8월 4일 목요일 1번째 방문 인증 수단 영수증
22.9.2.금,반응 남기기 방문일 22.9.2.금 2022년 9월 2일 금요일 1번째 방문 인증 수단 영수증
22.8.20.토,반응 남기기 방문일 22.8.20.토 2022년 8월 20일 토요일 1번째 방문 인증 수단 영수증
21.8.17.화,반응 남기기 방문일 21.8.17.화 2021년 8월 17일 화요일 1번째 방문 인증 수단 영수증
20.10.23.금,반응 남기기 방문일 20.10.23.금 2020년 10월 23일 금요일 1번째 방문 인증 수단 영수증
20.7.15.수,반응 남기기 방문일 20.7.15.수 2020년 7월 15일 수요일 1번째 방문 인증 수단 영수증
24.10.25.금,왕십리 찐맛집✌️ 동네사람들만 아는 숨겨진 곳
