date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
2.20.목,너무 맛있고 즐거운 식사였습니다 >< 기본은 탄탄한데 독특한 재료 하나하나가 잘 어우러져서 자연스럽게 맛있었고요. 특히 캔디드 베이컨을 처음 먹어봤는데 너무 맛있었어요!  공간이 주는 느낌도 따뜻해서 더 편하게 즐길 수 있었어요. 가게 곳곳에서 다정함이 느껴져서 다음에 또 방문하려고 합니다 🤭
2.20.목,음식 하나하나 너무 맛있고 모든 음식이 원픽 !! 그리고 분위기도 너무 좋아효.. 🪽🫧  사장님도 너무 친절하십니다 👨🏻 나만 알고 싶은 곳 🌿  또 갈게요 히히
24.12.26.목,너무 맛있어요! 매장 분위기도 아늑하고 크리스마스 분위기 뿜뿜 ㅎㅎ 사장님 센스가 느껴지는 인테리어에요 샐러드도 정말 신선하고 사장님이 직접 만드신 귤 드레싱이 재료랑 넘 잘어울렸어용 초리죠 오일파스타도 맨날 와서 먹고싶은 맛이구 머위 파스타도 넘 매력있고 맛있었어용 ㅎㅎ 머위 특유의 쌉싸름한 맛을 잡은것도 넘 신기해요!!
