date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""양이 많아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
9.21.일,"추석 가족모임으로 3대가 다녀왔습니다. 매장이 협소한 편이라 6-8인 예약하면 대관이 가능해서 더 좋았습니다.  부모님과 아이들 데리고 방문했는데 일단 쉐프님이 너무 친절하시고 그때 그시절 대한민국 스테이크 1세대 레스토랑이였던 이자벨더부처랑 부처스컷에 계셨던 메인 쉐프님을 이렇게 뵈니 너무 신기했구요~  국내에서 가장 두꺼운 티본 스테이크를 맛볼 수 있는 곳입니다. 정말 두깨가 어마무시했고요, 뉴욕에서 자주 다니던 피터루거나 다른 스테이크 하우스랑 견주어도 손색이 없었습니다.  티본이랑 토마호크 미리 주문해서 정말 너무 맛있게 먹었고요, 프렌치 어니언수프에 그뤼에르치즈를 쌓아올려주셔서 깜놀!!  거기에 평범해보이는 부라타 토마토 샐러드였는데 헤이즐럿 향이 나는 이 소스...여기서 꼭 맛보셔야 합니다."
9.20.토,숯불향 가득한 토마호크. 루꼴라 샐러드. 새우구이. 양파슾 모두 셰프님의 정성과 킥이 더해져 너무 맛있어요 세달 전에 예약한 보람이 있었어요. 특히 디저트로 먹은 애플파이 많이 달지 않고 너어무 맛있어요!!! 여긴 꼭 직접 드셔보셔야 해요 !! 고퀄의 음식과 셰프님의 진심어린 친절로 행복한 저녁식사 했습니다 😀
3.7.금,고기에 진심이고 친절하시고 와인 추천도 좋아서 좋은 일만 생기면 가고 싶은 곳.
24.11.17.일,남편과 결혼1주년으로 방문했어요! 일년 3-4번 기념일에 좋은곳에서 식사 하려고 찾는데 올해 갔던곳 중에는 올드핸즈가 제일 만족스러워요!  고기에 진심이신분들은 여기 꼭 가세요 ㅎㅎ 그리고 서비스도 너무 좋고 사장님 친절하시고 부족함이 1도 없었던곳이에요 나중에 기회되면 가족들이랑 통으로 모임하고싶을만큼 좋았어요 ㅎㅎ
24.11.13.수,"토마호크, 티본을 메인으로 샐러드,스프,디저트까지 하나하나 다 맛있습니다. 특별한날 방문하기 좋은 레스토랑 입니다"
24.10.19.토,사장님 넘나 친절 💛 아니 모든 손님들이랑 대화하고 자주 오는 손님들 다 기억 해주시고 정말 너무 맛있어요  스테이크 진짜 미쳤 미국에서 먹었던 스테이크 맛 원하시면 여기가세요 굽기 미쳤어요 사장님 스테이크에 미쳐있어서 아시는 분들은 다 알아서 예약도 힘듭니다 군데 애플파이? 하… 아니.. 나 진짜 리뷰 안적고 싶은데 적은거는 왜냐면 없어지면 안되요 사장님 오래 해주세요💜💜💜💕
5.29.목,반응 남기기 방문일 5.29.목 2025년 5월 29일 목요일 1번째 방문 인증 수단 영수증
24.9.7.토,2달전에 어렵게 예약후 방문했습니다. 쉐프님의 친절함과 함께 시작한 어니언 스프와 토마토 샐러드의 맛과 향에 놀라며 스타터시작!! 이후 나온 토마호크는 예술입니다. 고기의 맛은 물론이며 두께와 익힘정도 그릴링 정도 정말 최고입니다. 앞으로 스테이크는 여기입니다 ! 조만간 다시 가고 싶은 곳입니다 !
24.12.24.화,"집 앞에 있는 맛집이에요. 지나칠 때마다, 방문할 때마다 크리스마스 같은 곳이에요. 사장님 3주년 축하드려요!!!"
24.7.5.금,맛있고 친절하세요! 루꼴라러버로써 아주 만족한 에피타이저였습니다~ 굽기는 미디엄으로 했는데 거의레어가 나와서 다시 조금더 구워주셨어요 ㅎㅎ 그래도맛있고 와인도 합리적인 가격 이었습니다🤗👍🏻 또갈게요!
24.5.31.금,"예약하기 힘든 곳을 드디어 방문✨ 7-8인 정도 앉을 수 있는 좌석이 있고, 정말 미쿡 느낌의 분위기가 나요! 제일 중요한 맛👍 헤이즐넛 토마토절임과 수제 베이컨부터 티본 스테이크, 직접 만드신다는 애플파이까지! 먹을 때 마다 감탄을^^^^ 곁들여주시는 소스가 있지만, 시즈닝을 잘하셔서 그런지 스테이크 본연의 맛 자체가 😍 환상:)  후식으로 주신 애플파이도 왜 유명하다고 말씀 하신지 알 거 같았어요! 예약이 힘든 곳이지만 재방문 꼭 하고 싶습니다 ☺️ 친절한 사장님도 너무 좋았습니다!"
24.8.6.화,예약하기 너무 힘들었던 올드핸즈! 명성만큼 너무 맛있고 사장님 진짜 친절하세요:)) 고기양도 많고 특히 디저트인 애플파이가 인생 애플파이ㅜㅜ 대존맛.. 너무 잘먹었습니다 토마호크 먹으러 또갈게요!!!
24.6.6.목,1년에 한 번씩 꼭 가는 스테이크 맛집 올드핸즈입니다! 친절하고 상냥하신 셰프님께서 혼자 운영하시는 곳이라 코지하고 좋아요ㅎㅎ 스테이크 진짜 잘 하는 곳 찾으시면 여기 꼭 가보세요!!!!
24.11.27.수,반응 남기기 방문일 24.11.27.수 2024년 11월 27일 수요일 1번째 방문 인증 수단 영수증
24.7.14.일,고기 정말 맛있고요 가벼운 분위기도 좋고 디저트 애플파이&아이스크림 진짜 맛있어요! 즐겁게 먹고 갑니다~
24.2.10.토,캐치테이블 미리 예약하고 갔어요. 인기가 많아서 그런가 가려고 하는나루이주전에 미리 예약을 했어요. 우선사장님이 너무 친절해서 기분좋게 밥먹을 있었어요. 매장이 넓지 않아서 좋는게 세세하게 케어 받을 수 있어요. 스타터 샐러드 양파수프도 맛있어요. 스테이크 말해머해 저는 3명이 가서 1.4킬로그래므시켰는데 남아서 귀여운 은박지 가방으로 포장 해주셨어요. 기념일이나 중요 모임 어디가야 할지 고민 될때 올드핸즈 추천합니다. 스테이크도 부드럽고 육즙도 장난 없어요. 추천 합니다!
24.3.12.화,캐치테이블로 미리 예약했고 조용한 분위기에서 음식도 너무 맛있었어요👏🏻💙 사장님도 친절하고 기념일에 추천드립니다
23.11.18.토,최고에요...💕 소문만 듣다가 겨우 예약 성공해서 갔는데 남자친구 생일맛집 성공!! 양도 진짜 많구 고기도 엄청 맛있고 사이드들이 진짜 찐 맛이에요..! 스프는 맛있었지만 취향 살짝 아니었는데 샐러드랑 이 애플파이가 진짜 미쳤어요!!!!! 포장하면 귀엽게 실버백 만들어주세요ㅎㅎ 이번에는 티본 먹었는데 담에는 토마호크 먹으러 가려구용!
24.3.1.금,"티본, 어니언스프 이렇게 먹었는데 너무 맛있었어요!사장님도 친절하시고 후식까지 진짜 너무 맛있었어요 재방문 의사 있습니다!!"
