date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
10.2.목,여기 분위기 너무 좋고ㅠㅠ 완젼 고퀄리티였어요🤍 메뉴 하나하나하 다 너무 정성스럽구 진짜 다 존맛…ㅜㅜ 해산물은 입에서 녹구 전통주들도 너무 맛있어서… 텅장될뻔했습니다…🫣🤍 코스 구성도 지루할틈 없이 넘 좋구 디저트까지 완벽해요ㅠㅠ
10.15.수,너무 맛있어요 분위기도 좋아서 완전여심저격 남친분들 여자친구데려가면 엄청 좋아하실거에요!! 음식 구성도 알차고 하나도 안비리고 셰프님이 주류 설명을 잘해주셔서 더욱 좋았습니다 재방문 의사 100% !!
9.2.화,"와 이가격에 오마카세 구성 진짜 알차고 가성비 대박이에요! 신선하고 귀한 고급 식재료를 사용하셔서 음식맛도 훌륭하고 사장님 정말 친절하셔요:) 음식 나올때마다 설명도 잘해주시고 특히 중간중간 해산물, 솥밥 등 식재료, 요리 먼저 보여주시는 센스도 좋았어요. 술종류도 다양하고 특히 대상 2번 탔다는 탁주 벚꽃 피는 날에 꼭 드셔보세요! 재방문의사200%입니다!"
