date,content
"""친절해요""",이 키워드를 선택한 인원
"""추천을 잘해줘요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가격이 합리적이에요""",이 키워드를 선택한 인원
5.29.목,"예쁘고 맛있는 와인을 음식에 맞게, 상황에 맞게, 격식에 맞게 잘 추천해주셨어요. 덕분에 좋은시간 감사합니다!"
2.13.목,떡은 맛있는데 비싸요
1.25.토,떡은 맛있는데 단가가 조금 비싸요. 서울페이 안됩니다
24.10.2.수,반응 남기기 방문일 24.10.2.수 2024년 10월 2일 수요일 1번째 방문 인증 수단 영수증
24.1.10.수,항상 친절하신 사장님. 추천을 정말 잘 해주셔서 믿음이 가요. 좋은 와인들이 많아요👍
24.1.4.목,반응 남기기 방문일 24.1.4.목 2024년 1월 4일 목요일 1번째 방문 인증 수단 영수증
23.6.28.수,오픈 첫 날에 우연히 오픈한날에 방문해서 종종 시간날 때마다 들리는 곳이에요ㅎㅎ 사장님께서 애정하는 와인들로만 구성되어있어서 하나 하나 설명듣는것도 재밌어요! 특별한 날도 좋고 데일리로 즐기기 완전 짱이에요:)
23.6.21.수,좋은가격에 좋은 와인 샀어요. 집에서 가까워서 좋아요
23.6.14.수,친절하세요~ 자주 올께요
23.6.12.월,덕분에 좋은 와인 저렴하게 사갑니다아
23.3.23.목,원하는 종류에 맞춰서 추천도 잘 해주셨어요ㅎㅎ사장님이 되게 친절하세요~
23.3.22.수,선물용 와인 추천 너무 잘해주세요💗 항상 찾게 되는 와인샵 입니다~ 구하기 힘든 핫하고 트렌디한 와인도 많구요! 선호하는 테이스트 말씀드리면 딱 맞게 추천도 잘해주셔요✨ 가격대도 합리적입니다💗💗
23.3.17.금,캔 와인 좋았어요
23.3.4.토,"선물용 와인 구매하려고 방문했는데, 사장님이 추천을 잘 해주셔서 너무 좋았어요! 와인마다 설명도 붙어있어서 도움이 됐어용 ㅎㅎ 종류도 다양하고 가격대도 괜찮아서 자주 가려구요!"
23.3.4.토,"아파트 근처 상가에 좋은 곳이 생긴 것 같습니다. 기본적으로 사장님께서 친절하십니다. 와인을 잘 모른다고 말씀드렸더니 찬찬히 잘 설명해주시고, 좋은 와인을 추천 해주셨습니다. 평소에 편의점이나 마트에서만 와인을 몇 번 사봤지, 이런 전문매장에서 구매하는 것은 처음이었는데 독특한 와인도 많고 시음주로 주신 것도 맛이 괜찮았네요. 선물용 와인과 제가 마실 와인 하나씩 사서 나왔습니다."
23.3.3.금,반응 남기기 방문일 23.3.3.금 2023년 3월 3일 금요일 2번째 방문 인증 수단 영수증
23.2.27.월,사장님이 친절하고 와인 추천도 잘해주세요! 달달한 와인 좋아하는데 jmt 가격도 괜찮고 와인 종류도 다양해요  다른 와인들도 다 가격도 괜찮고 맛있어 보여요! 앞으로 와인은 이곳에서 살 것 같아요  또 갈게요!!!
23.2.25.토,와인 잘 모르는데 사장님이 추천을 잘 해주셔서 고르기 좋다. 금액대도 크게 부담스럽지 않으면서 마트에 없는 와인이 많아서 지인들 선물하거나 새로운 와인에 도전해보고 싶을 때 좋을 것 같다.
23.2.19.일,트렌디한 와인종류가 많고 가격대도 합리적입니다! 자주 갈거 같아요
23.2.18.토,반응 남기기 방문일 23.2.18.토 2023년 2월 18일 토요일 1번째 방문 인증 수단 영수증
23.2.13.월,종류가 엄청 다양하네요. 마트에서 파는 와인들이랑 달라서 좋았어요. 병마다 깨알 같은 설명도 붙여놓으셔서 와인 잘 모르지만 읽어보면서 느낌 오는 걸로 사봤습니다.
23.1.31.화,반응 남기기 방문일 23.1.31.화 2023년 1월 31일 화요일 1번째 방문 인증 수단 영수증
23.1.28.토,친절하세요! 막 저렴한 거 같진 않아용
23.1.20.금,반응 남기기 방문일 23.1.20.금 2023년 1월 20일 금요일 1번째 방문 인증 수단 결제내역
23.1.20.금,반응 남기기 방문일 23.1.20.금 2023년 1월 20일 금요일 1번째 방문 인증 수단 영수증
23.1.20.금,반응 남기기 방문일 23.1.20.금 2023년 1월 20일 금요일 1번째 방문 인증 수단 영수증
