date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
6.21.토,드립백만 마셔보고 맛있어서 또 사러 갔는데 카페 내부도 예쁘고 라떼도 너무 맛있어요!
5.3.토,새로 나온 생망고 푸딩먹으러 오늘도 왔어요~!! 생망고 맛과 푸딩맛이 너무 잘 어울려서 오면 꼭 드셔보셔용😽 시원한 바깥 풍경 바라보며 조용히 쉬고 가구 이야기하기 좋은 카페 또 올게용💗
1.12.일,음료와 디저트가 맛있는 곳! 바나나 푸딩은 정말 맛있고 요거트 치즈케이크도 맛있어요. 아아도 다른 곳보다 향이나 맛이 좋아요.
4.24.목,진짜 제 촤애 맛집… 맨날 사놓고 허겁지겁 먹어서 사진이 읎다.. 여기 바나나푸딩이랑 아아 먹으면 극락갑니당…
24.11.1.금,집 근처라 종종 들리는데 아바라 덕후라면 와츠폴 바닐라라떼 꼭 드셔보세요..! 넘 맛있거든요.. 🤎 시즌메뉴로 요즘 핫한 밤티라미수도 나왔길래 포장해왔는데 고소한 밤맛에 오독오독씹히는 그래놀라 식감에.. 커피향도 좋고..! 너무 맛있게 잘 먹었습니다🌰🤍 시즌 끝나기전에 한번 더 먹으러 가야겠어요! 오래오래 장사해주세요
24.11.11.월,밤 티라미수 존맛탱ㅠㅠ 크림도 안 느끼하면서 밤 맛이 은은하게 맴돌고 안에 밤 조각도 꽤 들어있어요! 빵 시트도 촉촉하게 적셔져서 숟가락으로 그냥 푹푹 떠먹을 수 있습니당ㅎㅎ 살 때 위에 가루(?)를 바로 갈아주셔서 하나도 안 눅눅하고 좋아요😋 맛있게 잘 먹었습니당!
1.11.토,반응 남기기 방문일 1.11.토 2025년 1월 11일 토요일 4번째 방문 인증 수단 영수증
24.12.25.수,쑥떡푸딩 정말 너무 맛있어요…🙈🙈 최애 디저트입니당
24.11.3.일,와 나폴리마피아가 왕십리에 있었네 밤 티라미수 존꿀맛 12월 까지 맨날 올겁니다 진짜
24.11.1.금,밤 티라미수 한입만 더줘봐유~🌰
24.7.20.토,매장은 심플한거 같으면서 포인트들이 있고 실버와 블루의 조합이 예쁜 장소:) 요기 커피가 진짜 맛있는데(바닐라라떼 추천) 디저트들도 맛있어서 지나가는 길에 종종 들리는 곳!
