date,content
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""종류가 다양해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""빵이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
10.9.목,반응 남기기 방문일 10.9.목 2025년 10월 9일 목요일 1번째 방문 인증 수단 영수증
4.15.화,"역시나 리뷰를 보니 간간히 안좋은 평들이 있네요ㅎㅎㅎㅎ특히 사장님 말투...본인은 친절하게 한다고 하는데 억양은 화가 많은 느낌이였어요🤨 크림 추가해도 타지점의 일반 와플 수준이길래 크림양에 대해 물어보니 인상쓰면서 그게 추가한 양이라고 (본인은 어떤 표정으로 얘기했는지 모르겠죠) 알려주는게 아닌, 가르치듯 말하는 사장님ㅎㅎ 굳~이 다른 손님 와플까지 꺼내보이면서 이게 보통양이라고ㅋㅋㅋ 매장보면 온통 안내문이 걸려있던데 그럼 생크림 양 차이 사진도 좀 찍어서 걸어두는게 어떨지..? 간만에 생크림 듬뿍 들어간 와플이 먹고싶어서 간건데 그 기대감과 설레임을 다운되게 만든 사장님의 태도,,,그래도 한편으론 감사해요! 이제 와플대학가서 돈 쓸 일이 없어졌으니까요^^ 아, 답변 달지마세요! 읽기도 싫고 확인 안해요!"
7.3.목,기본 와플 제일 맛있죠!!!
6.29.일,주문이 밀려 오래 걸리긴 했지만 정말 맛있었습니다
6.25.수,갈 때마다 주문이 밀려있어 좀 늦게 나오지만 맛있어요
2.2.일,"매장에서 취식하려다 오늘따라 사람도, 배달도 많아서 포장했습니다.  공원가는 길에 먹으면서 갔어요. 맛있네요. 바나나누텔라와플."
