date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
8.30.토,"넘 맛있어요! 나름 들깨칼국수 처돌이인데,, 꽤 맛있게 먹었고 면도 쫄깃함! 보쌈정식도 맛있고 칼국수랑 보쌈, 육개장이랑 보쌉 조합의 메뉴가 있어서 혼밥하기도 부담없고 좋음👍🏻"
7.19.토,맛도좋고 친절하게 응대해서 좋았습니다
3.27.목,배추 다 먹고 리필해 주셔서 감사합니다. 정말 맛있게 잘 먹었어요. 혼자서 먹기 좋은 메뉴예요 보쌈+칼국수 뿐만 아니라 다음에는 다른 메뉴도 먹고 싶어요.^^
8.4.월,반응 남기기 방문일 8.4.월 2025년 8월 4일 월요일 2번째 방문 인증 수단 영수증
6.3.화,반응 남기기 방문일 6.3.화 2025년 6월 3일 화요일 3번째 방문 인증 수단 영수증
5.17.토,반응 남기기 방문일 5.17.토 2025년 5월 17일 토요일 2번째 방문 인증 수단 영수증
6.12.목,"음식이 나오는데, 시간이 좀 걸리지만 양 많고 맛있습니다."
6.18.수,"맛있고, 양 많아요 !"
3.8.토,반응 남기기 방문일 3.8.토 2025년 3월 8일 토요일 1번째 방문 인증 수단 영수증
5.17.토,왔다리갔다리하며 찜했었던 동네 칼국수 가게를 오늘서야 가게됨 들깨 칼국수 마시썽. 사골칼국수+보쌈은 쏘쏘~ 담엔 욱개장 칼국수 먹어보기로~
4.15.화,반응 남기기 방문일 4.15.화 2025년 4월 15일 화요일 3번째 방문 인증 수단 영수증
24.12.4.수,반응 남기기 방문일 24.12.4.수 2024년 12월 4일 수요일 2번째 방문 인증 수단 영수증
24.12.11.수,반응 남기기 방문일 24.12.11.수 2024년 12월 11일 수요일 1번째 방문 인증 수단 영수증
24.6.24.월,칼국수 맛있다는 이야기 듣고 갔다가 날이 더워 콩국수가 땡겨서 콩국수 먹었는데요. 아쉽지만 콩국수는 제 스타일이 아니었어요🥲 다음에 칼국수 먹으러 가야겠어요! 김치는 칼국수에 딱 어울리는 맛있는 김치였어요 :-)
24.4.10.수,칼국수랑 파전 진짜 맛있는데 김치가 좀 아쉬워요 ㅠㅠ 김치 맛있게 만들어주세용
24.7.27.토,반응 남기기 방문일 24.7.27.토 2024년 7월 27일 토요일 1번째 방문 인증 수단 결제내역
24.3.15.금,"'사골칼국수'와 '칼국수 보쌈세트'를 먹었어요. 사골칼국수 7000원으로 저렴해서 좋구요, 보쌈세트는 11000원이었는데 보쌈김치가 좀.. 맛이 덜 들었는지 아쉬웠지만 칼국수는 양도 맛도 괜찮았습니다."
24.3.29.금,들깨 칼국수 맛있어요 그리고 보쌈정식도 혼자 보쌈먹기 어려우니 좋구요 밥도 리필된다고해요
24.9.21.토,반응 남기기 방문일 24.9.21.토 2024년 9월 21일 토요일 22번째 방문 인증 수단 영수증
24.1.26.금,엄마가 가고싶어하는 곳인것같아 처음으로 가보았어요. 친절하시고 사골 칼국수 싸고 맛있네요
24.5.23.목,맛있믄데 국물이 조금 밍밍해진느낌은 저만?
24.9.6.금,반응 남기기 방문일 24.9.6.금 2024년 9월 6일 금요일 20번째 방문 인증 수단 영수증
24.6.17.월,반응 남기기 방문일 24.6.17.월 2024년 6월 17일 월요일 5번째 방문 인증 수단 영수증
24.8.17.토,반응 남기기 방문일 24.8.17.토 2024년 8월 17일 토요일 19번째 방문 인증 수단 영수증
24.5.14.화,반응 남기기 방문일 24.5.14.화 2024년 5월 14일 화요일 4번째 방문 인증 수단 영수증
23.9.14.목,찐한 국물이 짱! 애정하는 곳이예요^^
24.1.11.목,반응 남기기 방문일 24.1.11.목 2024년 1월 11일 목요일 3번째 방문 인증 수단 영수증
23.8.26.토,반응 남기기 방문일 23.8.26.토 2023년 8월 26일 토요일 1번째 방문 인증 수단 영수증
23.10.11.수,반응 남기기 방문일 23.10.11.수 2023년 10월 11일 수요일 1번째 방문 인증 수단 영수증
23.6.27.화,종종 가서 먹어요.!!
24.1.6.토,반응 남기기 방문일 24.1.6.토 2024년 1월 6일 토요일 18번째 방문 인증 수단 영수증
23.4.29.토,비 올때 먹기 좋은 사골칼국수. 음식점 보통의 칼국수와는 좀 다른 맛입니다~
23.7.24.월,반응 남기기 방문일 23.7.24.월 2023년 7월 24일 월요일 2번째 방문 인증 수단 영수증
