date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""직접 잘 구워줘요""",이 키워드를 선택한 인원
10.19.일,너무 맛있어서 사진도 못 찍었네요 ㅋㅋㅋㅋㅋㅋㅋ돼지 갈비 3인분 마시고 나왔어요 고기도 빨리 익고 사장님이 친절하시고 손맛이 장난 아니세요 양념게장도 씨간장으로 담그셔서 처음 먹어보는 양념 맛인데 너무 맛있었어요 고추잎 나물도 환상적이었구요 김치도 직접 담그셔서 인위적인 맛이 아닌 진짜 집 김치 맛이었어요 재방문의사 5만% 있습니다
9.7.일,원래 밑반찬 안먹는 편인데 네가지 모두 시골반찬 맛이 났습니다. 뼈다귀해장국도 다 같으려니 했지만 국물이 다릅니다. 묵은지와 고기의 특유의 풍미가 잘 살도록 간과 양념이 최고의 조합을 찾았네요 혼밥으로 왔으나 한그릇 잘먹고 갑니다.
10.12.일,반찬이 다양하게 나오고 사장님도 친절하세요! 고기도 맛있게 잘 먹었어요~
4.28.월,"사진을 개떡같이 찍었지만 진짜 맛있습니다!! 고기가 진짜 너무 맛있고 사진을 못찍었는데 우거지탕이 진짜진짜 존맛탱 입니다 가격이 이상하다 느낄 정도로 음식 질,양 다 너무 상상 이상입니다 진짜 가격책정 이상하게 된 거 같으니 가격이 이상하리만치 싸고 좋은 지금 바로 가보세요!!!"
5.6.화,숯불돼지갈비 고기질이 넘넘 좋아요 특히 반찬이 신선하고 각종 야체 나물 맛나게 잘먹었습니다 우거지탕도 잘먹었습니다 ~^^~
