date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
9.21.일,최애 치즈퐁듀도 먹었어요 오늘따라 고기가 더 신선하고 살코기가많은느낌입니다 느끼함을 잡아주는 순두부도 금방나와서 고기먹기전에 더 입맛을 돋구어주네요~^^ 셀프바도 있어서 야채 눈치안보고 더먹을수있어요
10.1.수,내 최애 등갈비맛집👍🏻👍🏻 초벌되서 나와 금방 익고 육질 엄청 부드럽고 양념 깡패임 ㅜㅠ 순두부찌개는 술도둑😆 사장님 팁!! 고기는 한면씩 1분 골고루 4분 구워서 냠냠 하시면 천상의 맛!!!!🧡
10.8.수,등갈비가 생각날 때마다 왕코로 옵니다! 너무 맛있어요! 등갈비 한입에 순두부찌개까지 캬~~ 겨울에 더 자주찾게 되는 등갈비집이예요
9.26.금,남편이랑 술 생각날 때마다 진짜 자주 오는 곳이에요^^ 오늘은 사촌동생이랑 같이 왔는데 잠실에서도 자주 온다고 할 정도로 완전히 맛집이라고👍👍👍 하네요.❤️ 진짜 최고의 등갈비집이에요 여기서 서비스로 나오는 순두부찌개는 무조건 먹어야 돼요😁
10.10.금,순두뷰찌개도 넘넘맛나고 고기도 넘넘맛나요! 반찬도 셀프바라 눈치안보고 편히 있다 왔어요 ㅎㅎ 오랜만에 왔는데도 그대로인맛 너무 좋아요!
9.24.수,믿고먹는 왕코등갈비 항상변함없는맛 아이가좋아해서 한달에한번은 꼭방문 맛있게먹었어요
10.5.일,"추석연휴에 엄마 모시고 왔는데 칭찬 받았어요😜 방문 전 전화로 주차문의 하고 예약 했는데, 사장님 바쁘신중에 친절한 응대 감사드립니다🙏 너무 너무 맛있게 먹고 갑니당😋💯💯"
10.8.수,아이가 좋아해서 자주 와요~^^ 고기도 부드럽고 양념도 맛있습니다~ 순두부찌개도 너무 맛나요. 리필도 해줘서 넘 좋아요~~~~~~ 번창하세요^^
10.20.월,친절하시고 음식도 맛있어여
10.9.목,N년째 단골임돠 왕코는 사랑이에요 💕 순두부찌개가 존맛탱
