date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""사진이 잘 나와요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
7.14.월,성수의 요골목을 더 애정하게 되고 말겠어요. 좋아하는 소바집과 나란하게 관서식 스키야키를 제대로 하는 요이치 성수 발견. 한우채끝 것두 냉장 상태의 고품격 마블링에 스키야키 타래를 조금씩 부어가며 하이볼과 함께 지글지글. 육수와 채수가 배어든 냄비에 우동 사리 투하. 이것만으로도 완벽하지만 치킨남반 가라아게까지 거들어 주니… 이보다 흡족할 수 없는 스고이 요이치 성수.
10.19.일,분위기도 너무 좋고 친절하세요!! 성수에서 밥집 술집 늘 사람이 많아서 고르기 힘들었는데 요이치 너무 추천합니다😻😻
10.5.일,진짜 뻥안치고 너무 마쉿어오..... 아니.. 사시미 입에 넣자마자 걍 녹고 보리된장 같이 주시는데 미쳐써요... 후토마끼도 단맛 딱좋고 생선도 잘느껴지고ㅜㅜ 돈이 하나도 안아까워요!! 번창하세요!!!!
