date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
7.11.금,아빠랑 남편이랑 셋이 갓는데 잔치국수는 곱빼기에여 양이 장난 아닙니다 비빔은 보통이에요 참고하세요
7.24.목,냠냠 여름엔 콩국수죠 맛있어요
8.21.목,반응 남기기 방문일 8.21.목 2025년 8월 21일 목요일 1번째 방문 인증 수단 영수증
24.8.13.화,김밥이랑 국수 너무 맛있어요
24.7.16.화,콩국수맛이 일품 입니다 ♡
24.8.10.토,더운데 입맛없어 뭘 먹을까 생각하다가 시원한 콩국수 비빔국수를 먹었더니 더위도 가시고 입맛도 돌아오는것 같았어요 맛있어요
24.7.9.화,콩국수 신선하고 맛있어요 ~
24.8.18.일,반응 남기기 방문일 24.8.18.일 2024년 8월 18일 일요일 4번째 방문 인증 수단 결제내역
24.8.17.토,반응 남기기 방문일 24.8.17.토 2024년 8월 17일 토요일 1번째 방문 인증 수단 영수증
24.8.20.화,반응 남기기 방문일 24.8.20.화 2024년 8월 20일 화요일 1번째 방문 인증 수단 영수증
24.5.22.수,반응 남기기 방문일 24.5.22.수 2024년 5월 22일 수요일 3번째 방문 인증 수단 결제내역
24.6.2.일,반응 남기기 방문일 24.6.2.일 2024년 6월 2일 일요일 1번째 방문 인증 수단 영수증
24.3.3.일,반응 남기기 방문일 24.3.3.일 2024년 3월 3일 일요일 1번째 방문 인증 수단 결제내역
24.4.6.토,반응 남기기 방문일 24.4.6.토 2024년 4월 6일 토요일 1번째 방문 인증 수단 결제내역
