date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.12.금,맛있고 친절해요 혼밥도 받아주셨습니다
24.7.31.수,저의 서울역 근처 최애 백반집! 화요일(오징어볶음) 빼고 다 먹어봤고 갈때마다 반찬과 국이 바뀌는데 다 너무 맛있어요! 분위기도 완전 노포 그잡채 주인분 손맛 인정입니다  개인적으로 생선조림은 살짝 뻑뻑한 감이 있었고 제 기준 최고의 요일메뉴는 비빔밥입니다! 인생비빔밥 📌
24.4.15.월,집밥 먹는 느낌을 낼 수 있어요! 탄단지 구성이 좋고 국물도 정말 구수하고 맛있어요.  반찬 리필되서 좋아요.
24.4.16.화,점심 메뉴로 검색하다가 괜찮을거 같아서 방문했습니다. 겉은 허름해 보이지만 내부는 깔끔해서 좋았어요. 요일메뉴 주문해서 오징어볶음 먹었는데 집밥 같고 맛있게 잘 먹었습니다. 다음에 또 갈게요!!!
24.6.4.화,점심으로 맛있게 차린 밥상
24.6.11.화,반응 남기기 방문일 24.6.11.화 2024년 6월 11일 화요일 1번째 방문 인증 수단 영수증
24.2.2.금,제육리필되는 집 👍 👍 👍
24.1.31.수,맛있고 친절해요 😍
23.11.9.목,비빔밥 맛있어요 목요일이 기다려지는 이유😊
24.3.15.금,맛있어요! 싱겁게 먹는 저에게는 조금 짰지만 고기도 맛있고 된장찌개도 맛있었어요~!!! 완전 가성비 좋고 친절하십니다!
23.12.7.목,반응 남기기 방문일 23.12.7.목 2023년 12월 7일 목요일 2번째 방문 인증 수단 영수증
23.11.21.화,반응 남기기 방문일 23.11.21.화 2023년 11월 21일 화요일 1번째 방문 인증 수단 영수증
23.5.25.목,집밥같은 백반집 동네 맛집
23.9.7.목,반응 남기기 방문일 23.9.7.목 2023년 9월 7일 목요일 1번째 방문 인증 수단 영수증
23.9.22.금,반응 남기기 방문일 23.9.22.금 2023년 9월 22일 금요일 2번째 방문 인증 수단 결제내역
23.5.12.금,집밥 보다 맛나요 음식 솜씨가 좋아요
23.5.10.수,집에서 먹는 집밥 정성과 맛도 그대로
23.8.23.수,반응 남기기 방문일 23.8.23.수 2023년 8월 23일 수요일 1번째 방문 인증 수단 결제내역
23.4.13.목,요일마다 메뉴가 다른데 제가 방문한 날은 비빔밥이 나왔는데 공깃밥 두공기 먹었네요~^^ 맛있게 잘 먹고 갑니다!
23.2.17.금,사장님 친절하시고 밥 너무 맛있어요~~~
23.6.7.수,반응 남기기 방문일 23.6.7.수 2023년 6월 7일 수요일 3번째 방문 인증 수단 영수증
23.6.2.금,반응 남기기 방문일 23.6.2.금 2023년 6월 2일 금요일 2번째 방문 인증 수단 영수증
23.4.13.목,반응 남기기 방문일 23.4.13.목 2023년 4월 13일 목요일 4번째 방문 인증 수단 결제내역
23.2.27.월,갈월동 숨은맛집이에요. 사장님도 친절하십니다
23.5.17.수,반응 남기기 방문일 23.5.17.수 2023년 5월 17일 수요일 1번째 방문 인증 수단 영수증
23.3.23.목,반응 남기기 방문일 23.3.23.목 2023년 3월 23일 목요일 3번째 방문 인증 수단 결제내역
23.3.9.목,저렴한 가격에 맛있는 엄마의 밥상 입니다. 요일 별로 찾아가요
22.12.14.수,너무 맛나요 일단 드셔보세요
22.12.9.금,밥 맛이 좋아요 이걸로 모든 단점이 없어져요
23.4.10.월,너무너무좋아요 굿입니다 너무너무좋아요
22.11.4.금,집밥 먹고 싶을때 가는 곳이에요. 금요일 제육볶음이 특히 맛있습니다. 맛도 좋고 인심도 좋고︎♥︎
23.3.15.수,반응 남기기 방문일 23.3.15.수 2023년 3월 15일 수요일 2번째 방문 인증 수단 영수증
23.2.22.수,반응 남기기 방문일 23.2.22.수 2023년 2월 22일 수요일 1번째 방문 인증 수단 영수증
