date,content
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""부위가 다양해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""원산지 표시가 명확해요""","""원산지 표시가 명확해요"""
"""매장이 청결해요""",이 키워드를 선택한 인원
24.8.31.토,반응 남기기 방문일 24.8.31.토 2024년 8월 31일 토요일 1번째 방문 인증 수단 영수증
23.11.10.금,반응 남기기 방문일 23.11.10.금 2023년 11월 10일 금요일 1번째 방문 인증 수단 영수증
23.6.8.목,반응 남기기 방문일 23.6.8.목 2023년 6월 8일 목요일 1번째 방문 인증 수단 영수증
23.6.6.화,가격도 저령하고 맛있는 뷔위가 있어서 좋아요
22.9.9.금,반응 남기기 방문일 22.9.9.금 2022년 9월 9일 금요일 2번째 방문 인증 수단 영수증
22.8.9.화,반응 남기기 방문일 22.8.9.화 2022년 8월 9일 화요일 1번째 방문 인증 수단 영수증
22.8.2.화,반응 남기기 방문일 22.8.2.화 2022년 8월 2일 화요일 1번째 방문 인증 수단 영수증
