date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""코스요리가 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
7.27.일,"답십리 로데오거리 맛집 ""원할머니보쌈족발 용답답십리점"" 보쌈족발 맛집으로 점심에는 가성비 좋은 메뉴가 많습니다. 보쌈냄새없이 맛있고 열무막국수도 시원하고 새콤해서 보쌈이랑 같이 먹으니 정말 좋습니다~ #pure09 #원할머니보쌈족발 #원할머니보쌈 #한국페이결제 #스피디페이"
9.12.금,건강하게 먹은 느낌. 누룽지 맛있고 친절하세요.
9.22.월,점심시간 족발 주문했는데 먹을수가 없어서 한점씩 먹고 소주도 한잔만 먹고 일어났네요 전날것인지 더 오래된건지 훈제느낌에 차갑고 음식 나오자마자 나오는데도 사장님 아무렇지 않으시네요 보쌈집에서 족발 안파시는게 나으시겠네요 데운건 아니라고 하시고 바로삶은것도 아니라시고 뭔 족발일까요 당황스러워 사진도 못찍었네요 체인이라 일단 믿고 갔는데 다신 원할머니 안갈꺼같아요
8.7.목,원할머니 보쌈에 솥밥 말해 뭐해요~~ 된찌랑 환상궁합 맛나게 잘 먹었습니다 ^^
4.15.화,단골가게~~~ 이라고 소개를 하면~~  말 다한거죠?ㅎㅎ 그야말로 말해모해 이에욤~~
6.11.수,반응 남기기 방문일 6.11.수 2025년 6월 11일 수요일 2번째 방문 인증 수단 영수증
2.9.일,음식이 깔끔하고 맛있어요. 고기가 두툼합니다.
24.12.17.화,"n번째 가는 단골가게 입니다.  맛,서비스 는 말해모해 인거 아시죠?ㅎ"
24.12.1.일,반응 남기기 방문일 24.12.1.일 2024년 12월 1일 일요일 13번째 방문 인증 수단 영수증
2.23.일,반응 남기기 방문일 2.23.일 2025년 2월 23일 일요일 4번째 방문 인증 수단 영수증
24.11.24.일,반응 남기기 방문일 24.11.24.일 2024년 11월 24일 일요일 1번째 방문 인증 수단 결제내역
24.6.30.일,고기가 부드럽고 배추김치가 맛있었어요 ~ 따듯하게 쭈욱 먹을 수 있어서 매장에서 먹는게 배달 보다 맛있어요 !
24.11.15.금,반응 남기기 방문일 24.11.15.금 2024년 11월 15일 금요일 2번째 방문 인증 수단 영수증
24.7.28.일,"음식점 외식을 30년넘게 해봤지만 이렇게 성의 없는 메뉴는 처음봤습니다. 여름메뉴라고 소개된 들기름 막국수 사진에는 김가루가 가득 뿌려져 있고 반찬 2가지와 보쌈고기와 무채, 육수가 있었는데 막상 나온 음식에는 들기름 향 10%도 안느껴지는 기름맛 국수에 김가루는 라면스프에나 들어있는 조미김가루만 뿌려져 있었고 반찬은 배추김치만 있었습니다. 너무 어이가 없어서 따질생각조차 안들더군요. 이 메뉴가 15000원이라니..집에서 끓여먹는 라면 같습니다. 어떻게 이렇게 성의없이 음식이 나올수가 있죠? 같이간 지인이 시킨 보쌈반상은 ₩13000원인데 13000원짜리보다 2천원이 더 비싼 메뉴가 이런거였다니요? 다시는 가고싶지 않습니다. 정말 비추비추 합니다."
24.4.8.월,친구랑 자주 갔던 곳.  자리가 넓어서 바로 자리에 앉아서 주문하고 음식이 빨리 나와서 좋았어요.
24.7.14.일,인간적으로 넘은적은 정식 고기양 맛은좋인여
24.7.7.일,맛있지만 고기양이 ㅜ
23.12.28.목,"재철에 맞춰서 어리굴보쌈 을 주문해서 먹었어요.  소,중,대 가 있는데 저는 소 로 주문했어요. 제가 해산물은 비린내가 나면 입에 대지도 않거든요 그런데 여기에서 나오는 어리굴젓 에서의 굴이 매우 신선해서 맛있게 먹었어요.  서비스요? 서비스는 좋죠😍 강추 입니닷😎👍"
24.5.12.일,양도 푸짐하고 사장님 엄청 친절하시고 매장도 청결해서 좋아요🩷
24.8.11.일,반응 남기기 방문일 24.8.11.일 2024년 8월 11일 일요일 12번째 방문 인증 수단 영수증
24.3.22.금,의성마늘떡보쌈(소)와 들기름막국수 아내와 먹음 굉장히 맛있었음
24.3.15.금,"용답에 매화가 예쁘다해서 엄마, 언니와함께 잘 모르는동네 도착! 솥밥이 땡겨 들어가 육개장을 시켰고 한숟가락 떠먹었는데 시큼했다. 김치때문인가싶어 건더기를 봤는데 김치는없었고 한숟가락 더 맛보고 사장님께 조용히 말씀드리고 김치찌개로 변경, 식구들은 이미 밥 다 먹은후에 내 찌개가 나왔는데 보쌈집이 무색할정도로 김치찌개의 돼지고기는 너무질긴데다 누린내가 났다. 밥만 맛있었고 돈이 너무 아까웠다... ㅜㅜ"
24.6.9.일,반응 남기기 방문일 24.6.9.일 2024년 6월 9일 일요일 9번째 방문 인증 수단 영수증
24.1.12.금,갓 지은밥 맛있어요 밑반찬은 메뉴사진하곤 퀄리티 차이가 있네요
24.4.24.수,맛있게 잘 먹었습니다 된장찌게 제일 맛있어요
23.9.17.일,보족원쌈 3인 + 새싹쟁반무침면 + 해물된장찌개 + 가마솥밥 2개 이렇게 주문해서 4명이 배터지게 먹고 왔어요!!  족발은 엄청 쫄깃 탱글해서 맛있고 무김치랑 조합이 끝내줘요 >_< 보쌈은 담백하면서 부드러워 밑에 깔려있는 부추 양파랑 같이 먹기 좋아요.  새싹쟁반무침면(소)는 새콤보다는 많이 달달한 편이라 좀 아쉬웠지만 해물된장찌개 해물이 들어가서 그런지 엄청 맑고 깔끔해서 좋았습니다 ㅎㅎ ♡
24.3.21.목,맛있게 잘 먹었습니다.
24.3.7.목,점점 음식양이 적음
24.2.13.화,"같은 족발 집이라고 해도 어쩜 이렇게도 맛이 다를까 족발은 달고, 막국수는 ....? 덤으로 친철하고도 거리가 머네요~~~"
23.12.23.토,옛날의 원할머니 보쌈이 아님 가격은 비싸고 고기질은 그냥 그렇고... 이제 원할머니는 빠이~~
24.3.29.금,남해멍게보쌈 소자로 포장해서 둘이서 먹었는데 밑반찬이 다양해서 딱 적당히 배부르게 먹었어요~ 정말 맛있어요♡♡ 사장님이 친절하시고 현금영수증도 잘 챙겨주셔요♡
23.12.9.토,냄새가 나서 족발 보쌈 둘 다 먹다 버림 7시35분에 간다고 남겼는데 7시10분에 픽업대기 뜸 식어서 냄새가 더 난게 아닌가 싶음 족발 뼈 빼달라했는데 안 뺌 결국 메모를 안보는거 같음 다신 원할머니 안 먹을거임
