date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""야외공간이 멋져요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""건강한 맛이에요""",이 키워드를 선택한 인원
8.31.일,맛있게 먹느라 사진 찍는 걸 까먹었네요... 너무 맛있습니다. 스쳐 지나가다 우연히 들어간건데 다음에 또 갈 거 같아요. 다 드시고 볶음밥 꼭 드세요!!
8.11.월,가성비 좋고 너무 맛있습니다 왕십리 최고 가성비라고 자부할 수 있어요. 거기다 육회비빔밥 6000원까지 최고의 식사를 했습니다 강추합니다
6.14.토,양도 많고 가성비가 너무 좋고 사장님이 친절하셔요 :) 그리고 여기 육회비빔밥이 맛집이에요~!!!
6.26.목,맛있는 육회와 고기가 있는 한양시장안에 위치한 육회 고기 맛집이네요 !
8.22.금,이집 메뉴구성이 좋아요 날풀리면 다시 방문예정
6.8.일,사장님도 너무 친절하셨고 고기도 다 너무 맛있어서 만족스럽게 먹고 나온것 같아용! 김치도 계속 리필해주셔서 너무너무 좋았습니당🫶
6.7.토,야장이 좋아요 반찬도 많고 맛있어요 맛있게 잘 먹고 갑니다~~!!
6.25.수,진짜 맛있어요. 분위기도 쵝오! 너무나 친절하신다는점.. 담에도 또올께요
