date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""고기 질이 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""주차하기 편해요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""비싼 만큼 가치있어요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""현지 맛에 가까워요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""룸이 잘 되어있어요""",이 키워드를 선택한 인원
"""향신료가 강하지 않아요""","""향신료가 강하지 않아요"""
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
8.15.금,맛도 좋고 직원분들 응대도 친절하셨어요 대기 걸어놓을 때 메뉴까지 선택하니 회전율이 좋더라고요 자리에 앉자마자 음식이 나옵니다! 그리고 대기 공간에 물도 있고 좋더라고요 전체적으로 협소한 게 좀 아쉬웠습니다
9.4.목,"겉바속촉촉 돈가스의 진수! 특히 고기가 정말 부드럽고, 와사비와 함께 먹으니 풍미가 배가되네요. 치즈 가츠까지 곁들여져 한 끼가 정말 든든했습니다."
9.18.목,"맛있어요!!! 베스트메뉴같은거가 재료소진이라그해서,, 브레이크타임끝나고 바로 간건데ㅠ 오전에 가야먹을수있는건가봐요"
10.3.금,돈까스 맛있어요. 웨이팅이 너무 길어서 지루하고 이날 비가 와서 추웠는데 감기 걸렸네요. 갈때마다 돈까스 사이즈가 다르다는 생각이 드네요.
