date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""오래 머무르기 좋아요""",이 키워드를 선택한 인원
"""혼술하기 좋아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
24.4.30.화,반응 남기기 방문일 24.4.30.화 2024년 4월 30일 화요일 1번째 방문 인증 수단 영수증
21.11.6.토,딱 포차 느낌~!!
21.5.3.월,반응 남기기 방문일 21.5.3.월 2021년 5월 3일 월요일 1번째 방문 인증 수단 영수증
21.5.11.화,반응 남기기 방문일 21.5.11.화 2021년 5월 11일 화요일 1번째 방문 인증 수단 영수증
20.9.29.화,금호동 소주한잔하기좋은 포차
20.6.7.일,반응 남기기 방문일 20.6.7.일 2020년 6월 7일 일요일 1번째 방문 인증 수단 영수증
