date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
5.17.토,빙수 판매하는 지점이 은근 적은데 답십리 로데오 지점에는 빙수가 모두 있어서 매우 반가운 부분이었습니다. 평소 먹고 싶었던 자몽 그래놀라 빙수를 주문해 포장해왔으나 아쉽게도 집에서 덜어내던 중 바닥에 빙수를 떨어트려 빙수 사진은 없습니다.  손에 묻은 빙수 국물 먹어 보니 맛있습니다. 아마 진짜 빙수도 분명 맛있겠지요. 다음에는 얌전히 매장에서 먹겠습니다.
5.14.수,옛날생각나는 달고나라떼 먹어보니 눈이번쩍 미소가 입가에 번지네요. 옛날사람들 추억을드시러 오세요
5.14.수,친절해요 커피도 맛있어요^^
5.23.금,매장 깨끗하고 골드키위주스 맛있어요!
7.11.금,빙수랑 식혜 맛있습니다
9.17.수,아이스해이즐넛 아메리카노 주문해봤어요
6.15.일,생긴지 얼마 안된? 곳이라 그런가 더 깔끔하고 좋어요
5.23.금,사장님 친절해서 자주 가요~ 수박주스👍🏻
5.22.목,사장님이 정말 친절하세요 ! 음료도 맛있고 매장도 너무 깔끔하고 예뻐요 조용히 음료 마시러 왔다가 힐링해서 가요 특히 1인 빙수 너무 맛있어요 번창하세요 ❤️❤️
6.29.일,수박쥬스 맛있어요 시원🍉🍉
4.6.일,청계천 인근이라 커피 한 잔 사들고 산책하기 좋아요. 벚꽃 필 때 아주 좋았습니다.
7.22.화,반응 남기기 방문일 7.22.화 2025년 7월 22일 화요일 1번째 방문 인증 수단 영수증
5.14.수,수박쥬스가 시원하고가 맛있어요
5.22.목,다신 가기 싫.
6.29.일,반응 남기기 방문일 6.29.일 2025년 6월 29일 일요일 1번째 방문 인증 수단 영수증
2.2.일,"로데오거리에 오픈했다는 소문에 와서 허니브레드, 소금빵 주문했는데 아이들이 맛있게 먹네요 아메리카노도 딱 제 취향!!  자주 올게요~"
6.5.목,반응 남기기 방문일 6.5.목 2025년 6월 5일 목요일 1번째 방문 인증 수단 영수증
6.11.수,반응 남기기 방문일 6.11.수 2025년 6월 11일 수요일 1번째 방문 인증 수단 영수증
7.15.화,공간 많고 편합니다
5.8.목,반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 1번째 방문 인증 수단 영수증
1.4.토,이디야 새로 생겨서 좋아요~
1.20.월,조금 느리심 ..
1.11.토,반응 남기기 방문일 1.11.토 2025년 1월 11일 토요일 1번째 방문 인증 수단 영수증
1.5.일,반응 남기기 방문일 1.5.일 2025년 1월 5일 일요일 1번째 방문 인증 수단 영수증
4.26.토,반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 1번째 방문 인증 수단 결제내역
