date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""건강한 맛이에요""",이 키워드를 선택한 인원
"""메뉴 구성이 알차요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""음식이 빨리 나와요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""컨셉이 독특해요""",이 키워드를 선택한 인원
"""아이와 가기 좋아요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
10.17.금,꼬마김밥이 맛있다는 이야기를 듣고 퇴근 후 달려왔어요~ 안니세트와 꼬마김밥 추가하고 어묵추가해서 먹었는데 맛있습니다 떡볶이는 사장님 레시피~~맛나요 조미료안쓰시고 가정식으로 하신다고 해서 더 믿음이 가네요 매장도 청결하고 예뻐요~^^ 자주 올것 같아요 ㅎㅎ
10.14.화,매장에서 먹고 닭발퐁당떡볶이가 신메뉴로 나왔다고 하셔서 포장 주문하고 집에서 먹어봤는데 닭발도 무뼈라서 먹기 좋았고 주문과 동시에 조리를 해주셔서 식감도 꼬독꼬독하게 있어서 좋았어요! 맵기도 적당해서 매운거 잘 못 먹는데도 딱이었습니다!
10.16.목,주 2-3회 오는 동네 맛집입니당 가성비 좋고 떡라면이랑 김밥이 진짜 맛있어요 오늘은 떡볶이 시켰는데 떡볶이도 맛있습니당!
9.18.목,떡볶이 계란말이 꼬마김밥 다 너무 너무 맛있어요!!배달 주문만 하다가 오늘은 매장 직접 가서 포장해 왔어요. 가게도 깨끗하고 사장님도 친절하세요😊
10.18.토,쫄떡볶이랑 꼬마김밥 너무너무 맛있고 친절해용❤️
6.29.일,"깔끔한 인테리어와 정갈한 음식, 친절한 사장님의 응대, 맛있고 깨끗하고 신선한 재료가 좋습니다. 앞으로 모든 메뉴를 하나씩 먹어보고 싶네요. 앞으로도 오래오래 이곳에서 맛있는 김밥 만들어 주세요. 👍🙏😊"
