date,content
"""커피가 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""음료가 맛있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""디저트가 맛있어요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""아늑해요""",이 키워드를 선택한 인원
"""집중하기 좋아요""",이 키워드를 선택한 인원
"""대화하기 좋아요""",이 키워드를 선택한 인원
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""차분한 분위기예요""",이 키워드를 선택한 인원
"""좌석이 편해요""",이 키워드를 선택한 인원
"""음악이 좋아요""",이 키워드를 선택한 인원
"""포장이 깔끔해요""",이 키워드를 선택한 인원
"""반려동물과 가기 좋아요""","""반려동물과 가기 좋아요"""
"""사진이 잘 나와요""",이 키워드를 선택한 인원
8.28.목,산미 있는 원두로 하니까 더 맛있어요😍 근데.... 휘낭시에가 ........ 너무 맛있어서....당황........ 진짜진짜 제가 휘낭시에 좋아해서 대전 유명한 빵집들 것도 먹어봤는데... 여기 것도 너무 맛있네요.......👍🏻🦀👍🏻
8.22.금,커피3가지 오늘의커피는2.500이예요~^^~친절하시고 커피 골라먹는재미가있어요~
5.5.월,"라떼만 먹는 라떼처돌이인데, 여기 라떼 진짜 인정입니다.. 라떼 좋아하시는 분들은 아시겠지만 라떼 맛있기가 참 힘들잖아요....^^.. 근데 진짜 한 입 먹자마자 놀랐어요.. 사장님도 넘 친절하시고, 휘낭시에도 존맛이에요 ㅎ 용답역 올때마다 방문 할 생각이에요ㅎ"
4.8.화,근처에 반려동물 동반 카페가 새로 생겨서 강쥐랑 방문했어요 인테리어 따뜻하고 깔끔해요 따뜻한 컬러감의 인테리어 좋하아는분들은 분위기 맘에 들어할 거 같아요 😌 초당라떼 진짜 옥수수 들어가서 달달구리 먹고 싶을때 최고💜 사장님이 진짜 친절하시구 단골 손님도 많은거같아요 다음엔 다른 강쥐 친구들도 만나면 좋겠어요 여기 귀염둥이들 많이 온다는뎅!!
7.21.월,수박주스! 수박만 들어가는데 맛있어요^^ 다른데는 100프로 수박이라는 이유로 양 적게주고 얼음가득 채워주는데 여긴 양도 많아요~ 추천추천♡
7.15.화,그냥 주변을 지나가다가 검색해서 들어왔는데 정말 커피 맛있어요!!! 디저트도 맛나네요. 이주변 온다면 또 올듯. 완전 짱… 리뷰대로 라떼 맛집이네요.
3.8.토,전에 한복집 왔다 우연히 들려서 쑥라떼 마시고 너무 맛있어서 다시 한번 사먹었습니다! 너무 달지않고 진짜 쑥 향과맛 존맛..탱 꼭꼭 마셔보세요!휘낭시에도 쫀득하고 단백하니 맛있어요!
4.7.월,"강쥐랑 쉬는날 오기 좋은 동네 느좋카페❤️ 아매리카노 원두 좋은거 쓴는지 탄맛도 없고 고소하고 맛잇어요!!  쑥라떼, 아메리카노, 초당라떼 이렇게 제 원픽❤️"
2.6.목,늘 아메리카노 테이크아웃으로 마셨는데 드립백이 있길래 회사에서 마시려 사와서 직원들과 같이 마셨는데 다들 맛 너무 괜찮다고 칭찬했어요😍 노란색은 산미가 있고 파랑색은 산미가 없다 했는데 산미를 좋아하지 않는 저한테도 거부감 전혀 없을만큼의 산미라 노란색도 입에 잘 맞았어요 오래 우려냈더니 연하게 마시는 저한테는 조금 진하더라구요 재구매 의사 100% 내돈내산 완전 추천이예요>_<❣️
6.27.금,반응 남기기 방문일 6.27.금 2025년 6월 27일 금요일 1번째 방문 인증 수단 결제내역
24.11.29.금,아침에 따뜻한 라떼 한 잔 덕분에 몸을 녹일 수 있었습니다! 드립커피도 챙겨주셔서 너무 감사했어요!! 커피가 너무 맛있어서 또 방문할 거예요~ 매장도 깔끔합니다!
4.10.목,커피 맛있고 친절하셔요
24.12.27.금,라떼가 무척 찐해요 ㅎ 맛나요
24.12.24.화,저번에 다녀와서 맛있어서 또왔어요 아인슈페너 크림 굉장히 부드러워서 목넘김이 좋았고 커피맛은 뭐해요 ^^ 친구는 군고구마라떼 먹었는데 따뜻한고구마 통째로 갈아넣은것 처럼 맛있데요~ 집에서도 커피마시고 싶어서 드립백 커피도 샀는데 조만간 더간편한 티백형태로도 나온데서 기대중입니다~!! 오늘도 좋은시간 잘보내고 갑니당♡
24.12.3.화,초당옥수수크림라떼도 너무부드럽고 맛있어요 커피도 직접 로스팅 해서 내린 원두라서 깊고 진한 커피향이 참 마음에 듭니다 커피맛집이라 그런지 점심시간때 손님들 짱 많습니다 ㅎㅎ
24.8.29.목,사장님 센스가 넘치는 곳  요즘 스탠리 텀블러가 유행이라 잘 들고 다니는데 갈 때마다 너무 커서 민망한 마음들이 있어요. 딥바닐라 라떼가 직접 만든 시럽이라고 하셔서 주문했는데 텀블러에 좀 더 많이 담아주셔서 넘 감사하게 잘 먹었습니다 🙏🏻 바닐라라떼 성애자인데 별로 안 달고 맛있어요!
2.6.목,근처갔다가 방문했는데 음료들이 다 맛있지만 개인적으로 커피가 넘 맛있어요!! 사장님도 친절하시구 좋아용:-)
1.10.금,쑥라떼 고소하고 달달하고 맛있어요☺️
24.10.4.금,라떼 맛집입니당 ㅎ ㅎ 원두 종류도 고를 수 있어서 너무 좋아요! 인테리어도 깔끔하고 좌석도 좋아서 자주 올 것 같습니당 〰️ 사장님이 엄청 친절하세요😶
24.9.23.월,"세상 친절하신 훈남 사장님께서 직접 로스팅한 맛있는커피를 맛볼 수 있는 곳! 개인적으로 단 음료를 좋아하지 않는데도 인바이트 쑥라떼,바닐라라떼는 딱 적당히 달아서 즐겨먹어요. 콜드브루는 인바이트 가지 못할때 구비해두고 마시고 있습니당🫶🏻 여러분 용답동,답십리에서는 인바이트입니다📣"
24.8.29.목,딥 바닐라빈 라떼 😄 먹자마자 미소가 절로 퍼지는 커피에요. 젊은 훈남 사장님께서 친절하다못해 격이다른 친절함으로 설명해주시고 만들어 주셨어요. ㅎㅎ
24.6.22.토,"지나가는길에 새로 오픈 했다해서 잠시 들려서 한잔 마셔봤는데 아이스아메리카노, 쑥라떼 마셨는데 커피향도 진하고 제입맛엔 똭~ 쑥라떼는 쑥향이 진하고 걸죽허이 깊은맛이 나서 좋아요~~ 다른 메뉴도 먹고 싶었지만 ~~ 다음에 재방문 해서 마셔봐야겠어요~  현재 오픈기념 10% 할인행사까지~^^ 사장님도 너무 친절하시고 원두 대해 자세히 설명도 해주시고 내.외부도 청결 해보여서 너무 좋았습니다"
24.9.23.월,맛잇어서 카페에서 먹고 콜드브루 포장해서 집에서 타 먹고 있어요 👍 조만간 또 방문할 것 같습니다~!
24.9.23.월,오랫동안 커피 갈아서 내려먹는 사람이라 ..ㅋ 맛을 잘알기에 카페가면 여기는어떤지 꼭 느껴봅니다~~ 어떤곳은 엄청 오래된 원두써서 쩐내도 나고 그러는데.. 여기는 원두자체가 고소 신선해요~ 주문많을때 갔는데 사장님도 친절하시고 매장도 깨끗해요🤩 지나가다가 자주갈것같아요 !!!
24.6.17.월,새로 오픈했길래 방문해봤어요 할미입맛이라 쑥라떼 주문했는데 완전 반했어요 쑥맛이 향첨가 수준이 아니라 강하고 진해서 할미입맛에겐 정말 만족스러워요 한잔 다 먹고 배불러서 식사 대용으로도 가능하겠다 싶어요 리얼 피치티는 복숭아 맛도 진하고 아래 달달한 알갱이 씹어먹는 재미가 쏠쏠해요 매장도 깨끗하고 조용하고 화장실에서 좋은향기 나요ㅎㅎ 맛집카페 찾아낸 것 같아 신나네요❣️
24.10.8.화,넓은 공간은 아니지만 대화하기 좋아요
24.9.23.월,커피 맛있어서 자주 애용하는 카페입니다 👍👍👍
2.8.토,반응 남기기 방문일 2.8.토 2025년 2월 8일 토요일 1번째 방문 인증 수단 영수증
24.6.21.금,"회사근처 새로생긴 커피숍이있래 지나가다 들어왔는데 커피도 맛있고 사장님도 엄청 친절해요 시그니처 쑥라떼, 리얼피치티 꼭 드셔보세요. 다음에 가면 아인슈페너 마셔봐야지 또 방문할께요"
24.6.17.월,회사 근처에 새로 생긴 카페라 방문했어요. 시그니처인 쑥라떼가 정말 맛있어요. 팥크림이 올라가서 비비빅을 먹는 것 같아요👍👍 사정님도 친절하시고 단골될 듯🙌
24.8.5.월,직접 원두볶으시고 커피 완전맛있어요😳 그리고 쑥라떼 완전추천!!
24.7.30.화,커피도 커피지만 사장님이 친절하시고 카페 분위기가 너무 좋아요
24.6.21.금,날이 더워 커피한잔하러 들어옴 오픈이벤트 할인10%까지해주네요. 사장님 친절하고 커피가 너무맛있어요 사장님 오래오래 운영해주세요
24.9.23.월,반응 남기기 방문일 24.9.23.월 2024년 9월 23일 월요일 1번째 방문 인증 수단 영수증
24.7.30.화,카페가 너무 이쁘고 재택하려고 왔는데 편안하고 좋네요
24.7.30.화,커피도 맛있고 사장님이 친절해요.
24.7.21.일,수박주스하고 쑥라떼가 맛있습니다! 가격도 착하고 사장님도 친절합니다!
24.6.21.금,"쑥라떼, 밀크티 마싯송"
24.7.14.일,반응 남기기 방문일 24.7.14.일 2024년 7월 14일 일요일 1번째 방문 인증 수단 영수증
24.6.28.금,반응 남기기 방문일 24.6.28.금 2024년 6월 28일 금요일 1번째 방문 인증 수단 영수증
