date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""기본 안주가 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""술이 다양해요""",이 키워드를 선택한 인원
24.10.5.토,와 이거 진짜 미쳤어 안 오면 더 미쳤어
24.4.17.수,기본 안주로 나오는 미역줄거리 볶음이 맛돌이 입니다. 안비리게 미역줄거리 볶아 주는곳 오랫만에 만나네요. 닭도리탕도 존맛탱이었습니다.
24.7.6.토,반응 남기기 방문일 24.7.6.토 2024년 7월 6일 토요일 1번째 방문 인증 수단 영수증
23.11.15.수,찐맛집 느낌나서 방문했는데 닭도 바로 사오셔서 만들어주시고 분위기도 아늑하고 다음에 다시 방문하고싶어요! 닭도리탕 맛있었습니다!
23.7.14.금,너무너무 맛있고 사장님 친절하세요^^ 비가 조금와서 좀 더웠어요ㅠ 다음 방문땐 시원하게 해주세요~~^^ 제육볶음 너무 맛있게 잘먹었습니다!!
22.11.25.금,완전 옛날 갬성
22.5.21.토,반응 남기기 방문일 22.5.21.토 2022년 5월 21일 토요일 1번째 방문 인증 수단 영수증
21.10.2.토,반응 남기기 방문일 21.10.2.토 2021년 10월 2일 토요일 1번째 방문 인증 수단 영수증
