date,content
"""과일이 맛있어요""",이 키워드를 선택한 인원
"""신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""상품이 다양해요""",이 키워드를 선택한 인원
"""제철 과일이 빨리 나와요""","""제철 과일이 빨리 나와요"""
10.15.수,"우리동네 최고의 과일가게!!! 바로 컵과일 먹을수도 있고, 선물용과일도 살 수 있어요. 매번 제철과일 설명들으면서 먹으니까 너무 좋아요."
10.8.수,반응 남기기 방문일 10.8.수 2025년 10월 8일 수요일 1번째 방문 인증 수단 영수증
10.4.토,신선한 과일주스 맛집!! 너무 맛있어요❤️❤️
9.30.화,일과 컵과일 먹으면 얼마나 행복하게요~~~~🍓🍎🍊🍒🍑🍈🍋🍌🍇🫐
9.21.일,과일이 신선하고 쥬스도 맛있어요.
9.21.일,사장님이 너무친절하시고 허기가 딱지기 좋은 위치에 있네요 자주올께요
9.20.토,일과 과일 신선하고 달고 맛있어요🍑🍇🍒🍉
9.18.목,커피 먹으려고 지나가다 과일이 신선해서 눈길이 가고 발이 멈춘 곳이에요. 가을이라고 긴팔 입고 나왔는데 시원한 복자(복숭아+자두)스무디로 힘이 쏟아요 : )
9.16.화,길가다 과일들이 너무 먹음직스럽게 진열되어있어 발걸음이 멈춰지네요.^^ 토마토쥬스 먹었는데 너무 맛있었어요. 근처에 슈퍼도 없는 동네에서 신선한 과일가게 너무 좋아요.
9.11.목,직장 근처라 점심에 가끔 오는데 매번 너무 친절하고 좋아요
8.31.일,사장님 너무 친절하시고 과일들이 신선해요! 스무디도 짱 맛있어요..🍑🍏🤍
8.31.일,과일이 먹고 싶은데 마트에서 사자니 다 먹을 자신도 없고 깎기도 귀찮고... 컵과일이 딱 좋겠다 생각돼서 저번에 수박 사먹었었는데 맛있었어요~ 이번엔 멜론... 맛있어요. 자주 들를게요❤️❤️🥹
8.22.금,오늘 날이 더워서 가는길에 복자스무디 주문했고 직접 과일을 갈아서 건강하고 맛있는 맛이였답니다 ㅎㅎ 다음에 망고도 다시 나오면 좋겠습니다 ㅎㅎ
8.7.목,너무 맛잇어서 또 와써요 ㅜㅜㅜㅜ 망고 개존맛이에요 진짜 무슨 여기 동남아인 줄 성수 올 때마다 올 거 가타요 꺄
8.5.화,맛읶고 청결한 거 같아요
8.5.화,신선한 과일로 음료 만들어 주셔서 너무 좋아요!!
8.5.화,제가 성수에서 제일 좋아하는 과일가게예요❤️ 친절하시고 과일도 맛있어요.
7.27.일,수박주스의 자연스러운 단맛이 맛있습니다. 친절하세요.
7.13.일,생과일 듬뿍 갈아주셔서 제철과일주스 땡길때마다 방문하는데 자두 복숭아 너무 맛있어요👍
7.13.일,과일이 신선하고 맛있어요!
7.6.일,아담한 곳인데 과일도 신선하고 맛있어요. 친절하고 담에 또 올게요~^^
7.5.토,반응 남기기 방문일 7.5.토 2025년 7월 5일 토요일 1번째 방문 인증 수단 영수증
6.30.월,눈앞에서 직접 과일을 착즙해주시니 믿음가고 좋아요!  과일이 다 너무 신선하네요 ~~^^
6.29.일,"성수동에서 생과일주스 맛있다고 소문난 곳이에요!요즘처럼 더운 날, 과일가게에서 마신 생과일주스 한 잔이 진짜 힐링이었어요. 인공 시럽 없이 과일 본연의 단맛만으로 이렇게 맛있을 수 있다니! 사장님이 직접 손질한 신선한 과일로 만들어주셔서 믿고 마실 수 있었어요.  과일이 신선하니 주스도 다르다는 걸 확실히 느꼈습니다! 앞으로 더 자주 올게요💚  그리고 너무친절하세요!"
6.29.일,ㄱ성수 과일핫플 잘먹고가요
6.26.목,일과 x 잇프레쉬 9.1.월 세상엔 왜 이렇게 맛있는 과일이 많은 걸까요? 달고 맛있는 과일은 사랑입니다. 달달한 리뷰 감사해용
6.19.목,성수에서 젤 맛있는 과일가게에용 넘 저아여🥰
6.17.화,일과 x 잇프레쉬 9.1.월 사진찍고 올리고 이런거 너무 귀찮은데 이렇게 올려주셔서 감사합니다!
