date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""반찬이 잘 나와요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""뷰가 좋아요""",이 키워드를 선택한 인원
24.7.16.화,"국회앞 회식하기 좋은 일미식당  저녁에 회식으로 찾았는데, 나오는 반찬이 맛이있어서 점심식사 간단하게 하러 오기도 좋을듯. 에어컨 잘 안나오는 방도 있어서 요즘처럼 장마시즌이나 습할때는 꼭 에어컨 잘 가동되는지 확인해야한다.  제육이나 두부김치도 기본적으로 맛있는 한식당"
24.7.4.목,반응 남기기 방문일 24.7.4.목 2024년 7월 4일 목요일 3번째 방문 인증 수단 영수증
24.10.2.수,반응 남기기 방문일 24.10.2.수 2024년 10월 2일 수요일 1번째 방문 인증 수단 영수증
23.12.7.목,항상 푸짐하고 맛있어요!
23.11.2.목,계란후라이도 주시고 반찬도 맛깔남
23.11.8.수,반응 남기기 방문일 23.11.8.수 2023년 11월 8일 수요일 2번째 방문 인증 수단 결제내역
23.12.15.금,반응 남기기 방문일 23.12.15.금 2023년 12월 15일 금요일 3번째 방문 인증 수단 결제내역
23.9.7.목,반찬도 맛있고 메인 메뉴도 맛있어요!
23.8.19.토,손으로 만든 두부와 해물 얼큰하게 잘 먹었어요
23.4.4.화,회시켰는데 맛있어요 갑오징어 몸통은 쫄깃하고 다리는 살짝데쳐서 양념했는데 맛있네요 갑오징어 먹어봐야됩니다~!
23.8.26.토,반응 남기기 방문일 23.8.26.토 2023년 8월 26일 토요일 1번째 방문 인증 수단 결제내역
23.9.21.목,반응 남기기 방문일 23.9.21.목 2023년 9월 21일 목요일 2번째 방문 인증 수단 영수증
23.8.16.수,반응 남기기 방문일 23.8.16.수 2023년 8월 16일 수요일 1번째 방문 인증 수단 영수증
