date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""혼밥하기 좋아요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""화장실이 깨끗해요""",이 키워드를 선택한 인원
"""주차하기 편해요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""특별한 날 가기 좋아요""","""특별한 날 가기 좋아요"""
"""아늑해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""잡내가 적어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
"""뷰가 좋아요""",이 키워드를 선택한 인원
7.4.금,후기 보고 들어갔는데 가게도 깔끔하고 사장님도 친절하시네요 젤 인기 메뉴인 양평해장국 주문했는데 양도 많고 뜨끈뜨끈하니 내용물도 실하고 정말 맛나네요  사장님이 바쁘신 가운데에도 음식 괜찮냐고 물어봐주시고 김치도 맛있다고 하니 바로 더 챙겨주시네요
8.5.화,선지 해장국 맛집 찾고 있었는데 진짜 선지 부드럽고 맛있어요!!! 여자 직원분 너무 친절하세요. 늦게 방문한 편인데도 너무 잘 챙겨주시고 설명해주셨음👍🏻 리뷰 잘 안다는데 얼큰 짱이에요 꼭 드셔보시길…
10.13.월,반응 남기기 방문일 10.13.월 2025년 10월 13일 월요일 1번째 방문 인증 수단 영수증
7.1.화,이번이 두번째 방문입니다. 맛있어서 또 왔네요. 강추!!!!!!
4.8.화,"맛은 좋았어요. 그런데 양은 적고, 위생, 서비스가 엉망이에요. 제 음식을 옆 테이블에 가져다 주셨고, 심지어 옆테이블에 계신분이 음식에 젓가락을 넣으셨어요. 그런데 그걸 그대로 저한테 다시 주셨어요. 그분 침이 들어갔을 수도 있는데, 생각을 길게 안하시더라구요. 그리고 남자 사장님은 나가서 맨손으로 연초 담배 피시더라구요. 위생 관념 챙기시는게 도움 될 것 같습니다. 이런 글 쓰기도 싫지만 여기는 써야할 것 같네요."
3.24.월,반응 남기기 방문일 3.24.월 2025년 3월 24일 월요일 1번째 방문 인증 수단 영수증
24.7.27.토,배고파서 급하게 먹느라 늦게 찍었는데 맛있어여~
24.7.10.수,선짓국 포장했는데 맛있어요!!
24.6.27.목,해장국에 정석이 된 양평해장국.💯💯
24.2.13.화,일주일에 1선지 꼭 할만큼 자주갔어요 맛있거든요 오늘은 3시 브레이크 타임인거 알고 2시 45분 도착했어요 식사하면 3시 넘으니 안받고 싶으신 마음 이해합니다 그래도 넘어서 간것도 아닌데 곧 브레이크 타임이라 지금 음식 조리는 어렵습니다 죄송해요 ~ 다음번에 조금 일찍 방문해달라 이런 말도 아니고 지금 55분이다 그리고 제가 약속이 있어서요 라고 하시길래 아쉬운 맘에 사장님~45분인데요ㅠㅠ15분 걸려서 왔는데ㅠㅠ라고 말하니까 지금 음식하면 55분이라구요 그리고 제가 약속있다고 했잖아요??라고 하시길래 기분 상한채로 나왔네요 아니 약속 어쩌라고용..?..제가 밥달라고 사정했나요ㅠㅠ안되면 어쩔 수 없는건데 기분 더럽게 보내주시네요 맛있어서 정말 자주 가던곳이지만 너무 실망해서 앞으로는 안가렵니다~ㅠ
24.3.25.월,반응 남기기 방문일 24.3.25.월 2024년 3월 25일 월요일 4번째 방문 인증 수단 영수증
23.7.20.목,친절하시고 양도 괜찮고 김치깍뚜기까지 맛있습니다  해장국은 간이 센감은 있지만 싱거운것보단 센게 더 나으니 만족스럽긴합니다
23.11.8.수,반응 남기기 방문일 23.11.8.수 2023년 11월 8일 수요일 1번째 방문 인증 수단 영수증
23.12.6.수,반응 남기기 방문일 23.12.6.수 2023년 12월 6일 수요일 1번째 방문 인증 수단 영수증
23.6.14.수,저는 포장해왔는데 그래서 그런지 양이 많은 느낌이었어요 더 맘에 든건 프라스틱에 뜨거운게 담기는게 조금 그랬는데 가지고 가서 끓여먹을수있게 주시네요 ㅎ 끓여서 맛있게 잘 먹었네요
23.3.11.토,"느낌적 느낌 뽀얀국물을 빨갛게 만든 육개장이라면 맑은 국물에 고추기름으로 빨갛게 만든 내장탕 둘다 맛있었는데, 제 입맛에는 내장탕이 더 개운했어요."
23.5.29.월,반응 남기기 방문일 23.5.29.월 2023년 5월 29일 월요일 14번째 방문 인증 수단 영수증
23.8.18.금,반응 남기기 방문일 23.8.18.금 2023년 8월 18일 금요일 2번째 방문 인증 수단 결제내역
23.9.14.목,반응 남기기 방문일 23.9.14.목 2023년 9월 14일 목요일 51번째 방문 인증 수단 영수증
23.7.21.금,반응 남기기 방문일 23.7.21.금 2023년 7월 21일 금요일 1번째 방문 인증 수단 결제내역
23.4.10.월,해장국이 이 정도면 만족
23.5.1.월,우거지해장국 칼칼하니 시원하고 맛있어요~
22.12.12.월,유난히 맛 좋은 국밥. 근처에 있어 좋아요
23.2.7.화,반응 남기기 방문일 23.2.7.화 2023년 2월 7일 화요일 1번째 방문 인증 수단 영수증
22.11.29.화,날씨가 추울 때 따뜻하게 한그릇하기 좋을거 같아요 국물은 탁하지 않고 맑은 느낌이라 전 좋았어요
23.2.15.수,반응 남기기 방문일 23.2.15.수 2023년 2월 15일 수요일 1번째 방문 인증 수단 결제내역
