date,content
"""음식이 맛있어요""",이 키워드를 선택한 인원
"""친절해요""",이 키워드를 선택한 인원
"""재료가 신선해요""",이 키워드를 선택한 인원
"""가성비가 좋아요""",이 키워드를 선택한 인원
"""양이 많아요""",이 키워드를 선택한 인원
"""특별한 메뉴가 있어요""",이 키워드를 선택한 인원
"""매장이 청결해요""",이 키워드를 선택한 인원
"""인테리어가 멋져요""",이 키워드를 선택한 인원
"""매장이 넓어요""",이 키워드를 선택한 인원
"""단체모임 하기 좋아요""",이 키워드를 선택한 인원
9.12.금,반응 남기기 방문일 9.12.금 2025년 9월 12일 금요일 12번째 방문 인증 수단 영수증
24.6.11.화,축구 경기보며 치킨 포장!! 갓 튀긴 치킨 먹으며 즐거운 시간 됐습니다
24.9.14.토,반응 남기기 방문일 24.9.14.토 2024년 9월 14일 토요일 1번째 방문 인증 수단 영수증
24.4.13.토,여자들이 좋아할 맛 나쵸 뿌려먹으니 더 더 맛있어져요:)
24.4.5.금,반응 남기기 방문일 24.4.5.금 2024년 4월 5일 금요일 12번째 방문 인증 수단 영수증
24.7.27.토,반응 남기기 방문일 24.7.27.토 2024년 7월 27일 토요일 1번째 방문 인증 수단 영수증
23.11.2.목,반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 10번째 방문 인증 수단 영수증
23.8.18.금,치킨 맛있고 좋습니다!
24.2.17.토,반응 남기기 방문일 24.2.17.토 2024년 2월 17일 토요일 1번째 방문 인증 수단 영수증
23.8.9.수,아이들이 좋아하는 치킨
23.8.30.수,반응 남기기 방문일 23.8.30.수 2023년 8월 30일 수요일 2번째 방문 인증 수단 영수증
23.9.28.목,반응 남기기 방문일 23.9.28.목 2023년 9월 28일 목요일 1번째 방문 인증 수단 영수증
23.8.20.일,반응 남기기 방문일 23.8.20.일 2023년 8월 20일 일요일 1번째 방문 인증 수단 영수증
23.7.21.금,반응 남기기 방문일 23.7.21.금 2023년 7월 21일 금요일 1번째 방문 인증 수단 영수증
23.9.3.일,반응 남기기 방문일 23.9.3.일 2023년 9월 3일 일요일 1번째 방문 인증 수단 영수증
23.8.27.일,반응 남기기 방문일 23.8.27.일 2023년 8월 27일 일요일 1번째 방문 인증 수단 영수증
23.9.3.일,치킨이 진짜 맛있어요~
23.7.4.화,반응 남기기 방문일 23.7.4.화 2023년 7월 4일 화요일 1번째 방문 인증 수단 영수증
23.3.31.금,맛있게 잘먹었어요 마늘치킨 맛나요
23.10.13.금,반응 남기기 방문일 23.10.13.금 2023년 10월 13일 금요일 1번째 방문 인증 수단 영수증
23.5.25.목,반응 남기기 방문일 23.5.25.목 2023년 5월 25일 목요일 8번째 방문 인증 수단 영수증
23.6.21.수,반응 남기기 방문일 23.6.21.수 2023년 6월 21일 수요일 1번째 방문 인증 수단 영수증
23.5.10.수,반응 남기기 방문일 23.5.10.수 2023년 5월 10일 수요일 7번째 방문 인증 수단 영수증
23.10.6.금,반응 남기기 방문일 23.10.6.금 2023년 10월 6일 금요일 1번째 방문 인증 수단 영수증
23.6.25.일,맵슐랭 맛있고 매워요
23.9.24.일,반응 남기기 방문일 23.9.24.일 2023년 9월 24일 일요일 1번째 방문 인증 수단 영수증
23.2.17.금,맛도있고 포장 할인도 받고 맛있게 잘 먹었어요
23.7.20.목,반응 남기기 방문일 23.7.20.목 2023년 7월 20일 목요일 4번째 방문 인증 수단 영수증
22.12.24.토,아이들이간장치킨좋아해요 순살이 더 맛있는것같아요
23.3.31.금,반응 남기기 방문일 23.3.31.금 2023년 3월 31일 금요일 1번째 방문 인증 수단 영수증
22.12.9.금,아이들이 치킨좋아해서 종종배달해서먹어요
22.11.18.금,간장치킨 맛있어요 애들도잘먹어요
23.3.9.목,반응 남기기 방문일 23.3.9.목 2023년 3월 9일 목요일 1번째 방문 인증 수단 영수증
22.12.25.일,담백하고 맛있어서 아이들과 먹기 너무 좋아요..
23.9.24.일,반응 남기기 방문일 23.9.24.일 2023년 9월 24일 일요일 1번째 방문 인증 수단 영수증
22.12.26.월,반응 남기기 방문일 22.12.26.월 2022년 12월 26일 월요일 1번째 방문 인증 수단 영수증
23.4.14.금,반응 남기기 방문일 23.4.14.금 2023년 4월 14일 금요일 1번째 방문 인증 수단 영수증
22.12.4.일,ㅎㅎㅎ 치킨은 진리
22.9.25.일,맛있고 사장님 친절하세요
22.9.27.화,반응 남기기 방문일 22.9.27.화 2022년 9월 27일 화요일 2번째 방문 인증 수단 영수증
22.11.10.목,반응 남기기 방문일 22.11.10.목 2022년 11월 10일 목요일 1번째 방문 인증 수단 영수증
22.5.21.토,생그라나치킨은 엄청 달큰한 허니버터 맛이라 어른입맛이기보다 아이들이 좋아할 듯 해요 ㅋㅋㅋ 기본 후라이드 양념도 다 맛나요 ㅎㅎ
22.9.29.목,반응 남기기 방문일 22.9.29.목 2022년 9월 29일 목요일 1번째 방문 인증 수단 영수증
22.8.24.수,반응 남기기 방문일 22.8.24.수 2022년 8월 24일 수요일 1번째 방문 인증 수단 영수증
22.9.23.금,반응 남기기 방문일 22.9.23.금 2022년 9월 23일 금요일 1번째 방문 인증 수단 영수증
22.9.21.수,반응 남기기 방문일 22.9.21.수 2022년 9월 21일 수요일 1번째 방문 인증 수단 영수증
22.9.21.수,반응 남기기 방문일 22.9.21.수 2022년 9월 21일 수요일 1번째 방문 인증 수단 영수증
23.1.20.금,반응 남기기 방문일 23.1.20.금 2023년 1월 20일 금요일 4번째 방문 인증 수단 영수증
22.3.27.일,"주방에서 조리하실때 마스크좀 입 가려서 잘좀 써주세요. 코로나도 코로나인데, 주방 조리할때 기본 아닌지ㅠㅠ심지어 오픈주방이면 청결에 자신있다는거 아닙니까ㅠ 대화도 많이 하시던데 찝찝ㅠㅠ"
22.8.12.금,반응 남기기 방문일 22.8.12.금 2022년 8월 12일 금요일 1번째 방문 인증 수단 영수증
22.11.1.화,집근처라 자주 갑니다
22.7.23.토,반응 남기기 방문일 22.7.23.토 2022년 7월 23일 토요일 2번째 방문 인증 수단 영수증
22.6.15.수,반응 남기기 방문일 22.6.15.수 2022년 6월 15일 수요일 1번째 방문 인증 수단 영수증
22.4.8.금,반응 남기기 방문일 22.4.8.금 2022년 4월 8일 금요일 1번째 방문 인증 수단 영수증
22.3.29.화,처음 먹어봤는데 너무 맛있어요~^^
22.5.10.화,반응 남기기 방문일 22.5.10.화 2022년 5월 10일 화요일 2번째 방문 인증 수단 영수증
